#OG_name	protein_names
OG_108	protein|evm.model.Ap4.1551 NV2t014651001.1 Ahyacinthus15296-RA
OG_109	protein|evm.model.Ap4.1567 Ahyacinthus15307-RA NV2t013515001.1
OG_110	Ahyacinthus15319-RA NV2t013287002.1 NV2t013287001.1 NV2t013287003.1 NV2t013287004.1 protein|evm.model.Ap4.1077
OG_111	NV2t014418001.1 Ahyacinthus15317-RA Ahyacinthus15314-RA protein|evm.model.Ap4.1080 Ahyacinthus15346-RA protein|evm.model.Ap4.1079
OG_112	Ahyacinthus15349-RA NV2t004871001.1 protein|evm.model.Ap4.960
OG_113	protein|evm.model.Ap4.947 Ahyacinthus15354-RA NV2t013814001.1
OG_114	protein|evm.model.Ap4.952 NV2t015006001.1 Ahyacinthus15352-RA
OG_115	Ahyacinthus15358-RA protein|evm.model.Ap4.943
OG_116	Ahyacinthus15368-RA Ahyacinthus15369-RA protein|evm.model.Ap4.911 NV2t013116001.1 NV2t013116002.1 NV2t013116003.1 NV2t013116004.1
OG_117	NV2t013419001.1 NV2t013420001.1 Ahyacinthus15383-RA protein|evm.model.Ap4.886
OG_118	Ahyacinthus15394-RA NV2t014898001.1 NV2t014898002.1 NV2t014898003.1 NV2t014898004.1 NV2t014898005.1 NV2t014898006.1 protein|evm.model.Ap4.884
OG_119	protein|evm.model.Ap4.632 NV2t014348001.1 Ahyacinthus15403-RA
OG_120	protein|evm.model.Ap11.10 protein|evm.model.Ap2.3060 protein|evm.model.Ap8.1279 protein|evm.model.Ap14.640 protein|evm.model.Ap9.1894 protein|evm.model.Ap6.878 protein|evm.model.Ap8.2272 protein|evm.model.Ap4.3501 Ahyacinthus14784-RA Ahyacinthus19080-RA protein|evm.model.Ap6.2730 protein|evm.model.Ap4.5238 NV2t017686001.1 NV2t017097001.1
OG_121	protein|evm.model.Ap11.962 protein|evm.model.Ap13.1933 protein|evm.model.Ap13.1934 protein|evm.model.Ap13.1935 protein|evm.model.Ap13.1934.1.5f15e017 protein|evm.model.Ap13.1670 NV2t012066001.1 Ahyacinthus21007-RA Ahyacinthus21005-RA
OG_122	protein|evm.model.Ap11.840 protein|evm.model.Ap11.829 protein|evm.model.Ap11.830 NV2t012290001.1 Ahyacinthus24208-RA
OG_123	protein|evm.model.Ap11.476.1.5f15dc04 protein|evm.model.Ap11.476 NV2t010795001.1 NV2t010795002.1 NV2t010795003.1 Ahyacinthus02731-RA Ahyacinthus02732-RA Ahyacinthus23756-RA
OG_124	protein|evm.model.Ap11.1040 protein|evm.model.Ap10.1663 protein|evm.model.Ap10.916 NV2t017661004.1 Ahyacinthus08558-RA Ahyacinthus08569-RA Ahyacinthus06350-RA protein|evm.model.Ap12.2519 protein|evm.model.Ap7.2733 protein|evm.model.Ap7.2734 protein|evm.model.Ap14.964 protein|evm.model.Ap14.965 protein|evm.model.Ap13.1105 Ahyacinthus16596-RA protein|evm.model.Ap11.1037 protein|evm.model.Ap11.1039 protein|evm.model.Ap14.1423 protein|evm.model.Ap2.299 protein|evm.model.Ap11.1278 Ahyacinthus08559-RA protein|evm.model.Ap10.1662 protein|evm.model.Ap7.2713 NV2t005046001.1 Ahyacinthus00639-RA protein|evm.model.Ap11.1081 protein|evm.model.Ap12.2518 protein|evm.model.Ap6.2546 NV2t000450002.1 Ahyacinthus08557-RA protein|evm.model.Ap12.716 protein|evm.model.Ap7.2595 protein|evm.model.Ap7.2729 protein|evm.model.Ap11.1041 protein|evm.model.Ap14.475 protein|evm.model.Ap12.173 protein|evm.model.Ap12.174 protein|evm.model.Ap7.2726 protein|evm.model.Ap6.588 protein|evm.model.Ap6.589 protein|evm.model.Ap6.608 protein|evm.model.Ap2.301 protein|evm.model.Ap1.1639 protein|evm.model.Ap7.2731 Ahyacinthus24175-RA Ahyacinthus08567-RA protein|evm.model.Ap10.2065 NV2t000450001.1 Ahyacinthus06351-RA NV2t016998001.1 protein|evm.model.Ap11.1082 protein|evm.model.Ap11.1038 protein|evm.model.Ap13.653 Ahyacinthus08570-RA protein|evm.model.Ap10.2102 protein|evm.model.Ap14.1422 protein|evm.model.Ap12.2520 protein|evm.model.Ap12.1889 Ahyacinthus24216-RA protein|evm.model.Ap14.607 protein|evm.model.Ap5.2295 protein|evm.model.Ap4.6182_evm.model.Ap4.6183 protein|evm.model.Ap4.6182_evm.model.Ap4.6183.2.5f1691f8 protein|evm.model.Ap4.6182_evm.model.Ap4.6183.1.5f1691f7 protein|evm.model.Ap4.88 Ahyacinthus13678-RA protein|evm.model.Ap10.2068 protein|evm.model.Ap10.1510 protein|evm.model.Ap9.2032 Ahyacinthus01172-RA protein|evm.model.Ap14.1760 NV2t017660001.1 Ahyacinthus06353-RA protein|evm.model.Ap11.1065 protein|evm.model.Ap11.1034 protein|evm.model.Ap14.477 protein|evm.model.Ap14.482 protein|evm.model.Ap14.478 Ahyacinthus01171-RA Ahyacinthus16398-RA Ahyacinthus06357-RA Ahyacinthus08574-RA Ahyacinthus16602-RA protein|evm.model.Ap10.2064 NV2t005342001.1 NV2t024865001.1 NV2t001894001.1 Ahyacinthus16589-RA Ahyacinthus16592-RA Ahyacinthus16595-RA Ahyacinthus08556-RA protein|evm.model.Ap10.1660 NV2t017661001.1 NV2t017661002.1 NV2t017661003.1 Ahyacinthus13683-RA Ahyacinthus13684-RA Ahyacinthus13685-RA Ahyacinthus13686-RA Ahyacinthus13687-RA Ahyacinthus06354-RA NV2t010495001.1 protein|evm.model.Ap6.2545 protein|evm.model.Ap6.2545.1.5f15e11a Ahyacinthus06352-RA NV2t010492001.1 NV2t010494001.1 NV2t010496001.1 NV2t018224001.1 Ahyacinthus08568-RA Ahyacinthus08573-RA Ahyacinthus13679-RA Ahyacinthus04803-RA Ahyacinthus16604-RA Ahyacinthus16598-RA NV2t008466001.1 Ahyacinthus04804-RA
OG_125	protein|evm.model.Ap11.112 protein|evm.model.Ap11.111 protein|evm.model.Ap11.119 protein|evm.model.Ap2.2408 protein|evm.model.Ap2.2407 protein|evm.model.Ap2.2405 NV2t009765034.1 NV2t009765024.1 NV2t009765028.1 NV2t009765029.1 NV2t009765033.1 NV2t009765036.1 NV2t009765037.1 Ahyacinthus24996-RA protein|evm.model.Ap11.122 protein|evm.model.Ap2.2400 protein|evm.model.Ap11.110 protein|evm.model.Ap2.2500 NV2t009765007.1 NV2t009765010.1 NV2t025867001.1 NV2t009765017.1 NV2t009765019.1 NV2t025868001.1 NV2t009765002.1 NV2t009765006.1 NV2t009765008.1 NV2t009765011.1 NV2t009765014.1 NV2t009765013.1 NV2t009765021.1 NV2t009765022.1 NV2t009765025.1 NV2t009765026.1 NV2t009765027.1 NV2t009765030.1 NV2t009765031.1 NV2t009765032.1 NV2t009765035.1 NV2t009765042.1 NV2t009765043.1 NV2t009765044.1 NV2t009765045.1 NV2t009765046.1 NV2t009765047.1 NV2t009765048.1 protein|evm.model.Ap2.2515 protein|evm.model.Ap8.842 protein|evm.model.Ap2.2516 protein|evm.model.Ap11.107 protein|evm.model.Ap11.123 protein|evm.model.Ap2.2496 protein|evm.model.Ap2.2498 Ahyacinthus12323-RA protein|evm.model.Ap11.102 protein|evm.model.Ap2.2411 protein|evm.model.Ap2.2386 protein|evm.model.Ap2.2381 protein|evm.model.Ap2.2382 protein|evm.model.Ap9.2157 Ahyacinthus24995-RA protein|evm.model.Ap3.387 NV2t009629001.1 NV2t009629002.1 NV2t009765004.1 NV2t009765005.1 NV2t009765015.1 NV2t009765016.1 NV2t009765003.1 NV2t009765009.1 NV2t009765012.1 NV2t009765018.1 NV2t009765051.1 NV2t009765020.1 NV2t009765052.1 Ahyacinthus12321-RA Ahyacinthus12884-RA Ahyacinthus23762-RA Ahyacinthus09126-RA NV2t010273001.1 NV2t010273002.1 NV2t010273003.1 NV2t010273004.1 NV2t010273005.1 NV2t010273006.1 NV2t010273007.1 NV2t010273008.1 NV2t010273009.1 NV2t010273010.1 NV2t010273011.1 NV2t010273012.1 NV2t010273013.1 NV2t010273014.1 NV2t010273015.1 NV2t010273016.1 NV2t010273017.1 NV2t010273018.1 NV2t010273019.1 protein|evm.model.Ap3.714 protein|evm.model.Ap2.2669 Ahyacinthus02098-RA
OG_126	protein|evm.model.Ap11.49 protein|evm.model.Ap11.895 protein|evm.model.Ap14.513 protein|evm.model.Ap14.1403 protein|evm.model.Ap8.1595 protein|evm.model.Ap6.2101 protein|evm.model.Ap13.1397 protein|evm.model.Ap13.2671 protein|evm.model.Ap2.3650 protein|evm.model.Ap1.1332 protein|evm.model.Ap4.4271 protein|evm.model.Ap4.3595 protein|evm.model.Ap4.3596 protein|evm.model.Ap4.3207 protein|evm.model.Ap10.1718 protein|evm.model.Ap11.968 protein|evm.model.Ap13.2583 protein|evm.model.Ap4.3606 protein|evm.model.Ap8.1850 protein|evm.model.Ap5.1140 protein|evm.model.Ap1.1826 Ahyacinthus25325-RA protein|evm.model.Ap3.1240 protein|evm.model.Ap7.1342 protein|evm.model.Ap13.188 protein|evm.model.Ap3.1834 protein|evm.model.Ap4.3131 NV2t024553001.1 NV2t017501001.1 NV2t001718001.1 NV2t006663001.1 NV2t025374001.1 protein|evm.model.Ap6.3245 protein|evm.model.Ap3.1666 protein|evm.model.Ap12.802 protein|evm.model.Ap4.101 protein|evm.model.Ap1.1097 protein|evm.model.Ap10.153 protein|evm.model.Ap5.710 protein|evm.model.Ap2.3298 Ahyacinthus09090-RA protein|evm.model.Ap9.1786 protein|evm.model.Ap9.676 protein|evm.model.Ap6.1441 protein|evm.model.Ap13.1031 protein|evm.model.Ap1.992 NV2t009767001.1 protein|evm.model.Ap2.399 protein|evm.model.Ap12.318 protein|evm.model.Ap9.1739 protein|evm.model.Ap1.3006 protein|evm.model.Ap13.1304 protein|evm.model.Ap10.2044 protein|evm.model.Ap2.574 protein|evm.model.Ap14.978 protein|evm.model.Ap10.1646 protein|evm.model.Ap13.1088 protein|evm.model.Ap4.4214 protein|evm.model.Ap3.858 protein|evm.model.Ap3.1272 protein|evm.model.Ap7.877 protein|evm.model.Ap10.880 NV2t016400001.1 NV2t022824002.1 protein|evm.model.Ap11.1063 protein|evm.model.Ap4.3485 protein|evm.model.Ap14.948 protein|evm.model.Ap13.853 protein|evm.model.Ap5.1509 protein|evm.model.Ap13.2945 protein|evm.model.Ap4.2174 protein|evm.model.Ap4.5081 protein|evm.model.Ap2.3947 protein|evm.model.Ap2.797 NV2t022898001.1 Ahyacinthus25076-RA Ahyacinthus26085-RA protein|evm.model.Ap8.2515 Ahyacinthus16858-RA Ahyacinthus25083-RA protein|evm.model.Ap6.1339 NV2t001263001.1 NV2t001263002.1 protein|evm.model.Ap7.2333 protein|evm.model.Ap13.1337 protein|evm.model.Ap4.584 protein|evm.model.Ap12.1498 protein|evm.model.Ap7.1319 protein|evm.model.Ap6.1393 protein|evm.model.Ap6.1072 protein|evm.model.Ap13.2217 protein|evm.model.Ap13.1179 protein|evm.model.Ap1.3725 NV2t021435001.1 NV2t025330001.1 Ahyacinthus10746-RA
OG_127	protein|evm.model.Ap11.1234 protein|evm.model.Ap4.4217 NV2t006595001.1 Ahyacinthus25531-RA protein|evm.model.Ap4.2041 protein|evm.model.Ap1.3900 protein|evm.model.Ap3.743 protein|evm.model.Ap4.2584 NV2t013758001.1 NV2t018066001.1 protein|evm.model.Ap9.960 protein|evm.model.Ap1.339 protein|evm.model.Ap7.1217 protein|evm.model.Ap7.1216 protein|evm.model.Ap1.340 protein|evm.model.Ap9.959 protein|evm.model.Ap9.1599 protein|evm.model.Ap9.1598 protein|evm.model.Ap8.2234 protein|evm.model.Ap8.2236 protein|evm.model.Ap4.1117 protein|evm.model.Ap4.1116 protein|evm.model.Ap4.1115 protein|evm.model.Ap4.1114 protein|evm.model.Ap4.2731 protein|evm.model.Ap9.1600 protein|evm.model.Ap4.5061 protein|evm.model.Ap4.5058 protein|evm.model.Ap4.5057 NV2t012930001.1 NV2t009471001.1 NV2t008150001.1 protein|evm.model.Ap4.2583 protein|evm.model.Ap3.1030 protein|evm.model.Ap4.868 protein|evm.model.Ap2.1618 protein|evm.model.Ap3.1028 protein|evm.model.Ap3.1029 protein|evm.model.Ap4.867 protein|evm.model.Ap4.866 protein|evm.model.Ap9.17 protein|evm.model.Ap9.16 protein|evm.model.Ap5.1842 protein|evm.model.Ap9.15 protein|evm.model.Ap1.3902 protein|evm.model.Ap4.2788
OG_128	protein|evm.model.Ap11.1323 protein|evm.model.Ap11.1375 protein|evm.model.Ap11.1380 protein|evm.model.Ap8.574 protein|evm.model.Ap8.332 NV2t010374001.1 NV2t005709003.1 NV2t005709001.1 NV2t005709002.1 NV2t005709004.1 NV2t005709005.1 NV2t005709006.1 NV2t005709007.1 NV2t005709008.1 NV2t005709009.1 NV2t005709010.1 NV2t005709011.1 NV2t005709012.1 NV2t005709013.1 NV2t005709014.1 NV2t005709015.1 NV2t005709016.1 NV2t005709017.1 NV2t005709018.1 NV2t005709019.1 NV2t020227001.1 protein|evm.model.Ap11.1315 protein|evm.model.Ap8.303 protein|evm.model.Ap11.1320 protein|evm.model.Ap11.1384 protein|evm.model.Ap11.1382 protein|evm.model.Ap11.1325 protein|evm.model.Ap8.354 protein|evm.model.Ap8.355 protein|evm.model.Ap8.358 NV2t000317001.1 protein|evm.model.Ap11.1381 protein|evm.model.Ap8.359 protein|evm.model.Ap8.356 protein|evm.model.Ap11.1371 protein|evm.model.Ap11.1383 NV2t009307001.1 NV2t009307005.1 NV2t009363010.1 NV2t009363011.1 NV2t009363012.1 NV2t009363013.1 NV2t009363014.1 NV2t009363015.1 NV2t009363016.1 NV2t009363018.1 NV2t009303001.1 NV2t009303002.1 NV2t009363003.1 NV2t009363002.1 NV2t009363001.1 NV2t009363004.1 NV2t009307002.1 NV2t009363005.1 NV2t009363006.1 NV2t009363007.1 NV2t009363008.1 NV2t009363009.1 NV2t009307004.1 NV2t009307007.1 NV2t009307008.1 NV2t009307011.1 NV2t009307012.1 NV2t009307013.1 NV2t009307014.1 NV2t009307015.1 NV2t009363019.1 NV2t009363020.1 NV2t009307016.1 NV2t009307018.1 NV2t009307020.1 NV2t009307021.1 NV2t009363017.1 NV2t009303003.1 NV2t009307022.1 NV2t009303004.1 NV2t009303006.1 NV2t009303005.1 NV2t009303007.1 NV2t009303008.1 NV2t009303010.1 NV2t009303011.1 NV2t009303012.1 NV2t009303009.1 NV2t009307023.1 NV2t009371004.1 NV2t009371005.1 NV2t009371006.1 NV2t009371007.1 NV2t009371008.1 NV2t009371009.1 NV2t009371010.1 NV2t009371011.1 NV2t009371012.1 NV2t009371013.1 NV2t009371014.1 NV2t009371015.1 NV2t009371016.1 Ahyacinthus16133-RA Ahyacinthus16136-RA Ahyacinthus11113-RA protein|evm.model.Ap11.1385 NV2t010375001.1 NV2t010424001.1 NV2t010417001.1 NV2t010429001.1 NV2t010412001.1 NV2t008280002.1 NV2t008280001.1 NV2t011241001.1 NV2t011241002.1 NV2t011241003.1 NV2t011241004.1 NV2t011242001.1 NV2t011243001.1 NV2t011245001.1 NV2t011247001.1 NV2t023454001.1 protein|evm.model.Ap11.1379 protein|evm.model.Ap11.1399 protein|evm.model.Ap5.2341 protein|evm.model.Ap2.1578
