Coords	Name	MIRNA	apoc_2_S31_L001_R1_001_trim_condensed	apoc_3_S32_L001_R1_001_trim_condensed	apoc_4_S33_L001_R1_001_trim_condensed
Ap11:12625624-12626041	Cluster_60	N	6	10	12
Ap11:12914899-12915313	Cluster_61	N	0	0	18
Ap11:13149445-13149859	Cluster_62	N	0	0	47
Ap11:13328937-13329354	Cluster_63	N	5	20	0
Ap11:13419232-13419650	Cluster_64	N	123	7	6
Ap11:13729858-13730275	Cluster_65	N	6	59	30
Ap11:13802067-13802485	Cluster_66	N	34	218	211
Ap11:14043315-14043729	Cluster_67	N	0	0	19
Ap11:14084562-14084978	Cluster_68	N	1	19	4
Ap11:14250750-14251166	Cluster_69	N	14	426	307
Ap11:14632266-14632682	Cluster_70	N	3	25	21
Ap11:15328803-15329218	Cluster_71	N	3	25	29
Ap11:15378180-15378597	Cluster_72	N	13	8	3
Ap11:15429726-15430140	Cluster_73	N	0	8	11
Ap11:15954794-15955210	Cluster_74	N	3	60	49
Ap11:16166546-16166960	Cluster_75	N	8	12	4
Ap11:16335947-16336364	Cluster_76	N	3	4	16
Ap11:16484311-16484725	Cluster_77	N	17	5	0
Ap11:16585302-16585716	Cluster_78	N	0	0	19
Ap11:16818914-16819329	Cluster_79	N	9	5	6
Ap11:17281610-17282024	Cluster_80	N	2	8	14
Ap11:17830822-17831292	Cluster_81	N	130	12	3
Ap11:17835236-17835666	Cluster_82	N	45	7	2
Ap11:17836170-17836599	Cluster_83	N	31	1	1
Ap11:17836928-17837358	Cluster_84	N	26	6	2
Ap11:17837796-17838224	Cluster_85	N	24	3	0
Ap11:17838613-17839038	Cluster_86	N	29	5	4
Ap11:17840331-17840809	Cluster_87	N	214	32	18
Ap11:17977258-17977672	Cluster_88	N	1	2	23
Ap11:18012818-18013234	Cluster_89	N	0	17	28
Ap11:18225551-18225969	Cluster_90	N	0	0	719
Ap11:18239411-18239825	Cluster_91	N	0	10	8
Ap11:18552650-18553070	Cluster_92	N	46	246	216
Ap11:18747160-18747576	Cluster_93	N	7	96	106
Ap11:18756439-18756857	Cluster_94	N	6	68	41
Ap11:18971924-18972339	Cluster_95	N	4	30	27
Ap11:19051186-19051598	Cluster_96	N	0	6	14
Ap11:19162931-19163392	Cluster_97	N	123	24	32
Ap11:19538247-19538665	Cluster_98	N	38	4	10
Ap11:19596224-19596642	Cluster_99	N	8	28	122
Ap11:19687220-19687637	Cluster_100	N	8	7	13
Ap11:19750762-19751177	Cluster_101	N	5	2	14
Ap11:19756691-19757115	Cluster_102	N	12	18	14
Ap11:19813351-19813765	Cluster_103	N	0	9	12
Ap11:20071366-20071782	Cluster_104	N	25	78	249
Ap11:20401022-20401543	Cluster_105	N	25092	8667	5705
Ap11:20827602-20828019	Cluster_106	N	0	23	45
Ap11:20936388-20936804	Cluster_107	N	4	18	12
Ap11:20970114-20970528	Cluster_108	N	0	13	10
Ap11:21059440-21059856	Cluster_109	N	4	2	28
Ap10:19858-23496	Cluster_110	N	245229	137999	96917
Ap10:27309-34240	Cluster_111	N	528381	288801	205694
Ap10:38159-45083	Cluster_112	N	758129	391097	271646
Ap10:48904-53636	Cluster_113	N	254292	137784	100621
Ap10:233969-234384	Cluster_114	N	1	4	19
Ap10:409354-409769	Cluster_115	N	82	45	25
Ap10:468421-468836	Cluster_116	N	8	10	1
Ap10:552208-552631	Cluster_117	N	8	18	21
Ap10:837058-837611	Cluster_118	N	3519	2754	2811
Ap10:848477-848892	Cluster_119	N	1	11	12
Ap10:873960-874603	Cluster_120	N	10312	28063	5067
Ap10:878371-879336	Cluster_121	N	28569	16280	11473
Ap10:966761-967179	Cluster_122	N	2	30	53
Ap10:995823-996260	Cluster_123	N	87	18	4
Ap10:1245964-1246381	Cluster_124	N	25	80	50
Ap10:1373354-1373769	Cluster_125	N	12	9	7
Ap10:1810633-1811048	Cluster_126	N	4	8	6
Ap10:1817610-1818025	Cluster_127	N	4	9	6
Ap10:1820324-1820739	Cluster_128	N	4	9	6
Ap10:2189556-2189971	Cluster_129	N	1	0	30
Ap10:2341625-2342041	Cluster_130	N	0	1	34
Ap10:2418598-2419014	Cluster_131	N	10	5	42
Ap10:2557073-2557492	Cluster_132	N	75	154	151
Ap10:2689244-2689658	Cluster_133	N	2	10	6
Ap10:2910475-2910886	Cluster_134	N	0	6	15
Ap10:3184412-3184829	Cluster_135	N	15	5	9
Ap10:3348824-3349240	Cluster_136	N	3	27	20
Ap10:3885876-3886297	Cluster_137	N	51	9	7
Ap10:3922860-3923275	Cluster_138	N	0	7	25
Ap10:3968910-3969324	Cluster_139	N	0	0	19
Ap10:4696163-4696579	Cluster_140	N	18	32	11
Ap10:4930015-4930431	Cluster_141	N	10	24	33
Ap10:4962572-4963096	Cluster_142	N	265	22	14
Ap10:4991696-4992134	Cluster_143	N	29	9	44
Ap10:4992554-4992959	Cluster_144	N	10	8	37
Ap10:4993089-4993535	Cluster_145	N	26	7	34
Ap10:5290859-5291276	Cluster_146	N	6	33	28
Ap10:5541903-5542319	Cluster_147	N	0	6	24
Ap10:5757557-5758061	Cluster_148	N	170	52	60
Ap10:5767971-5768388	Cluster_149	N	0	1	39
Ap10:5854581-5854994	Cluster_150	N	0	10	8
Ap10:5866414-5866832	Cluster_151	N	14	15	27
Ap10:5946772-5947187	Cluster_152	N	0	2	22
Ap10:6066405-6066819	Cluster_153	N	4	13	6
Ap10:6082854-6083270	Cluster_154	N	10	27	20
Ap10:6320791-6321208	Cluster_155	N	4	12	26
Ap10:6329222-6329636	Cluster_156	N	0	4	22
Ap10:6653082-6653500	Cluster_157	N	1	10	22
Ap10:7243422-7243837	Cluster_158	N	4	8	12
Ap10:7466171-7466585	Cluster_159	N	0	18	16
Ap10:7641739-7642155	Cluster_160	N	1	1	32
Ap10:7790491-7790909	Cluster_161	N	18	56	66
Ap10:7927200-7927616	Cluster_162	N	28	25	33
Ap10:8009480-8009894	Cluster_163	N	0	4	49
Ap10:8033658-8034095	Cluster_164	N	9	19	56
Ap10:8612268-8612685	Cluster_165	N	5	16	8
Ap10:8693560-8693975	Cluster_166	N	7	24	33
Ap10:8764900-8765400	Cluster_167	N	963	814	415
Ap10:8765418-8765908	Cluster_168	N	960	810	405
Ap10:8765910-8766821	Cluster_169	N	1012	856	430
Ap10:8774404-8774843	Cluster_170	N	856	668	332
Ap10:8776510-8777003	Cluster_171	N	935	797	392
Ap10:8777023-8777495	Cluster_172	N	67	118	53
Ap10:8819186-8819685	Cluster_173	N	975	819	424
Ap10:8839566-8839982	Cluster_174	N	9	16	13
Ap10:8843156-8843608	Cluster_175	N	42	56	36
Ap10:8843659-8844152	Cluster_176	N	875	678	346
Ap10:8891476-8891892	Cluster_177	N	70	29	0
Ap10:8984148-8984564	Cluster_178	N	48	9	7
Ap10:9097501-9097917	Cluster_179	N	9	13	19
Ap10:9228783-9229258	Cluster_180	N	242	19	20
Ap10:9291281-9291696	Cluster_181	N	3	9	8
Ap10:9315658-9316074	Cluster_182	N	1	9	15
Ap10:9329404-9329819	Cluster_183	N	1	22	4
Ap10:9402174-9402591	Cluster_184	N	27	15	10
Ap10:9578785-9579202	Cluster_185	N	11	29	30
Ap10:9645932-9646349	Cluster_186	N	35	7	9
Ap10:9721120-9721541	Cluster_187	N	29	2	4
Ap10:10020504-10020921	Cluster_188	N	9	6	7
Ap10:10262680-10263095	Cluster_189	N	61	87	78
Ap10:10493140-10493556	Cluster_190	N	2	15	8
Ap10:10538017-10538433	Cluster_191	N	23	1	1
Ap10:10800485-10800901	Cluster_192	N	4	42	28
Ap10:10830431-10830847	Cluster_193	N	3	41	27
Ap10:11009946-11010364	Cluster_194	N	80	67	32
Ap10:11463632-11464048	Cluster_195	N	3	14	11
Ap10:11821494-11821910	Cluster_196	N	0	10	9
Ap10:12229248-12229662	Cluster_197	N	0	20	9
Ap10:12271722-12272137	Cluster_198	N	11	7	2
Ap10:12315348-12315764	Cluster_199	N	6	25	20
Ap10:12421290-12421704	Cluster_200	N	4	7	8
Ap10:12477338-12477749	Cluster_201	N	0	21	0
Ap10:12606052-12606469	Cluster_202	N	8	93	95
Ap10:12761648-12762065	Cluster_203	N	0	11	17
Ap10:12903956-12904372	Cluster_204	N	5	49	23
Ap10:12985507-12985922	Cluster_205	N	0	2	19
Ap10:13047887-13048304	Cluster_206	N	18	4	8
Ap10:13265320-13265737	Cluster_207	N	12	11	46
Ap10:13268554-13268968	Cluster_208	N	2	10	10
Ap10:13278598-13279014	Cluster_209	N	4	17	8
Ap10:13332845-13333261	Cluster_210	N	19	11	8
Ap10:13697185-13697600	Cluster_211	N	5	7	8
Ap10:13993908-13994324	Cluster_212	N	0	0	86
Ap10:14051500-14051916	Cluster_213	N	1	1	24
Ap10:14404364-14404777	Cluster_214	N	0	10	8
Ap10:14410000-14410416	Cluster_215	N	0	0	68
Ap10:14827824-14828252	Cluster_216	N	25	0	4
Ap10:14829292-14829726	Cluster_217	N	130	14	4
Ap10:14829857-14830332	Cluster_218	N	99	12	11
Ap10:14830480-14830910	Cluster_219	N	198	30	20
Ap10:14831413-14831917	Cluster_220	N	97	14	13
Ap10:15264064-15264481	Cluster_221	N	14	0	16
Ap10:15293418-15293838	Cluster_222	N	20	79	52
Ap10:15511145-15511559	Cluster_223	N	4	5	10
Ap10:15990294-15990709	Cluster_224	N	0	0	157
Ap10:16285541-16285956	Cluster_225	N	4	18	1
Ap10:16598129-16598542	Cluster_226	N	3	1	19
Ap10:16653457-16653875	Cluster_227	N	293	79	65
Ap10:16849409-16849827	Cluster_228	N	1	10	21
Ap10:17047985-17048401	Cluster_229	N	14	18	18
Ap10:17488444-17488860	Cluster_230	N	0	8	57
Ap10:17730702-17731117	Cluster_231	N	0	27	31
Ap10:17871188-17871617	Cluster_232	N	3130	5508	2521
Ap10:17982832-17983249	Cluster_233	N	13	2	14
Ap10:18316091-18316507	Cluster_234	N	7	21	14
Ap10:18469200-18469616	Cluster_235	N	18	1	9
Ap10:18563011-18563428	Cluster_236	N	6	10	6
Ap10:18578516-18578931	Cluster_237	N	4	9	7
Ap10:18773461-18773878	Cluster_238	N	18	59	40
Ap10:19028246-19028664	Cluster_239	N	20	73	30
Ap10:19033912-19034327	Cluster_240	N	7	7	17
Ap10:19092427-19092846	Cluster_241	N	53	109	229
Ap10:19365623-19366039	Cluster_242	N	45	7	0
Ap10:19483026-19483448	Cluster_243	N	36	9	2
Ap10:19494856-19495393	Cluster_244	N	101	8	14
Ap10:19567769-19568848	Cluster_245	N	185	34	44
Ap10:19570184-19570614	Cluster_246	N	38	16	19
Ap10:19664164-19664578	Cluster_247	N	1	7	46
Ap10:19923221-19923644	Cluster_248	N	14	31	30
Ap10:19969125-19969541	Cluster_249	N	40	6	0
Ap10:20331116-20331531	Cluster_250	N	2	23	30
Ap10:20392827-20393254	Cluster_251	N	16	31	30
Ap10:21022035-21022449	Cluster_252	N	3	9	6
Ap10:21039202-21039618	Cluster_253	N	10	17	15
Ap10:21425600-21426017	Cluster_254	N	7	56	43
Ap10:21428280-21428701	Cluster_255	N	7	26	23
Ap14:84759-85296	Cluster_256	N	232	18	21
Ap14:451493-451909	Cluster_257	N	4	11	5
Ap14:499920-500336	Cluster_258	N	15	15	18
Ap14:503413-503831	Cluster_259	N	24	22	29
Ap14:521773-522193	Cluster_260	N	23	7	8
Ap14:618493-618907	Cluster_261	N	1	11	7
Ap14:851247-851662	Cluster_262	N	0	0	26
Ap14:943230-943648	Cluster_263	N	2	75	132
Ap14:950309-950726	Cluster_264	N	10	3	14
Ap14:987511-987927	Cluster_265	N	35	153	87
Ap14:1152885-1153300	Cluster_266	N	6	4	8
Ap14:1476471-1476887	Cluster_267	N	20	76	44
Ap14:1628310-1628733	Cluster_268	N	0	24	17
Ap14:1896268-1896695	Cluster_269	N	5	17	6
Ap14:2128466-2128881	Cluster_270	N	0	3	23
Ap14:2245365-2245780	Cluster_271	N	0	0	56
Ap14:2350846-2351264	Cluster_272	N	45	35	40
Ap14:2684054-2684577	Cluster_273	N	345	42	27
Ap14:2689413-2689949	Cluster_274	N	83	14	7
Ap14:2696500-2697037	Cluster_275	N	617	72	69
Ap14:2704157-2704696	Cluster_276	N	201	17	20
Ap14:2711001-2711499	Cluster_277	N	107	12	10
Ap14:2856472-2856886	Cluster_278	N	0	0	29
Ap14:3034982-3035397	Cluster_279	N	3	13	19
Ap14:3167598-3168014	Cluster_280	N	1	10	14
Ap14:3181106-3181520	Cluster_281	N	8	13	1
Ap14:3199996-3200410	Cluster_282	N	1	12	24
Ap14:3207519-3207933	Cluster_283	N	15	3	2
Ap14:3258476-3258893	Cluster_284	N	7	16	6
Ap14:3414794-3415211	Cluster_285	N	2	15	6
Ap14:3448270-3448684	Cluster_286	N	11	6	11
Ap14:3701459-3701874	Cluster_287	N	20	0	1
Ap14:3820288-3820726	Cluster_288	N	348	43	43
Ap14:4551300-4551715	Cluster_289	N	0	17	3
Ap14:4608986-4609402	Cluster_290	N	10	5	7
Ap14:4760892-4761307	Cluster_291	N	1	2	30
Ap14:4953184-4953600	Cluster_292	N	10	48	36
Ap14:5039103-5039520	Cluster_293	N	1	16	32
Ap14:5443755-5444170	Cluster_294	N	1	11	22
Ap14:5479513-5479929	Cluster_295	N	4	33	14
Ap14:5541113-5541529	Cluster_296	N	5	19	7
Ap14:6021792-6022207	Cluster_297	N	0	19	10
Ap14:6139322-6139795	Cluster_298	N	0	1	70
Ap14:6367892-6368309	Cluster_299	N	0	0	115
Ap14:6485359-6485777	Cluster_300	N	59	9	21
Ap14:6585702-6586127	Cluster_301	N	44	9	8
Ap14:6662691-6663112	Cluster_302	N	18	1	2
Ap14:6820343-6820759	Cluster_303	N	15	15	14
Ap14:6830181-6830596	Cluster_304	N	0	4	38
Ap14:7214872-7215289	Cluster_305	N	12	61	20
Ap14:7277666-7278081	Cluster_306	N	0	52	57
Ap14:7290948-7291369	Cluster_307	N	45	45	54
Ap14:7420081-7420493	Cluster_308	N	0	1	20
Ap14:7579748-7580164	Cluster_309	N	6	15	5
Ap14:7636666-7637083	Cluster_310	N	5	3	44
Ap14:7800289-7800705	Cluster_311	N	8	46	25
Ap14:7826703-7827118	Cluster_312	N	0	9	15
Ap14:8041709-8042125	Cluster_313	N	24	11	11
Ap14:8128988-8129405	Cluster_314	N	45	65	74
Ap14:8152343-8152802	Cluster_315	N	3000	546	261
Ap14:8290138-8290555	Cluster_316	N	1	19	0
Ap14:8679329-8679744	Cluster_317	N	1	14	20
Ap14:8887529-8887948	Cluster_318	N	158	119	126
Ap14:8888556-8888975	Cluster_319	N	158	119	128
Ap14:9251780-9252195	Cluster_320	N	1	12	8
Ap14:9560896-9561313	Cluster_321	N	37	12	1
Ap14:9897004-9897419	Cluster_322	N	9	22	0
Ap14:10002328-10002748	Cluster_323	N	0	4	394
Ap14:10090382-10090871	Cluster_324	N	83	14	8
Ap14:10113376-10113862	Cluster_325	N	48	9	5
Ap14:10292598-10293012	Cluster_326	N	0	0	51
Ap14:10423364-10423789	Cluster_327	N	21	3	2
Ap14:10429460-10429874	Cluster_328	N	0	0	21
Ap14:10732001-10732416	Cluster_329	N	0	15	11
Ap14:11098141-11098555	Cluster_330	N	0	0	30
Ap14:11237721-11238137	Cluster_331	N	0	70	21
Ap14:11283420-11283836	Cluster_332	N	36	198	140
Ap14:11325944-11326360	Cluster_333	N	1	5	29
Ap14:11574875-11575290	Cluster_334	N	6	79	68
Ap14:11761518-11761935	Cluster_335	N	5	32	33
Ap14:12114068-12114482	Cluster_336	N	1	5	12
Ap14:12148353-12148767	Cluster_337	N	0	10	17
Ap14:12268269-12268686	Cluster_338	N	4	66	45
Ap14:12306573-12306994	Cluster_339	N	61	77	37
Ap14:12324053-12324470	Cluster_340	N	0	0	27
Ap14:12369952-12370368	Cluster_341	N	1	16	16
Ap14:12685636-12686057	Cluster_342	N	15	1	14
Ap14:12711164-12711579	Cluster_343	N	0	1	22
Ap14:13205723-13206140	Cluster_344	N	0	24	31
Ap14:13257350-13257772	Cluster_345	N	15	1	5
Ap14:13327177-13327594	Cluster_346	N	15	1	7
Ap14:13448102-13448515	Cluster_347	N	3	7	8
Ap14:13701132-13701548	Cluster_348	N	7	58	58
Ap14:13898355-13898770	Cluster_349	N	1	0	30
Ap14:13953835-13954249	Cluster_350	N	1	8	11
Ap14:14262042-14262458	Cluster_351	N	6	16	21
Ap14:14281303-14281720	Cluster_352	N	13	8	5
Ap14:14282552-14282967	Cluster_353	N	1	7	13
Ap14:14330964-14331384	Cluster_354	N	5	24	11
Ap14:14576118-14576637	Cluster_355	N	51	8	4
Ap14:14582955-14583383	Cluster_356	N	18	10	1
Ap14:14588078-14588500	Cluster_357	N	39	6	5
Ap14:14605036-14605467	Cluster_358	N	97	11	16
Ap14:14607055-14607486	Cluster_359	N	94	16	14
Ap14:14861166-14861596	Cluster_360	N	25	7	4
Ap14:14895563-14895982	Cluster_361	N	28	35	42
Ap14:15271718-15272135	Cluster_362	N	5	15	14
Ap14:15277161-15277569	Cluster_363	N	0	12	10
Ap14:15451501-15451930	Cluster_364	N	54	3	11
Ap14:15473683-15474109	Cluster_365	N	38	3	0
Ap14:15513748-15514170	Cluster_366	N	10	53	26
Ap14:15527065-15527487	Cluster_367	N	25	0	4
Ap14:15986559-15986975	Cluster_368	N	6	5	8
Ap14:16356107-16356526	Cluster_369	N	7	32	33
Ap14:16391728-16392142	Cluster_370	N	0	13	21
Ap14:16551773-16552191	Cluster_371	N	7	15	10
Ap14:16599572-16599991	Cluster_372	N	161	125	128
Ap14:16600600-16601017	Cluster_373	N	8	21	15
Ap14:16681257-16681671	Cluster_374	N	2	7	14
Ap14:16916788-16917202	Cluster_375	N	1	10	55
Ap14:17020936-17021355	Cluster_376	N	6	10	9
Ap14:17023378-17023794	Cluster_377	N	5	25	11
Ap14:17580451-17580869	Cluster_378	N	12	30	18
Ap14:17713639-17714064	Cluster_379	N	26	28	35
Ap14:17714816-17715232	Cluster_380	N	55	220	191
Ap14:17719325-17719740	Cluster_381	N	0	0	55
Ap14:17785450-17785866	Cluster_382	N	18	310	171
Ap14:17810044-17810459	Cluster_383	N	8	12	8
Ap14:17963258-17963674	Cluster_384	N	0	61	48
Ap14:18153023-18153436	Cluster_385	N	0	0	28
Ap14:18303235-18303666	Cluster_386	N	40	7	7
Ap14:19232371-19232790	Cluster_387	N	103	218	161
Ap14:19279760-19280176	Cluster_388	N	70	144	160
Ap14:19574048-19574465	Cluster_389	N	32	33	37
Ap14:19700421-19700834	Cluster_390	N	1	9	11
Ap14:19841539-19841956	Cluster_391	N	0	23	193
Ap14:19851147-19851563	Cluster_392	N	1	13	10
Ap14:19867688-19868103	Cluster_393	N	11	5	6
Ap14:19902103-19902519	Cluster_394	N	1	10	10
Ap14:19936507-19936922	Cluster_395	N	1	21	13
Ap14:19941970-19942385	Cluster_396	N	0	2	32
Ap14:20205111-20205527	Cluster_397	N	5	10	11
Ap14:20270622-20271039	Cluster_398	N	9	15	0
Ap14:20318422-20318839	Cluster_399	N	6	49	24
Ap14:20367499-20367916	Cluster_400	N	23	26	35
Ap14:20406843-20407260	Cluster_401	N	2	44	5
Ap14:20778524-20778939	Cluster_402	N	2	2	15
Ap14:20804705-20805123	Cluster_403	N	10	70	61
Ap14:20807633-20808045	Cluster_404	N	1	9	8
Ap14:20980991-20981426	Cluster_405	N	42	6	1
Ap14:20985653-20986073	Cluster_406	N	29	5	0
Ap14:21044277-21044693	Cluster_407	N	2	13	12
Ap14:21049824-21050240	Cluster_408	N	1	11	11
Ap14:21091268-21091684	Cluster_409	N	5	12	11
Ap14:21380075-21380489	Cluster_410	N	7	14	2
Ap14:21493392-21493807	Cluster_411	N	0	11	53
Ap14:21837391-21837819	Cluster_412	N	41	3	2
Ap14:21935431-21935852	Cluster_413	N	14	28	28
Ap14:22175147-22175610	Cluster_414	N	73	3	4
Ap14:22238412-22238833	Cluster_415	N	119	36	22
Ap3:112150-112566	Cluster_416	N	2	0	20
Ap3:116926-117347	Cluster_417	N	118	255	193
Ap3:225891-226306	Cluster_418	N	7	3	15
Ap3:318061-318475	Cluster_419	N	2	0	30
Ap3:371589-372019	Cluster_420	N	43	50	0
Ap3:571484-571901	Cluster_421	N	3	10	9
Ap3:740214-740632	Cluster_422	N	25	4	1
Ap3:1075419-1075835	Cluster_423	N	0	2	421
Ap3:1096670-1097086	Cluster_424	N	4	24	10
Ap3:1272311-1272762	Cluster_425	N	211	66	19
Ap3:1310129-1310598	Cluster_426	N	35	40	68
Ap3:1311068-1311489	Cluster_427	N	15	0	25
Ap3:1313682-1314122	Cluster_428	N	0	432	0
Ap3:1449493-1449925	Cluster_429	N	65	62	0
Ap3:1452320-1452788	Cluster_430	N	294	2	595
Ap3:1456826-1457510	Cluster_431	N	303	81	109
Ap3:1650854-1651274	Cluster_432	N	137	21	88
Ap3:1928236-1928650	Cluster_433	N	2	0	24
Ap3:2093772-2094307	Cluster_434	N	77	20	8
Ap3:2096022-2096505	Cluster_435	N	137	24	12
Ap3:2097796-2098332	Cluster_436	N	159	18	7
Ap3:2103725-2104166	Cluster_437	N	78	20	4
Ap3:2105655-2106070	Cluster_438	N	15	0	14
Ap3:2106200-2106641	Cluster_439	N	72	20	7
Ap3:2108795-2109228	Cluster_440	N	73	11	18
Ap3:2139328-2139743	Cluster_441	N	1	15	5
Ap3:2168547-2168963	Cluster_442	N	0	20	16
Ap3:2365930-2366407	Cluster_443	N	151	14	17
Ap3:2373498-2373936	Cluster_444	N	64	7	6
Ap3:2376429-2376981	Cluster_445	N	568	70	43
Ap3:2377135-2377601	Cluster_446	N	56	11	14
Ap3:2501892-2502307	Cluster_447	N	0	14	50
Ap3:2526647-2527061	Cluster_448	N	1	11	18
Ap3:2657882-2658298	Cluster_449	N	16	17	24
Ap3:2774251-2774669	Cluster_450	N	14	56	37
Ap3:2820690-2821106	Cluster_451	N	0	1	29
Ap3:2825380-2825796	Cluster_452	N	285	54	11
Ap3:2892256-2892671	Cluster_453	N	3	41	44
Ap3:2901517-2901934	Cluster_454	N	4	26	22
Ap3:3141153-3141570	Cluster_455	N	575	766	693
Ap3:3218384-3218800	Cluster_456	N	6	4	11
Ap3:3543221-3543639	Cluster_457	N	230	71	73
Ap3:3678290-3678708	Cluster_458	N	0	38	177
Ap3:3695633-3696053	Cluster_459	N	3	1	223
Ap3:3869677-3870094	Cluster_460	N	12	6	2
Ap3:4241043-4241459	Cluster_461	N	15	4	5
Ap3:4492682-4493097	Cluster_462	N	0	2	20
Ap3:5015565-5015982	Cluster_463	N	13	10	6
Ap3:5036473-5036892	Cluster_464	N	13	53	36
Ap3:5235730-5236156	Cluster_465	N	105	61	33
Ap3:5527239-5527653	Cluster_466	N	2	7	24
Ap3:5559637-5560053	Cluster_467	N	1	9	16
Ap3:5636276-5636695	Cluster_468	N	2	20	24
Ap3:5645197-5645615	Cluster_469	N	10	6	22
Ap3:5663420-5663833	Cluster_470	N	1	14	17
Ap3:5938546-5938962	Cluster_471	N	9	7	2
Ap3:6020010-6020442	Cluster_472	N	52	3	3
Ap3:6020792-6021223	Cluster_473	N	52	2	4
Ap3:6021581-6022013	Cluster_474	N	51	4	5
Ap3:6025194-6025622	Cluster_475	N	47	3	3
Ap3:6053475-6053893	Cluster_476	N	91	48	50
Ap3:6357220-6357636	Cluster_477	N	0	18	14
Ap3:6434986-6435400	Cluster_478	N	0	6	13
Ap3:7459942-7460356	Cluster_479	N	0	3	20
Ap3:7468643-7469057	Cluster_480	N	3	14	28
Ap3:7485389-7485803	Cluster_481	N	0	4	23
Ap3:7549728-7550147	Cluster_482	N	7	99	57
Ap3:7611224-7611662	Cluster_483	N	55	0	4
Ap3:7733100-7733517	Cluster_484	N	12	4	13
Ap3:7779441-7779944	Cluster_485	N	76	26	36
Ap3:8036265-8037024	Cluster_486	N	793	236	191
Ap3:8150248-8150664	Cluster_487	N	2	35	29
Ap3:8266788-8267204	Cluster_488	N	11	34	22
Ap3:8496207-8496626	Cluster_489	N	132	125	196
Ap3:8595134-8595550	Cluster_490	N	0	4	57
Ap3:8632926-8633343	Cluster_491	N	66	136	127
Ap3:8700694-8701111	Cluster_492	N	17	6	11
Ap3:8949074-8949498	Cluster_493	N	20	32	0
Ap3:9157682-9158098	Cluster_494	N	2	27	26
Ap3:9186871-9187286	Cluster_495	N	0	0	34
