"","target","species","OG","Nvec","Ahya","Apoc"
"NV2t000581004.1","NV2t000581004.1","Nvec","OG_242",1,1,0
"NV2t000593001.1","NV2t000593001.1","Nvec","OG_242",1,1,0
"NV2t000593002.1","NV2t000593002.1","Nvec","OG_242",1,1,0
"NV2t000599001.1","NV2t000599001.1","Nvec","OG_242",1,1,0
"NV2t000599002.1","NV2t000599002.1","Nvec","OG_242",1,1,0
"NV2t000609001.1","NV2t000609001.1","Nvec","OG_6516",1,1,0
"NV2t000610001.1","NV2t000610001.1","Nvec","OG_2154",1,1,0
"NV2t000610002.1","NV2t000610002.1","Nvec","OG_2154",1,1,0
"NV2t000610003.1","NV2t000610003.1","Nvec","OG_2154",1,1,0
"NV2t000633001.1","NV2t000633001.1","Nvec","OG_2186",1,1,0
"NV2t000648001.1","NV2t000648001.1","Nvec","OG_7155",1,1,0
"NV2t000671001.1","NV2t000671001.1","Nvec","OG_2283",1,1,0
"NV2t000671002.1","NV2t000671002.1","Nvec","OG_2283",1,1,0
"NV2t000680001.1","NV2t000680001.1","Nvec","OG_7287",1,0,0
"NV2t000681001.1","NV2t000681001.1","Nvec","OG_3700",1,1,1
"NV2t000681002.1","NV2t000681002.1","Nvec","OG_3700",1,1,1
"NV2t000681003.1","NV2t000681003.1","Nvec","OG_3700",1,1,1
"NV2t000685001.1","NV2t000685001.1","Nvec","OG_7371",1,1,0
"NV2t000687001.1","NV2t000687001.1","Nvec","OG_874",1,1,0
"NV2t000690001.1","NV2t000690001.1","Nvec","OG_874",1,1,0
"NV2t000692001.1","NV2t000692001.1","Nvec","OG_1366",1,1,0
"NV2t000699001.1","NV2t000699001.1","Nvec","OG_1247",1,1,1
"NV2t000730001.1","NV2t000730001.1","Nvec","OG_5437",1,1,0
"NV2t000731001.1","NV2t000731001.1","Nvec","OG_186",1,1,1
"NV2t000746001.1","NV2t000746001.1","Nvec","OG_5029",1,1,0
"NV2t000758001.1","NV2t000758001.1","Nvec","OG_7286",1,0,0
"NV2t000763001.1","NV2t000763001.1","Nvec","OG_5193",1,1,0
"NV2t000771001.1","NV2t000771001.1","Nvec","OG_3787",1,1,0
"NV2t000773001.1","NV2t000773001.1","Nvec","OG_6470",1,1,0
"NV2t000773002.1","NV2t000773002.1","Nvec","OG_6470",1,1,0
"NV2t000773004.1","NV2t000773004.1","Nvec","OG_6470",1,1,0
"NV2t000773003.1","NV2t000773003.1","Nvec","OG_6470",1,1,0
"NV2t000773005.1","NV2t000773005.1","Nvec","OG_6470",1,1,0
"NV2t000780001.1","NV2t000780001.1","Nvec","OG_11300",1,1,0
"NV2t000798001.1","NV2t000798001.1","Nvec","OG_10864",1,1,0
"NV2t000798002.1","NV2t000798002.1","Nvec","OG_10864",1,1,0
"NV2t000801001.1","NV2t000801001.1","Nvec","OG_7277",1,0,0
"NV2t000801002.1","NV2t000801002.1","Nvec","OG_7277",1,0,0
"NV2t000801003.1","NV2t000801003.1","Nvec","OG_7277",1,0,0
"NV2t000801004.1","NV2t000801004.1","Nvec","OG_7277",1,0,0
"NV2t000801005.1","NV2t000801005.1","Nvec","OG_7277",1,0,0
"NV2t000801006.1","NV2t000801006.1","Nvec","OG_7277",1,0,0
"NV2t000824001.1","NV2t000824001.1","Nvec","OG_213",1,0,0
"NV2t000824002.1","NV2t000824002.1","Nvec","OG_213",1,0,0
"NV2t000845001.1","NV2t000845001.1","Nvec","OG_942",1,1,0
"NV2t000847001.1","NV2t000847001.1","Nvec","OG_942",1,1,0
"NV2t000883001.1","NV2t000883001.1","Nvec","OG_7670",1,0,0
"NV2t000885001.1","NV2t000885001.1","Nvec","OG_861",1,1,1
"NV2t000888001.1","NV2t000888001.1","Nvec","OG_1035",1,0,0
"NV2t000913001.1","NV2t000913001.1","Nvec","OG_7663",1,0,0
"NV2t000913002.1","NV2t000913002.1","Nvec","OG_7663",1,0,0
"NV2t000914001.1","NV2t000914001.1","Nvec","OG_7498",1,1,1
"NV2t000914002.1","NV2t000914002.1","Nvec","OG_7498",1,1,1
"NV2t000918002.1","NV2t000918002.1","Nvec","OG_8219",1,0,0
"NV2t000926001.1","NV2t000926001.1","Nvec","OG_7592",1,0,0
"NV2t000928001.1","NV2t000928001.1","Nvec","OG_7660",1,0,0
"NV2t000930001.1","NV2t000930001.1","Nvec","OG_7661",1,1,0
"NV2t000933001.1","NV2t000933001.1","Nvec","OG_7662",1,1,0
"NV2t000934001.1","NV2t000934001.1","Nvec","OG_2212",1,0,0
"NV2t000934002.1","NV2t000934002.1","Nvec","OG_2212",1,0,0
"NV2t000942001.1","NV2t000942001.1","Nvec","OG_1091",1,1,0
"NV2t000942002.1","NV2t000942002.1","Nvec","OG_1091",1,1,0
"NV2t000945001.1","NV2t000945001.1","Nvec","OG_7152",1,1,0
"NV2t000946001.1","NV2t000946001.1","Nvec","OG_6515",1,1,1
"NV2t000949001.1","NV2t000949001.1","Nvec","OG_7655",1,0,0
"NV2t000954001.1","NV2t000954001.1","Nvec","OG_7483",1,0,0
"NV2t000954002.1","NV2t000954002.1","Nvec","OG_7483",1,0,0
"NV2t000954003.1","NV2t000954003.1","Nvec","OG_7483",1,0,0
"NV2t000955001.1","NV2t000955001.1","Nvec","OG_7484",1,1,0
"NV2t000955002.1","NV2t000955002.1","Nvec","OG_7484",1,1,0
"NV2t000989001.1","NV2t000989001.1","Nvec","OG_1394",1,0,0
"NV2t001019001.1","NV2t001019001.1","Nvec","OG_1198",1,1,0
"NV2t001023001.1","NV2t001023001.1","Nvec","OG_10312",1,0,0
"NV2t001026001.1","NV2t001026001.1","Nvec","OG_12546",1,1,0
"NV2t001026002.1","NV2t001026002.1","Nvec","OG_12546",1,1,0
"NV2t001032001.1","NV2t001032001.1","Nvec","OG_7649",1,0,0
"NV2t001036001.1","NV2t001036001.1","Nvec","OG_6018",1,1,0
"NV2t001036002.1","NV2t001036002.1","Nvec","OG_6018",1,1,0
"NV2t001036003.1","NV2t001036003.1","Nvec","OG_6018",1,1,0
"NV2t001041001.1","NV2t001041001.1","Nvec","OG_11287",1,1,0
"NV2t001040001.1","NV2t001040001.1","Nvec","OG_7527",1,0,0
"NV2t001069001.1","NV2t001069001.1","Nvec","OG_6523",1,0,0
"NV2t001069002.1","NV2t001069002.1","Nvec","OG_6523",1,0,0
"NV2t001069004.1","NV2t001069004.1","Nvec","OG_6523",1,0,0
"NV2t001069005.1","NV2t001069005.1","Nvec","OG_6523",1,0,0
"NV2t001069007.1","NV2t001069007.1","Nvec","OG_6523",1,0,0
"NV2t001073001.1","NV2t001073001.1","Nvec","OG_2267",1,0,0
"NV2t001080001.1","NV2t001080001.1","Nvec","OG_2267",1,0,0
"NV2t001088001.1","NV2t001088001.1","Nvec","OG_7615",1,0,0
"NV2t001096001.1","NV2t001096001.1","Nvec","OG_2222",1,0,0
"NV2t001108001.1","NV2t001108001.1","Nvec","OG_7523",1,1,1
"NV2t001108002.1","NV2t001108002.1","Nvec","OG_7523",1,1,1
"NV2t001108003.1","NV2t001108003.1","Nvec","OG_7523",1,1,1
"NV2t001109001.1","NV2t001109001.1","Nvec","OG_242",1,1,0
"NV2t001113001.1","NV2t001113001.1","Nvec","OG_242",1,1,0
"NV2t001116001.1","NV2t001116001.1","Nvec","OG_242",1,1,0
"NV2t001120001.1","NV2t001120001.1","Nvec","OG_7642",1,1,0
"NV2t001123002.1","NV2t001123002.1","Nvec","OG_7642",1,1,0
"NV2t001123003.1","NV2t001123003.1","Nvec","OG_7642",1,1,0
"NV2t001123004.1","NV2t001123004.1","Nvec","OG_7642",1,1,0
"NV2t001123005.1","NV2t001123005.1","Nvec","OG_7642",1,1,0
"NV2t001126001.1","NV2t001126001.1","Nvec","OG_7324",1,1,0
"NV2t001144001.1","NV2t001144001.1","Nvec","OG_7632",1,1,0
"NV2t001144002.1","NV2t001144002.1","Nvec","OG_7632",1,1,0
"NV2t001144003.1","NV2t001144003.1","Nvec","OG_7632",1,1,0
"NV2t001163001.1","NV2t001163001.1","Nvec","OG_3770",1,1,0
"NV2t001168001.1","NV2t001168001.1","Nvec","OG_7355",1,0,0
"NV2t001169001.1","NV2t001169001.1","Nvec","OG_7354",1,1,1
"NV2t001169002.1","NV2t001169002.1","Nvec","OG_7354",1,1,1
"NV2t001169003.1","NV2t001169003.1","Nvec","OG_7354",1,1,1
"NV2t001171001.1","NV2t001171001.1","Nvec","OG_1067",1,1,1
"NV2t001174001.1","NV2t001174001.1","Nvec","OG_6012",1,1,0
"NV2t001179001.1","NV2t001179001.1","Nvec","OG_3742",1,0,0
"NV2t001186001.1","NV2t001186001.1","Nvec","OG_7325",1,1,0
"NV2t001188001.1","NV2t001188001.1","Nvec","OG_7326",1,1,0
"NV2t001189001.1","NV2t001189001.1","Nvec","OG_5967",1,1,0
"NV2t001193001.1","NV2t001193001.1","Nvec","OG_3798",1,1,0
"NV2t001214001.1","NV2t001214001.1","Nvec","OG_5862",1,0,0
"NV2t001215001.1","NV2t001215001.1","Nvec","OG_3690",1,0,0
"NV2t001226001.1","NV2t001226001.1","Nvec","OG_3734",1,1,0
"NV2t001233001.1","NV2t001233001.1","Nvec","OG_2203",1,0,0
"NV2t001235001.1","NV2t001235001.1","Nvec","OG_6492",1,1,0
"NV2t001235002.1","NV2t001235002.1","Nvec","OG_6492",1,1,0
"NV2t001235003.1","NV2t001235003.1","Nvec","OG_6492",1,1,0
"NV2t001242001.1","NV2t001242001.1","Nvec","OG_2205",1,1,0
"NV2t001242002.1","NV2t001242002.1","Nvec","OG_2205",1,1,0
"NV2t001243001.1","NV2t001243001.1","Nvec","OG_2205",1,1,0
"NV2t001243002.1","NV2t001243002.1","Nvec","OG_2205",1,1,0
"NV2t001246001.1","NV2t001246001.1","Nvec","OG_7288",1,1,0
"NV2t001248001.1","NV2t001248001.1","Nvec","OG_2218",1,0,0
"NV2t001249001.1","NV2t001249001.1","Nvec","OG_11965",1,0,1
"NV2t001249002.1","NV2t001249002.1","Nvec","OG_11965",1,0,1
"NV2t001273001.1","NV2t001273001.1","Nvec","OG_227",1,1,1
"NV2t001273003.1","NV2t001273003.1","Nvec","OG_227",1,1,1
"NV2t001278001.1","NV2t001278001.1","Nvec","OG_12718",1,1,0
"NV2t001337001.1","NV2t001337001.1","Nvec","OG_7656",1,1,0
"NV2t001364001.1","NV2t001364001.1","Nvec","OG_12719",1,1,0
"NV2t001400001.1","NV2t001400001.1","Nvec","OG_6013",1,1,0
"NV2t001400004.1","NV2t001400004.1","Nvec","OG_6013",1,1,0
"NV2t001400005.1","NV2t001400005.1","Nvec","OG_6013",1,1,0
"NV2t001404001.1","NV2t001404001.1","Nvec","OG_7637",1,1,0
"NV2t001419001.1","NV2t001419001.1","Nvec","OG_7424",1,0,0
"NV2t001425001.1","NV2t001425001.1","Nvec","OG_5869",1,0,0
"NV2t001426001.1","NV2t001426001.1","Nvec","OG_7586",1,1,0
"NV2t001426002.1","NV2t001426002.1","Nvec","OG_7586",1,1,0
"NV2t001426003.1","NV2t001426003.1","Nvec","OG_7586",1,1,0
"NV2t001426004.1","NV2t001426004.1","Nvec","OG_7586",1,1,0
"NV2t001426005.1","NV2t001426005.1","Nvec","OG_7586",1,1,0
"NV2t001426006.1","NV2t001426006.1","Nvec","OG_7586",1,1,0
"NV2t001426007.1","NV2t001426007.1","Nvec","OG_7586",1,1,0
"NV2t001426008.1","NV2t001426008.1","Nvec","OG_7586",1,1,0
"NV2t001434001.1","NV2t001434001.1","Nvec","OG_7452",1,0,0
"NV2t001434002.1","NV2t001434002.1","Nvec","OG_7452",1,0,0
"NV2t001434004.1","NV2t001434004.1","Nvec","OG_7452",1,0,0
"NV2t001445001.1","NV2t001445001.1","Nvec","OG_7153",1,0,0
"NV2t001465001.1","NV2t001465001.1","Nvec","OG_7178",1,0,0
"NV2t001469001.1","NV2t001469001.1","Nvec","OG_7191",1,0,0
"NV2t001480001.1","NV2t001480001.1","Nvec","OG_1226",1,1,0
"NV2t001517001.1","NV2t001517001.1","Nvec","OG_187",1,0,1
"NV2t001518001.1","NV2t001518001.1","Nvec","OG_187",1,0,1
"NV2t001527001.1","NV2t001527001.1","Nvec","OG_631",1,1,1
"NV2t001543001.1","NV2t001543001.1","Nvec","OG_7236",1,1,0
"NV2t001543002.1","NV2t001543002.1","Nvec","OG_7236",1,1,0
"NV2t001543003.1","NV2t001543003.1","Nvec","OG_7236",1,1,0
"NV2t001544001.1","NV2t001544001.1","Nvec","OG_7235",1,1,0
"NV2t001549001.1","NV2t001549001.1","Nvec","OG_5989",1,1,0
"NV2t001572001.1","NV2t001572001.1","Nvec","OG_6200",1,0,0
"NV2t001579001.1","NV2t001579001.1","Nvec","OG_818",1,1,0
"NV2t001588001.1","NV2t001588001.1","Nvec","OG_4924",1,1,0
"NV2t001588002.1","NV2t001588002.1","Nvec","OG_4924",1,1,0
"NV2t001588003.1","NV2t001588003.1","Nvec","OG_4924",1,1,0
"NV2t001590001.1","NV2t001590001.1","Nvec","OG_12720",1,0,0
"NV2t001592001.1","NV2t001592001.1","Nvec","OG_2233",1,0,0
"NV2t001597001.1","NV2t001597001.1","Nvec","OG_2207",1,0,0
"NV2t001597002.1","NV2t001597002.1","Nvec","OG_2207",1,0,0
"NV2t001597003.1","NV2t001597003.1","Nvec","OG_2207",1,0,0
"NV2t001597004.1","NV2t001597004.1","Nvec","OG_2207",1,0,0
"NV2t001600001.1","NV2t001600001.1","Nvec","OG_1051",1,1,1
"NV2t001600002.1","NV2t001600002.1","Nvec","OG_1051",1,1,1
"NV2t001600003.1","NV2t001600003.1","Nvec","OG_1051",1,1,1
"NV2t001621001.1","NV2t001621001.1","Nvec","OG_761",1,1,0
"NV2t001624001.1","NV2t001624001.1","Nvec","OG_1035",1,0,0
"NV2t001655001.1","NV2t001655001.1","Nvec","OG_12721",1,1,0
"NV2t001660001.1","NV2t001660001.1","Nvec","OG_3753",1,1,0
"NV2t001667001.1","NV2t001667001.1","Nvec","OG_6604",1,1,0
"NV2t001671002.1","NV2t001671002.1","Nvec","OG_186",1,1,1
"NV2t001671003.1","NV2t001671003.1","Nvec","OG_186",1,1,1
"NV2t001671001.1","NV2t001671001.1","Nvec","OG_805",1,1,0
"NV2t001672001.1","NV2t001672001.1","Nvec","OG_186",1,1,1
"NV2t001679001.1","NV2t001679001.1","Nvec","OG_1248",1,1,0
"NV2t001684001.1","NV2t001684001.1","Nvec","OG_257",1,1,1
"NV2t001683001.1","NV2t001683001.1","Nvec","OG_7148",1,0,0
"NV2t001686001.1","NV2t001686001.1","Nvec","OG_7266",1,1,0
"NV2t001696001.1","NV2t001696001.1","Nvec","OG_1200",1,0,0
"NV2t001707001.1","NV2t001707001.1","Nvec","OG_6456",1,0,0
"NV2t001709001.1","NV2t001709001.1","Nvec","OG_7174",1,1,0
"NV2t001711001.1","NV2t001711001.1","Nvec","OG_7276",1,0,0
"NV2t001712001.1","NV2t001712001.1","Nvec","OG_7275",1,0,0
"NV2t001725001.1","NV2t001725001.1","Nvec","OG_6500",1,1,1
"NV2t001727001.1","NV2t001727001.1","Nvec","OG_7520",1,1,0
"NV2t001727002.1","NV2t001727002.1","Nvec","OG_7520",1,1,0
"NV2t001727003.1","NV2t001727003.1","Nvec","OG_7520",1,1,0
"NV2t001728001.1","NV2t001728001.1","Nvec","OG_400",1,1,0
"NV2t001728002.1","NV2t001728002.1","Nvec","OG_400",1,1,0
"NV2t001734001.1","NV2t001734001.1","Nvec","OG_2302",1,1,0
"NV2t001758001.1","NV2t001758001.1","Nvec","OG_7268",1,1,1
"NV2t001764001.1","NV2t001764001.1","Nvec","OG_7280",1,1,1
"NV2t001769001.1","NV2t001769001.1","Nvec","OG_7279",1,0,0
"NV2t001783001.1","NV2t001783001.1","Nvec","OG_819",1,1,0
"NV2t001783002.1","NV2t001783002.1","Nvec","OG_819",1,1,0
"NV2t001783003.1","NV2t001783003.1","Nvec","OG_819",1,1,0
"NV2t001783004.1","NV2t001783004.1","Nvec","OG_819",1,1,0
"NV2t001783005.1","NV2t001783005.1","Nvec","OG_819",1,1,0
"NV2t001783006.1","NV2t001783006.1","Nvec","OG_819",1,1,0
"NV2t001785001.1","NV2t001785001.1","Nvec","OG_6004",1,0,0
"NV2t001785002.1","NV2t001785002.1","Nvec","OG_6004",1,0,0
"NV2t001792001.1","NV2t001792001.1","Nvec","OG_2241",1,1,1
"NV2t001793001.1","NV2t001793001.1","Nvec","OG_7501",1,1,0
"NV2t001808001.1","NV2t001808001.1","Nvec","OG_7456",1,1,1
"NV2t001808002.1","NV2t001808002.1","Nvec","OG_7456",1,1,1
"NV2t001814001.1","NV2t001814001.1","Nvec","OG_6512",1,1,0
"NV2t001838001.1","NV2t001838001.1","Nvec","OG_512",1,1,0
"NV2t001839001.1","NV2t001839001.1","Nvec","OG_7184",1,0,1
"NV2t001840001.1","NV2t001840001.1","Nvec","OG_7237",1,1,0
"NV2t001872001.1","NV2t001872001.1","Nvec","OG_2239",1,1,0
"NV2t001890001.1","NV2t001890001.1","Nvec","OG_403",1,1,0
"NV2t001891001.1","NV2t001891001.1","Nvec","OG_7300",1,1,1
"NV2t001891002.1","NV2t001891002.1","Nvec","OG_7300",1,1,1
"NV2t001891003.1","NV2t001891003.1","Nvec","OG_7300",1,1,1
"NV2t001899001.1","NV2t001899001.1","Nvec","OG_186",1,1,1
"NV2t001903001.1","NV2t001903001.1","Nvec","OG_1145",1,0,0
"NV2t001903002.1","NV2t001903002.1","Nvec","OG_1145",1,0,0
"NV2t001903003.1","NV2t001903003.1","Nvec","OG_1145",1,0,0
"NV2t001909001.1","NV2t001909001.1","Nvec","OG_255",1,0,0
"NV2t001915001.1","NV2t001915001.1","Nvec","OG_2187",1,1,0
"NV2t001928001.1","NV2t001928001.1","Nvec","OG_11150",1,1,0
"NV2t001929001.1","NV2t001929001.1","Nvec","OG_3695",1,1,1
"NV2t001934001.1","NV2t001934001.1","Nvec","OG_7395",1,1,0
"NV2t001957002.1","NV2t001957002.1","Nvec","OG_860",1,1,1
"NV2t001958001.1","NV2t001958001.1","Nvec","OG_834",1,1,0
"NV2t001958002.1","NV2t001958002.1","Nvec","OG_834",1,1,0
"NV2t001961001.1","NV2t001961001.1","Nvec","OG_7316",1,1,0
"NV2t001961002.1","NV2t001961002.1","Nvec","OG_7316",1,1,0
"NV2t001975001.1","NV2t001975001.1","Nvec","OG_2195",1,0,0
"NV2t001994001.1","NV2t001994001.1","Nvec","OG_156",1,1,0
"NV2t001995001.1","NV2t001995001.1","Nvec","OG_7384",1,1,0
"NV2t001995002.1","NV2t001995002.1","Nvec","OG_7384",1,1,0
"NV2t001998001.1","NV2t001998001.1","Nvec","OG_761",1,1,0
"NV2t002003001.1","NV2t002003001.1","Nvec","OG_7455",1,1,0
"NV2t002020001.1","NV2t002020001.1","Nvec","OG_7543",1,0,0
"NV2t002034001.1","NV2t002034001.1","Nvec","OG_403",1,1,0
"NV2t002037001.1","NV2t002037001.1","Nvec","OG_7181",1,1,0
"NV2t002037002.1","NV2t002037002.1","Nvec","OG_7181",1,1,0
"NV2t002049001.1","NV2t002049001.1","Nvec","OG_802",1,1,0
"NV2t002049002.1","NV2t002049002.1","Nvec","OG_802",1,1,0
"NV2t002051001.1","NV2t002051001.1","Nvec","OG_7391",1,0,0
"NV2t002059001.1","NV2t002059001.1","Nvec","OG_5434",1,0,0
"NV2t002059002.1","NV2t002059002.1","Nvec","OG_5434",1,0,0
"NV2t002059003.1","NV2t002059003.1","Nvec","OG_5434",1,0,0
"NV2t002059005.1","NV2t002059005.1","Nvec","OG_5434",1,0,0
"NV2t002067001.1","NV2t002067001.1","Nvec","OG_4994",1,1,0
"NV2t002068001.1","NV2t002068001.1","Nvec","OG_7609",1,1,1
"NV2t002136001.1","NV2t002136001.1","Nvec","OG_1573",1,0,0
"NV2t002140002.1","NV2t002140002.1","Nvec","OG_2264",1,1,0
"NV2t002141001.1","NV2t002141001.1","Nvec","OG_7342",1,1,0
"NV2t002157001.1","NV2t002157001.1","Nvec","OG_6362",1,0,0
"NV2t002168001.1","NV2t002168001.1","Nvec","OG_7416",1,1,0
"NV2t002171001.1","NV2t002171001.1","Nvec","OG_820",1,1,0
"NV2t002171002.1","NV2t002171002.1","Nvec","OG_820",1,1,0
"NV2t002171003.1","NV2t002171003.1","Nvec","OG_820",1,1,0
"NV2t002172001.1","NV2t002172001.1","Nvec","OG_993",1,1,1
"NV2t002177001.1","NV2t002177001.1","Nvec","OG_682",1,1,1
"NV2t002177002.1","NV2t002177002.1","Nvec","OG_682",1,1,1
"NV2t002178001.1","NV2t002178001.1","Nvec","OG_663",1,1,0
"NV2t002180001.1","NV2t002180001.1","Nvec","OG_868",1,1,1
"NV2t002184001.1","NV2t002184001.1","Nvec","OG_618",1,1,0
"NV2t002190001.1","NV2t002190001.1","Nvec","OG_840",1,1,0
"NV2t002194001.1","NV2t002194001.1","Nvec","OG_3768",1,1,0
