Coords	Name	MIRNA	nvec_1_S25_L001_R1_001_trim_condensed	nvec_2_S26_L001_R1_001_trim_condensed	nvec_3_S34_L001_R1_001_trim_condensed	nvec_4_S35_L001_R1_001_trim_condensed
chr1:3007947-3008365	Cluster_38	N	67	113	17	5
chr1:3009552-3010091	Cluster_39	N	561	277	120	131
chr1:3151937-3152369	Cluster_40	N	42	29	6	0
chr1:3435059-3435796	Cluster_41	N	67	13	60	50
chr1:3436500-3437128	Cluster_42	N	107	71	4	88
chr1:3439236-3439651	Cluster_43	N	33	22	26	21
chr1:3443236-3443933	Cluster_44	N	45	68	82	5
chr1:3655242-3655657	Cluster_45	N	0	1	0	72
chr1:3677949-3678396	Cluster_46	N	1382	1662	47	93
chr1:3681556-3681971	Cluster_47	N	6	13	8	22
chr1:3992800-3993214	Cluster_48	N	1	1	9	30
chr1:3999598-4000014	Cluster_49	N	124	8	3	38
chr1:4108219-4109263	Cluster_50	N	366	207	45	506
chr1:4192485-4192901	Cluster_51	N	3	71	1	8
chr1:4228702-4229117	Cluster_52	N	5	62	0	0
chr1:4506606-4507020	Cluster_53	N	0	0	31	0
chr1:4519987-4520402	Cluster_54	N	0	0	75	5
chr1:4563359-4563773	Cluster_55	N	0	42	0	0
chr1:4618443-4618859	Cluster_56	N	5	21	0	7
chr1:4740850-4741264	Cluster_57	N	29	1	9	1
chr1:4911439-4911856	Cluster_58	N	2	3	73	72
chr1:4973146-4973581	Cluster_59	N	859	288	19	36
chr1:5166872-5167288	Cluster_60	N	20	20	2	5
chr1:5211718-5212134	Cluster_61	N	3	82	1	1
chr1:5244087-5244504	Cluster_62	N	4	4	3	161
chr1:5298007-5298424	Cluster_63	N	6	50	2	3
chr1:5322615-5323030	Cluster_64	N	1	4	149	14
chr1:5686871-5687288	Cluster_65	N	33	196	1	0
chr1:5964266-5964741	Cluster_66	N	133	31	9	14
chr1:5975755-5976171	Cluster_67	N	6	41	1	0
chr1:6156254-6156676	Cluster_68	N	10	20	15	66
chr1:6159461-6159878	Cluster_69	N	29	27	26	5
chr1:6256833-6257250	Cluster_70	N	14	100	5	4
chr1:6305391-6305842	Cluster_71	N	35021	6006	11	165
chr1:6468919-6469336	Cluster_72	N	21	48	0	0
chr1:6545518-6545933	Cluster_73	N	19	35	5	11
chr1:6575675-6576090	Cluster_74	N	78	10	44	23
chr1:6755777-6756195	Cluster_75	N	21	91	10	2
chr1:6967725-6968142	Cluster_76	N	45	12	17	28
chr1:7172849-7173264	Cluster_77	N	28	9	0	0
chr1:7249057-7249474	Cluster_78	N	16	115	3	2
chr1:7307028-7307444	Cluster_79	N	5	5	4	19
chr1:7324864-7325279	Cluster_80	N	0	0	0	29
chr1:7487213-7487629	Cluster_81	N	47	11	0	1
chr1:7488448-7488866	Cluster_82	N	34	4	11	1
chr1:7892624-7893039	Cluster_83	N	0	0	35	0
chr1:8275190-8275607	Cluster_84	N	86	10	126	80
chr1:8312458-8312875	Cluster_85	N	4	80	0	0
chr1:8375333-8375750	Cluster_86	N	9	2	3	29
chr1:8481152-8481570	Cluster_87	N	11	4	43	13
chr1:8495666-8496083	Cluster_88	N	11	54	2	2
chr1:8496981-8497416	Cluster_89	N	5	0	73	59
chr1:8497666-8498266	Cluster_90	N	58	127	0	42
chr1:8498346-8498773	Cluster_91	N	69	8	8	3
chr1:8499356-8499783	Cluster_92	N	122	10	14	3
chr1:8499878-8500466	Cluster_93	N	98	7	4	5
chr1:8501060-8501492	Cluster_94	N	45	10	4	0
chr1:8501908-8502680	Cluster_95	N	98	40	14	1
chr1:8502758-8503186	Cluster_96	N	67	27	8	3
chr1:8504111-8504711	Cluster_97	N	189	216	8	24
chr1:8504958-8505554	Cluster_98	N	127	31	14	8
chr1:8505806-8506234	Cluster_99	N	25	37	20	2
chr1:8507505-8507937	Cluster_100	N	63	34	11	2
chr1:8509716-8510143	Cluster_101	N	121	22	3	7
chr1:8511411-8511840	Cluster_102	N	32	11	50	4
chr1:8513279-8514055	Cluster_103	N	75	54	15	6
chr1:8514295-8514723	Cluster_104	N	75	9	4	10
chr1:8514834-8515234	Cluster_105	N	28	16	11	1
chr1:8515822-8516420	Cluster_106	N	104	37	5	3
chr1:8516671-8517647	Cluster_107	N	146	109	5	11
chr1:8517720-8518322	Cluster_108	N	392	568	34	23
chr1:8518735-8519302	Cluster_109	N	350	531	42	23
chr1:8519380-8520993	Cluster_110	N	316	75	27	23
chr1:8521236-8521668	Cluster_111	N	54	22	5	11
chr1:8522591-8523018	Cluster_112	N	57	11	6	2
chr1:8523270-8524212	Cluster_113	N	213	43	16	4
chr1:8524290-8524718	Cluster_114	N	68	23	3	5
chr1:8524832-8525261	Cluster_115	N	53	59	3	3
chr1:8525338-8525767	Cluster_116	N	46	41	3	6
chr1:8525810-8526234	Cluster_117	N	24	38	14	11
chr1:8526350-8528129	Cluster_118	N	149	226	31	15
chr1:8528170-8528602	Cluster_119	N	65	17	11	15
chr1:8528712-8529140	Cluster_120	N	21	46	9	7
chr1:8529860-8530629	Cluster_121	N	179	24	13	15
chr1:8530705-8531171	Cluster_122	N	101	49	9	2
chr1:8531776-8532323	Cluster_123	N	107	36	22	3
chr1:8532907-8533332	Cluster_124	N	44	42	2	2
chr1:8533580-8534514	Cluster_125	N	493	596	43	22
chr1:8534596-8535347	Cluster_126	N	182	20	2	4
chr1:8535611-8536209	Cluster_127	N	57	54	8	8
chr1:8538158-8538586	Cluster_128	N	81	27	11	7
chr1:8540530-8540962	Cluster_129	N	51	35	1	7
chr1:8542228-8542656	Cluster_130	N	76	31	7	3
chr1:8544604-8545032	Cluster_131	N	86	26	6	3
chr1:8545619-8546046	Cluster_132	N	50	27	3	2
chr1:8546969-8547734	Cluster_133	N	182	23	3	6
chr1:8549508-8549936	Cluster_134	N	87	5	3	2
chr1:8550186-8550990	Cluster_135	N	144	59	16	7
chr1:8554918-8555350	Cluster_136	N	54	39	12	3
chr1:8556105-8556537	Cluster_137	N	56	17	10	2
chr1:8557287-8557719	Cluster_138	N	47	8	8	3
chr1:8557795-8558393	Cluster_139	N	118	42	2	3
chr1:8558642-8559074	Cluster_140	N	52	27	10	3
chr1:8560168-8560600	Cluster_141	N	60	29	14	4
chr1:8561352-8561780	Cluster_142	N	87	13	8	1
chr1:8562879-8564318	Cluster_143	N	186	56	14	8
chr1:8564402-8564869	Cluster_144	N	100	50	10	9
chr1:8565301-8565716	Cluster_145	N	56	35	13	4
chr1:8565758-8566185	Cluster_146	N	46	9	5	15
chr1:8566299-8567032	Cluster_147	N	101	50	25	5
chr1:8567108-8567540	Cluster_148	N	56	39	12	3
chr1:8567792-8568216	Cluster_149	N	24	31	2	5
chr1:8568469-8568894	Cluster_150	N	33	17	1	2
chr1:8569313-8570590	Cluster_151	N	180	102	20	13
chr1:8571516-8572322	Cluster_152	N	85	29	7	15
chr1:8573209-8573801	Cluster_153	N	139	25	14	3
chr1:8573887-8574319	Cluster_154	N	53	25	8	13
chr1:8575245-8575673	Cluster_155	N	68	34	2	2
chr1:8575753-8576180	Cluster_156	N	52	5	4	4
chr1:8578121-8578546	Cluster_157	N	40	13	2	1
chr1:8578629-8579057	Cluster_158	N	85	25	0	6
chr1:8579134-8579730	Cluster_159	N	118	58	8	13
chr1:8579983-8580450	Cluster_160	N	118	47	10	3
chr1:8581342-8582148	Cluster_161	N	63	29	4	5
chr1:8582361-8582793	Cluster_162	N	58	39	12	3
chr1:8583246-8584183	Cluster_163	N	93	67	16	10
chr1:8585242-8585674	Cluster_164	N	59	35	13	4
chr1:8586640-8587713	Cluster_165	N	117	97	24	9
chr1:8587791-8588563	Cluster_166	N	120	65	24	4
chr1:8588641-8589576	Cluster_167	N	181	22	12	24
chr1:8589661-8590598	Cluster_168	N	108	63	18	22
chr1:8590845-8591441	Cluster_169	N	131	11	3	12
chr1:8591523-8591949	Cluster_170	N	30	8	0	5
chr1:8594410-8594842	Cluster_171	N	47	11	5	2
chr1:8595143-8595559	Cluster_172	N	22	44	1	14
chr1:8595602-8596034	Cluster_173	N	52	11	4	0
chr1:8596136-8596581	Cluster_174	N	134	254	54	115
chr1:8596792-8597220	Cluster_175	N	700	87	3	19
chr1:8597816-8598457	Cluster_176	N	389	58	8	12
chr1:8599008-8599435	Cluster_177	N	95	9	4	12
chr1:8635516-8635943	Cluster_178	N	96	4	3	9
chr1:8718224-8718639	Cluster_179	N	1	28	0	10
chr1:8781744-8782159	Cluster_180	N	3	25	7	4
chr1:8782525-8782940	Cluster_181	N	6	38	13	14
chr1:8802585-8803001	Cluster_182	N	10	25	5	4
chr1:8914327-8914858	Cluster_183	N	76	24	50	92
chr1:8917111-8917652	Cluster_184	N	522	138	206	168
chr1:8920881-8921424	Cluster_185	N	202	42	199	47
chr1:8924438-8924977	Cluster_186	N	64	25	16	8
chr1:8942705-8943112	Cluster_187	N	31	10	0	1
chr1:8962137-8962552	Cluster_188	N	2	14	14	7
chr1:9046247-9046664	Cluster_189	N	0	0	0	86
chr1:9048634-9049049	Cluster_190	N	4	49	2	2
chr1:9409755-9410171	Cluster_191	N	0	0	63	0
chr1:9451537-9451952	Cluster_192	N	13	3	25	2
chr1:9869570-9869999	Cluster_193	N	7	3	44	2
chr1:9880453-9880956	Cluster_194	N	30	41	43	20
chr1:10272583-10272998	Cluster_195	N	2	1	0	144
chr1:10496355-10496767	Cluster_196	N	0	0	24	4
chr1:10521080-10521540	Cluster_197	N	68	23	121	103
chr1:10524727-10525152	Cluster_198	N	18	4	30	14
chr1:10570241-10570657	Cluster_199	N	5	1	77	726
chr1:10585677-10586093	Cluster_200	N	3	42	0	0
chr1:10653012-10653428	Cluster_201	N	0	3	7	60
chr1:10660174-10660593	Cluster_202	N	7	12	54	3
chr1:10745580-10745994	Cluster_203	N	0	0	0	33
chr1:10753269-10753683	Cluster_204	N	9	26	2	1
chr1:10775390-10776692	Cluster_205	N	2447	1755	906	64
chr1:10871714-10872130	Cluster_206	N	27	3	75	9
chr1:10962150-10962566	Cluster_207	N	0	1	1	154
chr1:10974782-10975613	Cluster_208	N	7	45	76	119
chr1:11286318-11286732	Cluster_209	N	0	0	0	30
chr1:11315265-11315681	Cluster_210	N	32	20	7	15
chr1:11424884-11425299	Cluster_211	N	2	0	3	41
chr1:11441375-11442266	Cluster_212	N	1192	529	171	915
chr1:11454544-11454960	Cluster_213	N	0	0	186	81
chr1:11456005-11456419	Cluster_214	N	3	4	0	22
chr1:11663569-11663976	Cluster_215	N	2	7	37	0
chr1:11664234-11664644	Cluster_216	N	5	19	36	3
chr1:11775098-11775512	Cluster_217	N	0	1	17	26
chr1:11905944-11906360	Cluster_218	N	0	0	48	1
chr1:12216741-12217156	Cluster_219	N	2	2	14	11
chr1:12584257-12584673	Cluster_220	N	4	29	0	0
chr1:12635044-12635460	Cluster_221	N	102	13	7	0
chr1:12659650-12660068	Cluster_222	N	3	1	283	4
chr1:13005569-13005984	Cluster_223	N	0	0	0	81
chr1:13597957-13598371	Cluster_224	N	0	0	0	28
chr1:13818649-13819066	Cluster_225	N	23	347	31	14
chr1:13927656-13928070	Cluster_226	N	0	0	30	0
chr1:13999409-13999824	Cluster_227	N	0	0	0	62
chr1:14031288-14031843	Cluster_228	N	145	24	25	77
chr1:14031857-14032274	Cluster_229	N	0	0	0	434
chr1:14462021-14462440	Cluster_230	N	26	18	30	26
chr1:14501264-14501680	Cluster_231	N	7	15	9	0
chr1:14511541-14511955	Cluster_232	N	1	17	9	3
chr1:15040005-15040421	Cluster_233	N	4	0	1	34
chr1:15229481-15229897	Cluster_234	N	7	1	2	35
chr1:15287113-15287529	Cluster_235	N	2	150	3	1
chr1:15342225-15342637	Cluster_236	N	39	14	19	12
chr1:15700934-15701349	Cluster_237	N	4	17	12	9
chr1:15718115-15718548	Cluster_238	N	370	5	1	1
chr1:15727587-15728002	Cluster_239	N	3	19	10	3
chr1:15750433-15750956	Cluster_240	N	134	28	123	103
chr1:16018385-16018794	Cluster_241	N	3	14	26	2
chr1:16839791-16840219	Cluster_242	N	75	2	5	12
chr1:17177943-17178359	Cluster_243	N	11	17	0	3
chr1:17238627-17239068	Cluster_244	N	155	93	77	49
chr1:17326845-17327261	Cluster_245	N	26	102	1	0
chr1:17428478-17428894	Cluster_246	N	59	16	25	8
chr1:17484702-17485122	Cluster_247	N	55	14	22	38
chr1:17571842-17572259	Cluster_248	N	7	5	1	35
chr1:17644608-17645023	Cluster_249	N	15	17	2	1
chr1:17712512-17712927	Cluster_250	N	0	1	1	137
chr1:17747437-17747853	Cluster_251	N	9	108	20	26
chr1:17897953-17898370	Cluster_252	N	17	42	39	1
chr1:18068871-18069288	Cluster_253	N	6	76	6	53
chr1:18160065-18160481	Cluster_254	N	0	0	0	32
chr1:18432363-18432779	Cluster_255	N	3	0	6	97
chr1:18433543-18433960	Cluster_256	N	4	30	7	0
chr1:18520333-18520759	Cluster_257	N	9	4	25	9
chr1:18593560-18594144	Cluster_258	N	54	92	31	91
chr1:18636510-18636954	Cluster_259	N	37	4	25	18
chr1:18690550-18690967	Cluster_260	N	2	39	1	0
chr1:18853815-18854230	Cluster_261	N	8	16	7	14
chr1:18945696-18946110	Cluster_262	N	0	1	0	38
chr1:19002901-19003314	Cluster_263	N	15	12	1	7
chr1:19136627-19137048	Cluster_264	N	60	3	11	0
chr1:19192665-19193083	Cluster_265	N	30	12	13	88
chr1:19250789-19251203	Cluster_266	N	1	27	1	1
chr1:19297623-19298038	Cluster_267	N	6	23	0	1
chr1:19397876-19398292	Cluster_268	N	0	2	48	5
chr1:19617309-19617725	Cluster_269	N	12	0	2	43
chr1:19737161-19737589	Cluster_270	N	12	3	12	14
chr1:19746112-19746541	Cluster_271	N	19	13	34	6
chr1:20043704-20044121	Cluster_272	N	10	212	19	1
chr1:20067958-20068375	Cluster_273	N	10	209	20	1
chr1:20206084-20206503	Cluster_274	N	2	37	1	9
chr1:20468095-20468510	Cluster_275	N	0	0	1	52
chr1:20656056-20656472	Cluster_276	N	20	2	9	1
chr1:20673208-20673628	Cluster_277	N	2	1	49	52
chr1:20677814-20678230	Cluster_278	N	29	3	17	5
chr1:20734410-20734838	Cluster_279	N	1	2	57	4
chr1:20737226-20737654	Cluster_280	N	2	3	59	3
chr1:20738334-20738762	Cluster_281	N	129	10	10	3
chr1:20770430-20770854	Cluster_282	N	0	4	38	4
chr1:21149123-21149538	Cluster_283	N	0	0	0	31
chr1:21531159-21531584	Cluster_284	N	0	4	43	3
chr1:21545897-21546313	Cluster_285	N	1	1	61	0
chr1:21554165-21554601	Cluster_286	N	23	23	22	77
chr1:21555066-21555505	Cluster_287	N	5	20	164	33
chr1:21558819-21559254	Cluster_288	N	25	25	26	56
chr1:21560974-21561395	Cluster_289	N	8	35	21	1
chr1:21570669-21576978	Cluster_290	N	8034	7943	7302	8841
chr1:21577686-21583297	Cluster_291	N	8556	8002	7276	9233
chr1:21583943-21590408	Cluster_292	N	9465	8543	8224	10100
chr1:21591054-21597149	Cluster_293	N	8120	7270	6899	9418
chr1:21612552-21612960	Cluster_294	N	3	5	27	0
chr1:21650344-21650769	Cluster_295	N	1	2	83	0
chr2:22345-22762	Cluster_296	N	0	0	0	32
chr2:135910-136327	Cluster_297	N	118	29	10	12
chr2:283782-284197	Cluster_298	N	0	0	0	81
chr2:351067-351482	Cluster_299	N	29	10	12	0
chr2:356717-357133	Cluster_300	N	4	54	16	19
chr2:391531-391945	Cluster_301	N	29	0	0	0
chr2:593338-594148	Cluster_302	N	27	78	88	3
chr2:666582-667015	Cluster_303	N	68	32	3	5
chr2:672313-672732	Cluster_304	N	53	50	8	19
chr2:763110-763527	Cluster_305	N	94	2	0	16
chr2:1013130-1013548	Cluster_306	N	107	28	0	0
chr2:1025950-1026366	Cluster_307	N	25	31	30	80
chr2:1149239-1149952	Cluster_308	N	5	19	11	40
chr2:1730760-1731176	Cluster_309	N	16	28	2	3
chr2:2274046-2274462	Cluster_310	N	1	0	1	107
chr2:2275012-2275428	Cluster_311	N	8	26	1	0
chr2:2500963-2501381	Cluster_312	N	4	0	15	113
chr2:2958346-2958762	Cluster_313	N	0	0	50	0
chr2:2961751-2962157	Cluster_314	N	12	11	1	26
chr2:3189011-3189427	Cluster_315	N	6	22	11	2
chr2:3443023-3443441	Cluster_316	N	85	225	444	1895
chr2:3500818-3501232	Cluster_317	N	0	0	0	42
chr2:3691248-3691666	Cluster_318	N	11	51	8	0
chr2:3780468-3780884	Cluster_319	N	15	2	0	14
chr2:3840620-3841062	Cluster_320	N	19	23	49	29
chr2:3851186-3851601	Cluster_321	N	5	7	9	18
chr2:3853930-3854346	Cluster_322	N	3	22	27	5
chr2:3856976-3857398	Cluster_323	N	52	137	4	5
chr2:4043516-4043930	Cluster_324	N	9	13	6	6
chr2:4093368-4093784	Cluster_325	N	435	185	15	1599
chr2:4117687-4118117	Cluster_326	N	2	9	54	16
chr2:4133305-4133721	Cluster_327	N	0	1	7	30
chr2:4166746-4167162	Cluster_328	N	58	107	12	32
chr2:4177927-4178341	Cluster_329	N	0	0	35	0
chr2:4206354-4206770	Cluster_330	N	7	3	2	16
chr2:4651119-4651758	Cluster_331	N	98	95	36	36
chr2:4652121-4652641	Cluster_332	N	38	7	51	49
chr2:5006106-5006523	Cluster_333	N	12	5	50	24
chr2:5177877-5178295	Cluster_334	N	14	34	25	1
chr2:5220656-5221070	Cluster_335	N	0	16	15	11
chr2:5304505-5304920	Cluster_336	N	0	0	84	4
chr2:5395096-5395512	Cluster_337	N	168	35	0	35
chr2:5423093-5423673	Cluster_338	N	48	36	79	51
chr2:5466314-5466731	Cluster_339	N	5	286	1	1
chr2:5467426-5468126	Cluster_340	N	16577	5785	7431	7307
chr2:5497824-5498241	Cluster_341	N	41	25	62	135
chr2:5504057-5504472	Cluster_342	N	0	1	2	38
chr2:5927791-5928206	Cluster_343	N	0	28	1	0
chr2:5941452-5941867	Cluster_344	N	30	5	6	0
chr2:6065912-6066328	Cluster_345	N	7	3	0	60
chr2:6113136-6113551	Cluster_346	N	80	8	0	4
chr2:6296509-6296922	Cluster_347	N	4	21	4	1
chr2:6452172-6452589	Cluster_348	N	19	146	0	0
chr2:6598319-6598732	Cluster_349	N	9	7	3	10
chr2:6841182-6841600	Cluster_350	N	28	130	0	0
chr2:6869668-6870085	Cluster_351	N	16	128	7	2
chr2:6985405-6985819	Cluster_352	N	0	0	0	42
chr2:7251866-7252789	Cluster_353	N	51	169	146	15
chr2:7307147-7307564	Cluster_354	N	15	2	0	16
chr2:7325194-7325612	Cluster_355	N	16	6	0	12
chr2:7369221-7369635	Cluster_356	N	1	0	0	41
chr2:7442884-7443299	Cluster_357	N	12	24	0	1
chr2:7494848-7495265	Cluster_358	N	20	7	11	48
chr2:7503117-7503533	Cluster_359	N	3	1	30	290
chr2:7652829-7653300	Cluster_360	N	1	0	0	134
chr2:7804148-7804555	Cluster_361	N	6	19	5	3
chr2:7810872-7811297	Cluster_362	N	2	31	10	0
chr2:7973829-7974245	Cluster_363	N	25	1	1	6
chr2:8020564-8020980	Cluster_364	N	22	4	0	7
chr2:8219324-8219739	Cluster_365	N	0	1	2	47
chr2:8343082-8343501	Cluster_366	N	6	23	1	2
chr2:8370567-8370989	Cluster_367	N	112	0	169	11
chr2:8591230-8591914	Cluster_368	N	773	855	1048	820
chr2:8592525-8592941	Cluster_369	N	8	6	2	28
chr2:8611643-8612057	Cluster_370	N	0	0	0	52
chr2:8686094-8686509	Cluster_371	N	0	0	42	14
chr2:8689293-8689764	Cluster_372	N	8	78	10	4
chr2:8897506-8897922	Cluster_373	N	30	0	4	6
chr2:8964628-8965067	Cluster_374	N	424	308	39	39
chr2:9038202-9038619	Cluster_375	N	18	49	5	35
chr2:9066910-9067326	Cluster_376	N	30	8	2	4
chr2:9134856-9135271	Cluster_377	N	0	0	0	29
chr2:9179754-9180167	Cluster_378	N	0	0	0	29
chr2:9256236-9256650	Cluster_379	N	0	0	0	44
chr2:9412317-9412732	Cluster_380	N	4	38	2	0
chr2:9526203-9526618	Cluster_381	N	1	0	45	16
chr2:9545915-9546329	Cluster_382	N	0	0	0	36
chr2:9735253-9735668	Cluster_383	N	2	5	0	24
chr2:9752044-9752460	Cluster_384	N	0	0	124	0
chr2:9874081-9874495	Cluster_385	N	0	2	4	35
chr2:9925998-9926414	Cluster_386	N	23	14	25	10
chr2:9990940-9991357	Cluster_387	N	19	5	1	7
chr2:10197525-10197942	Cluster_388	N	7	92	26	8
chr2:10561706-10562147	Cluster_389	N	76	53	1	17
chr2:10627818-10628233	Cluster_390	N	2	40	1	0
chr2:10660887-10661302	Cluster_391	N	0	0	0	61
chr2:10707146-10707562	Cluster_392	N	40	13	25	1
chr2:10932042-10932459	Cluster_393	N	38	44	36	5
chr2:10932644-10933058	Cluster_394	N	0	0	44	2
chr2:11198009-11198426	Cluster_395	N	55	52	0	3
chr2:11353174-11353594	Cluster_396	N	0	1	0	54
chr2:11418697-11419111	Cluster_397	N	0	0	42	0
chr2:11463328-11463743	Cluster_398	N	1	28	2	1
chr2:11612847-11613264	Cluster_399	N	23	24	18	8
chr2:11645829-11646244	Cluster_400	N	1	0	0	42
chr2:11684043-11684459	Cluster_401	N	5	8	4	17
chr2:11702029-11702444	Cluster_402	N	0	0	0	258
chr2:11739780-11740201	Cluster_403	N	48	7	0	0
chr2:12071098-12071514	Cluster_404	N	41	6	5	19
chr2:12107991-12108408	Cluster_405	N	10	45	28	7
chr2:12123131-12123546	Cluster_406	N	0	1	13	142
chr2:12338620-12339037	Cluster_407	N	22	127	34	7
chr2:12641825-12642240	Cluster_408	N	3	29	0	2
chr2:12799968-12800385	Cluster_409	N	7	0	14	75
chr2:12816845-12817262	Cluster_410	N	13	3	23	43
chr2:12984317-12984733	Cluster_411	N	47	10	7	0
chr2:13036391-13036807	Cluster_412	N	75	29	5	8
chr2:13106237-13106654	Cluster_413	N	27	259	4	1
chr2:13106864-13107278	Cluster_414	N	0	1	0	34
chr2:13203395-13203814	Cluster_415	N	112	23	66	16
chr2:13294506-13294922	Cluster_416	N	12	10	15	1
chr2:13349353-13349771	Cluster_417	N	6	115	27	15
chr2:13358828-13359244	Cluster_418	N	8	6	28	4
chr2:13637896-13638315	Cluster_419	N	627	167	23	59
chr2:13679076-13679476	Cluster_420	N	50	17	13	2
chr2:14097461-14097876	Cluster_421	N	7	19	0	26
chr2:14160397-14160812	Cluster_422	N	17	6	12	5
chr2:14180317-14180729	Cluster_423	N	0	0	0	31
chr2:14195845-14196306	Cluster_424	N	65	45	5	20
chr2:14237268-14237748	Cluster_425	N	40	26	24	17
chr2:14263716-14264132	Cluster_426	N	6	115	19	10
chr2:14368476-14368890	Cluster_427	N	0	0	0	42
chr2:14408769-14409531	Cluster_428	N	727	370	48	67
chr2:14411399-14411835	Cluster_429	N	1342	395	332	259
chr2:14412414-14412890	Cluster_430	N	306	158	67	101
chr2:14612036-14612563	Cluster_431	N	183	49	79	50
chr2:14940209-14940624	Cluster_432	N	33	102	13	1
chr2:15032574-15032990	Cluster_433	N	2	3	22	31
chr2:15100331-15100747	Cluster_434	N	51	2	1	0
chr2:15114364-15114782	Cluster_435	N	80	4	0	1
chr2:15170835-15171248	Cluster_436	N	0	0	0	28
chr2:15196181-15196596	Cluster_437	N	9	25	0	0
chr2:15396760-15397190	Cluster_438	N	74	30	20	18
chr2:15400383-15400798	Cluster_439	N	0	1	2	158
chr2:15416247-15416676	Cluster_440	N	13	14	6	7
chr2:15509324-15509762	Cluster_441	N	29	28	10	10
chr2:15509926-15510367	Cluster_442	N	45	17	45	28
chr2:15571745-15572159	Cluster_443	N	0	0	38	0
chr2:15607798-15608215	Cluster_444	N	42	123	1	15
chr2:15765471-15765886	Cluster_445	N	27	5	3	0
chr2:15869750-15870170	Cluster_446	N	20	9	7	28
chr2:15871907-15872312	Cluster_447	N	20	13	6	12
chr2:15881788-15882205	Cluster_448	N	50	342	14	2
chr2:15966798-15967213	Cluster_449	N	66	15	10	1
chr2:15970376-15970794	Cluster_450	N	17	30	151	37
chr2:16190866-16191283	Cluster_451	N	63	152	0	19
chr2:16230523-16230940	Cluster_452	N	26	7	11	80
chr2:16247454-16247868	Cluster_453	N	0	0	0	29
chr2:16281885-16282301	Cluster_454	N	0	1	15	41
chr2:16404354-16404770	Cluster_455	N	6	9	12	28
chr2:16508871-16509285	Cluster_456	N	0	0	1	32
chr2:16565241-16565657	Cluster_457	N	71	13	38	7
chr2:16572004-16572420	Cluster_458	N	35	28	21	56
chr2:16774505-16774920	Cluster_459	N	24	30	4	14
chr2:16777338-16777751	Cluster_460	N	0	0	29	0
chr2:16778821-16779233	Cluster_461	N	0	0	0	36
chr2:16812430-16812846	Cluster_462	N	38	259	2	1
chr2:16917631-16918063	Cluster_463	N	26	132	0	28
chr2:16942325-16942741	Cluster_464	N	0	0	0	41
chr2:17154319-17154780	Cluster_465	N	4624	1427	518	340
chr2:17178904-17179332	Cluster_466	N	0	5	64	0
chr2:17184707-17185123	Cluster_467	N	92	179	34	32
chr2:17385973-17386391	Cluster_468	N	0	0	22	292
chr2:17422338-17422845	Cluster_469	N	52	34	57	28
chr2:17436070-17436486	Cluster_470	N	12	50	3	15
chr2:17437932-17438349	Cluster_471	N	13	58	14	30
chr2:17618480-17619221	Cluster_472	N	78	185	5	1
chr2:17683711-17684127	Cluster_473	N	1	37	1	0
chr2:17719523-17720195	Cluster_474	N	32	26	66	42
chr2:17720916-17721358	Cluster_475	N	37	12	19	27
