"","GO.ID","Term","Annotated","Significant","Expected","Fisher","Protein_ID","ontology","Swiss.Prot_Hit","SP_E.value","Swiss.Prot_Description","Trembl_Hit","TB_E.value","Trembl_Description","NCBI_hit","nr_E.value","NCBI_Description","GO_Swiss.Prot","GO_Trembl"
"228","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap11.1451","Molecular Functions","sp|Q9H8W5|TRI45_HUMAN",5.86e-34,"Tripartite motif-containing protein 45 OS=Homo sapiens GN=TRIM45 PE=1 SV=2","tr|A0A2B4RHW4|A0A2B4RHW4_STYPI",0,"C-1-tetrahydrofolate synthase, cytoplasmic (Fragment) OS=Stylophora pistillata GN=Mthfd1 PE=4 SV=1","ref|XP_020632041.1|",0,"tripartite motif-containing protein 2-like [Orbicella faveolata]","GO:0005829; GO:0045171; GO:0005654; GO:0008270; GO:0060348","GO:0005622; GO:0005524; GO:0004329; GO:0004488; GO:0008270"
"229","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap11.1455","Molecular Functions","sp|E7FAM5|LIN41_DANRE",2.39e-41,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4R7J2|A0A2B4R7J2_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020632239.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"230","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap11.1457","Molecular Functions","sp|E7FAM5|LIN41_DANRE",1.35e-93,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4R7J2|A0A2B4R7J2_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020632239.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"231","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap11.593_evm.model.Ap11.597","Molecular Functions","sp|E7FAM5|LIN41_DANRE",4.48e-68,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4REK7|A0A2B4REK7_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020603791.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"232","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap12.1968","Molecular Functions","sp|E7FAM5|LIN41_DANRE",8.05e-63,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4R5E6|A0A2B4R5E6_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020611984.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"233","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap12.1985","Molecular Functions","sp|E7FAM5|LIN41_DANRE",7.99e-71,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4R5E6|A0A2B4R5E6_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020611984.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"234","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap12.1987","Molecular Functions","sp|F6QEU4|LIN41_XENTR",1.15e-50,"E3 ubiquitin-protein ligase TRIM71 OS=Xenopus tropicalis GN=trim71 PE=3 SV=1","tr|A0A2B4R5E6|A0A2B4R5E6_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020611984.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"235","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap13.2497","Molecular Functions","sp|Q9ULT8|HECD1_HUMAN",0,"E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens GN=HECTD1 PE=1 SV=3","tr|A0A2B4RK80|A0A2B4RK80_STYPI",0,"E3 ubiquitin-protein ligase HECTD1 OS=Stylophora pistillata GN=HECTD1 PE=4 SV=1","ref|XP_020621534.1|",0,"E3 ubiquitin-protein ligase HECTD1-like [Orbicella faveolata]","GO:0005737; GO:0046872; GO:0061630","GO:0016874; GO:0046872; GO:0004842"
"236","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap13.2497.1.5f15e0e5","Molecular Functions","sp|Q9ULT8|HECD1_HUMAN",0,"E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens GN=HECTD1 PE=1 SV=3","tr|A0A2B4RK80|A0A2B4RK80_STYPI",0,"E3 ubiquitin-protein ligase HECTD1 OS=Stylophora pistillata GN=HECTD1 PE=4 SV=1","ref|XP_020621534.1|",0,"E3 ubiquitin-protein ligase HECTD1-like [Orbicella faveolata]","GO:0005737; GO:0046872; GO:0061630","GO:0016874; GO:0046872; GO:0004842"
"237","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap3.1592","Molecular Functions","sp|E7FAM5|LIN41_DANRE",2.36e-104,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4R4D8|A0A2B4R4D8_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020609847.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"238","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap4.1532","Molecular Functions","sp|Q8CIK8|RFWD3_MOUSE",4.23e-116,"E3 ubiquitin-protein ligase RFWD3 OS=Mus musculus GN=Rfwd3 PE=2 SV=1","tr|A0A2B4SY56|A0A2B4SY56_STYPI",0,"E3 ubiquitin-protein ligase RFWD3 OS=Stylophora pistillata GN=Rfwd3 PE=4 SV=1","gb|PFX34109.1|",0,"E3 ubiquitin-protein ligase RFWD3-like [Stylophora pistillata]","GO:0005737; GO:0005654; GO:0005634; GO:0016605; GO:0090734; GO:0035861; GO:0097371; GO:0046872; GO:0002039; GO:0004842; GO:0006974; GO:0000724; GO:0036297; GO:0031571; GO:0016567; GO:2000001; GO:0031297; GO:0010212","GO:0005634; GO:0016874; GO:0004842; GO:0036297"
"239","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap4.6776","Molecular Functions","sp|E7FAM5|LIN41_DANRE",0,"E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1","tr|A0A2B4SS05|A0A2B4SS05_STYPI",0,"E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1","ref|XP_020622651.1|",0,"E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]","GO:0000932; GO:0035198; GO:0004842; GO:0008270; GO:0010172; GO:0008543; GO:0000082; GO:0035278; GO:0010586; GO:0021915; GO:0051865; GO:0060964; GO:2000177; GO:0072089","GO:0005622; GO:0016874; GO:0008270"
"240","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap6.2623","Molecular Functions","sp|Q02251|MCAS_MYCBO",8.3e-159,"Mycocerosic acid synthase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=mas PE=1 SV=2","tr|A0A2B4SJY3|A0A2B4SJY3_STYPI",0,"Phthiocerol synthesis polyketide synthase type I PpsC OS=Stylophora pistillata GN=ppsC PE=4 SV=1","ref|XP_020601194.1|",0,"uncharacterized protein LOC110040319 [Orbicella faveolata]","GO:0005886; GO:0016787; GO:0016874; GO:0050111; GO:0016491; GO:0031177; GO:0006633","GO:0016021; GO:0016788; GO:0016491; GO:0009058"
"241","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap6.3018","Molecular Functions","sp|Q02251|MCAS_MYCBO",2.09e-170,"Mycocerosic acid synthase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=mas PE=1 SV=2","tr|A0A2B4SJY3|A0A2B4SJY3_STYPI",0,"Phthiocerol synthesis polyketide synthase type I PpsC OS=Stylophora pistillata GN=ppsC PE=4 SV=1","ref|XP_020627411.1|",0,"uncharacterized protein LOC110064669 isoform X1 [Orbicella faveolata]","GO:0005886; GO:0016787; GO:0016874; GO:0050111; GO:0016491; GO:0031177; GO:0006633","GO:0016021; GO:0016788; GO:0016491; GO:0009058"
"242","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap6.3018.1.5f169127","Molecular Functions","sp|Q02251|MCAS_MYCBO",1.96e-170,"Mycocerosic acid synthase OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) GN=mas PE=1 SV=2","tr|A0A2B4SJY3|A0A2B4SJY3_STYPI",0,"Phthiocerol synthesis polyketide synthase type I PpsC OS=Stylophora pistillata GN=ppsC PE=4 SV=1","ref|XP_020601196.1|",0,"LOW QUALITY PROTEIN: uncharacterized protein LOC110040320, partial [Orbicella faveolata]","GO:0005886; GO:0016787; GO:0016874; GO:0050111; GO:0016491; GO:0031177; GO:0006633","GO:0016021; GO:0016788; GO:0016491; GO:0009058"
"243","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap7.6","Molecular Functions","sp|P19891|ASNS_CRIGR",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2","tr|A0A2B4SGE9|A0A2B4SGE9_STYPI",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Stylophora pistillata GN=ASNS PE=4 SV=1","ref|XP_020609207.1|",0,"asparagine synthetase [glutamine-hydrolyzing]-like [Orbicella faveolata]","GO:0005829; GO:0004066; GO:0005524; GO:0042149; GO:0006541; GO:0070981; GO:0043066; GO:0045931","GO:0004066; GO:0006529"
"244","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap7.7","Molecular Functions","sp|P19891|ASNS_CRIGR",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2","tr|A0A2B4SGE9|A0A2B4SGE9_STYPI",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Stylophora pistillata GN=ASNS PE=4 SV=1","ref|XP_020609207.1|",0,"asparagine synthetase [glutamine-hydrolyzing]-like [Orbicella faveolata]","GO:0005829; GO:0004066; GO:0005524; GO:0042149; GO:0006541; GO:0070981; GO:0043066; GO:0045931","GO:0004066; GO:0006529"
"245","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap7.8","Molecular Functions","sp|P19891|ASNS_CRIGR",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Cricetulus griseus GN=ASNS PE=2 SV=2","tr|A0A2B4SGE9|A0A2B4SGE9_STYPI",0,"Asparagine synthetase [glutamine-hydrolyzing] OS=Stylophora pistillata GN=ASNS PE=4 SV=1","ref|XP_020609207.1|",0,"asparagine synthetase [glutamine-hydrolyzing]-like [Orbicella faveolata]","GO:0005829; GO:0004066; GO:0005524; GO:0042149; GO:0006541; GO:0070981; GO:0043066; GO:0045931","GO:0004066; GO:0006529"
"246","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap9.1924","Molecular Functions","sp|Q80TP3|UBR5_MOUSE",0,"E3 ubiquitin-protein ligase UBR5 OS=Mus musculus GN=Ubr5 PE=1 SV=2","tr|A0A2B4RIS6|A0A2B4RIS6_STYPI",0,"E3 ubiquitin-protein ligase UBR5 OS=Stylophora pistillata GN=Ubr5 PE=4 SV=1","gb|PFX16713.1|",0,"E3 ubiquitin-protein ligase UBR5 [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005654; GO:0005634; GO:0048471; GO:0043234; GO:0003723; GO:0043130; GO:0061630; GO:0034450; GO:0008270; GO:0006974; GO:0006281; GO:2000780; GO:1901315; GO:1905077; GO:0090263; GO:0035413; GO:0010628; GO:0033160; GO:0050847; GO:0000209; GO:0031647","GO:0016874; GO:0003723; GO:0043130; GO:0004842; GO:0008270"
"247","GO:0016874","ligase activity",667,26,9.68,7.1e-05,"evm.model.Ap9.941","Molecular Functions",NA,NA,NA,"tr|A0A2B4R5E5|A0A2B4R5E5_STYPI",2.8e-22,"E3 ubiquitin-protein ligase DZIP3 OS=Stylophora pistillata GN=Dzip3 PE=4 SV=1","gb|PFX11587.1|",4.33e-22,"E3 ubiquitin-protein ligase DZIP3 [Stylophora pistillata]",NA,"GO:0016874"
"248","GO:0033842","N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acet...",34,5,0.49,0.00012,"evm.model.Ap11.1192","Molecular Functions","sp|Q766D5|B4GN4_MOUSE",2.47e-34,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=B4galnt4 PE=2 SV=1","tr|A0A2B4S5S1|A0A2B4S5S1_STYPI",0,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Stylophora pistillata GN=B4galnt4 PE=4 SV=1","gb|PFX25241.1|",0,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 [Stylophora pistillata]","GO:0032580; GO:0016021; GO:0008376; GO:0033842","GO:0016740"
"249","GO:0033842","N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acet...",34,5,0.49,0.00012,"evm.model.Ap7.2034","Molecular Functions","sp|Q766D5|B4GN4_MOUSE",3.75e-70,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=B4galnt4 PE=2 SV=1","tr|A0A2B4RZV4|A0A2B4RZV4_STYPI",3.15e-168,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Stylophora pistillata GN=B4galnt4 PE=4 SV=1","ref|XP_020610671.1|",8.86e-173,"beta-1,4-N-acetylgalactosaminyltransferase 3-like [Orbicella faveolata]","GO:0032580; GO:0016021; GO:0008376; GO:0033842","GO:0032580; GO:0033842"
"250","GO:0033842","N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acet...",34,5,0.49,0.00012,"evm.model.Ap7.2035","Molecular Functions","sp|Q76KP1|B4GN4_HUMAN",3.61e-23,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Homo sapiens GN=B4GALNT4 PE=1 SV=1","tr|A0A2B4SEU0|A0A2B4SEU0_STYPI",3.05e-56,"Beta-1,4-N-acetylgalactosaminyltransferase 3 OS=Stylophora pistillata GN=B4galnt3 PE=4 SV=1","ref|XP_020610670.1|",1.52e-69,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1-like [Orbicella faveolata]","GO:0032580; GO:0016021; GO:0008376; GO:0033842","GO:0032580; GO:0033842"
"251","GO:0033842","N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acet...",34,5,0.49,0.00012,"evm.model.Ap7.2036","Molecular Functions","sp|Q766D5|B4GN4_MOUSE",8.17e-31,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=B4galnt4 PE=2 SV=1","tr|A0A2B4SEU0|A0A2B4SEU0_STYPI",1.09e-98,"Beta-1,4-N-acetylgalactosaminyltransferase 3 OS=Stylophora pistillata GN=B4galnt3 PE=4 SV=1","ref|XP_020610670.1|",3.29e-123,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1-like [Orbicella faveolata]","GO:0032580; GO:0016021; GO:0008376; GO:0033842","GO:0032580; GO:0033842"
"252","GO:0033842","N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acet...",34,5,0.49,0.00012,"evm.model.Ap7.2045","Molecular Functions","sp|Q6L9W6|B4GN3_HUMAN",3.32e-08,"Beta-1,4-N-acetylgalactosaminyltransferase 3 OS=Homo sapiens GN=B4GALNT3 PE=1 SV=2","tr|A0A2B4SEU0|A0A2B4SEU0_STYPI",7.98e-51,"Beta-1,4-N-acetylgalactosaminyltransferase 3 OS=Stylophora pistillata GN=B4galnt3 PE=4 SV=1","ref|XP_020610670.1|",6.94e-61,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1-like [Orbicella faveolata]","GO:0032580; GO:0016021; GO:0008376; GO:0033842","GO:0032580; GO:0033842"
"253","GO:0004062","aryl sulfotransferase activity",21,4,0.3,0.00021,"evm.model.Ap1.1195","Molecular Functions","sp|Q95JD5|ST1B1_CANLF",4.77e-62,"Sulfotransferase family cytosolic 1B member 1 OS=Canis lupus familiaris GN=SULT1B1 PE=1 SV=1","tr|A0A2B4RI41|A0A2B4RI41_STYPI",6.87e-93,"Zinc transporter ZIP13 OS=Stylophora pistillata GN=SLC39A13 PE=4 SV=1","ref|XP_020625914.1|",8.2e-177,"sulfotransferase 1C2A-like isoform X1 [Orbicella faveolata]","GO:0005737; GO:0004062; GO:0050427; GO:0030855; GO:0006068; GO:0009812; GO:0008202; GO:0051923; GO:0042403; GO:0006805","GO:0016021; GO:0046873; GO:0008146"
"254","GO:0004062","aryl sulfotransferase activity",21,4,0.3,0.00021,"evm.model.Ap10.1762","Molecular Functions","sp|O43704|ST1B1_HUMAN",3e-58,"Sulfotransferase family cytosolic 1B member 1 OS=Homo sapiens GN=SULT1B1 PE=1 SV=2","tr|A0A2B4S1B1|A0A2B4S1B1_STYPI",1.98e-101,"Sulfotransferase 1C2 OS=Stylophora pistillata GN=SULT1C2 PE=4 SV=1","ref|XP_020600469.1|",8.28e-179,"sulfotransferase family cytosolic 1B member 1-like [Orbicella faveolata]","GO:0005829; GO:0004062; GO:0008146; GO:0050427; GO:0006576; GO:0030855; GO:0006068; GO:0009812; GO:0018958; GO:0008202; GO:0051923; GO:0042403; GO:0006805","GO:0008146"
"255","GO:0004062","aryl sulfotransferase activity",21,4,0.3,0.00021,"evm.model.Ap10.1763","Molecular Functions","sp|O43704|ST1B1_HUMAN",2.51e-28,"Sulfotransferase family cytosolic 1B member 1 OS=Homo sapiens GN=SULT1B1 PE=1 SV=2","tr|A0A2B4RX89|A0A2B4RX89_STYPI",9.84e-53,"Sulfotransferase family cytosolic 1B member 1 OS=Stylophora pistillata GN=SULT1B1 PE=4 SV=1","ref|XP_020600469.1|",7.2e-102,"sulfotransferase family cytosolic 1B member 1-like [Orbicella faveolata]","GO:0005829; GO:0004062; GO:0008146; GO:0050427; GO:0006576; GO:0030855; GO:0006068; GO:0009812; GO:0018958; GO:0008202; GO:0051923; GO:0042403; GO:0006805","GO:0008146"
"256","GO:0004062","aryl sulfotransferase activity",21,4,0.3,0.00021,"evm.model.Ap14.1351","Molecular Functions","sp|P0DMM9|ST1A3_HUMAN",2.19e-58,"Sulfotransferase 1A3 OS=Homo sapiens GN=SULT1A3 PE=1 SV=1","tr|A0A2B4RI41|A0A2B4RI41_STYPI",4.64e-92,"Zinc transporter ZIP13 OS=Stylophora pistillata GN=SLC39A13 PE=4 SV=1","ref|XP_020625914.1|",4.91e-166,"sulfotransferase 1C2A-like isoform X1 [Orbicella faveolata]","GO:0005829; GO:0047685; GO:0004062; GO:0043199; GO:0008146; GO:0050427; GO:0097720; GO:1903351; GO:0042420; GO:0007212; GO:0070371; GO:0006068; GO:0009812; GO:0036498; GO:1901215; GO:0098989; GO:0008202; GO:0051923; GO:0006805","GO:0016021; GO:0046873; GO:0008146"
"257","GO:0043024","ribosomal small subunit binding",11,3,0.16,0.00046,"evm.model.Ap2.1311","Molecular Functions","sp|P06803|PIM1_MOUSE",8.51e-63,"Serine/threonine-protein kinase pim-1 OS=Mus musculus GN=Pim1 PE=1 SV=2","tr|A0A2B4SMP7|A0A2B4SMP7_STYPI",3.04e-134,"Serine/threonine-protein kinase pim-1 OS=Stylophora pistillata GN=PIM1 PE=4 SV=1","ref|XP_022783676.1|",6.17e-155,"serine/threonine-protein kinase pim-1-like [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005730; GO:0005634; GO:0005886; GO:0005524; GO:0030145; GO:0004674; GO:0043024; GO:0008134; GO:0006915; GO:0007049; GO:0008283; GO:0043066; GO:0043433; GO:0060045; GO:1905062; GO:0031659; GO:0045893; GO:0046777; GO:0006468; GO:0050821; GO:1902033; GO:0007346; GO:0070561","GO:0016021; GO:0005524; GO:0005216; GO:0004672"
"258","GO:0043024","ribosomal small subunit binding",11,3,0.16,0.00046,"evm.model.Ap2.1463","Molecular Functions","sp|P06803|PIM1_MOUSE",3.63e-59,"Serine/threonine-protein kinase pim-1 OS=Mus musculus GN=Pim1 PE=1 SV=2","tr|A0A2B4SMP7|A0A2B4SMP7_STYPI",6.06e-134,"Serine/threonine-protein kinase pim-1 OS=Stylophora pistillata GN=PIM1 PE=4 SV=1","ref|XP_022783676.1|",1.31e-148,"serine/threonine-protein kinase pim-1-like [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005730; GO:0005634; GO:0005886; GO:0005524; GO:0030145; GO:0004674; GO:0043024; GO:0008134; GO:0006915; GO:0007049; GO:0008283; GO:0043066; GO:0043433; GO:0060045; GO:1905062; GO:0031659; GO:0045893; GO:0046777; GO:0006468; GO:0050821; GO:1902033; GO:0007346; GO:0070561","GO:0016021; GO:0005524; GO:0005216; GO:0004672"
"259","GO:0043024","ribosomal small subunit binding",11,3,0.16,0.00046,"evm.model.Ap2.1489","Molecular Functions","sp|P06803|PIM1_MOUSE",1.52e-53,"Serine/threonine-protein kinase pim-1 OS=Mus musculus GN=Pim1 PE=1 SV=2","tr|A0A2B4SMP7|A0A2B4SMP7_STYPI",1.28e-142,"Serine/threonine-protein kinase pim-1 OS=Stylophora pistillata GN=PIM1 PE=4 SV=1","gb|PFX29787.1|",1.98e-142,"Serine/threonine-protein kinase pim-1 [Stylophora pistillata]","GO:0005737; GO:0005829; GO:0005730; GO:0005634; GO:0005886; GO:0005524; GO:0030145; GO:0004674; GO:0043024; GO:0008134; GO:0006915; GO:0007049; GO:0008283; GO:0043066; GO:0043433; GO:0060045; GO:1905062; GO:0031659; GO:0045893; GO:0046777; GO:0006468; GO:0050821; GO:1902033; GO:0007346; GO:0070561","GO:0016021; GO:0005524; GO:0005216; GO:0004672"
"260","GO:0050265","RNA uridylyltransferase activity",3,2,0.04,0.00062,"evm.model.Ap14.1057","Molecular Functions","sp|Q5TAX3|TUT4_HUMAN",0,"Terminal uridylyltransferase 4 OS=Homo sapiens GN=ZCCHC11 PE=1 SV=3","tr|A0A2B4RZ84|A0A2B4RZ84_STYPI",0,"Terminal uridylyltransferase 4 OS=Stylophora pistillata GN=Zcchc11 PE=4 SV=1","ref|XP_020619589.1|",0,"terminal uridylyltransferase 4-like [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0070062; GO:0005615; GO:0005730; GO:0003723; GO:0050265; GO:0008270; GO:0010587; GO:0010586; GO:0000289; GO:0031054; GO:0031123; GO:0019827","GO:0016779"
"261","GO:0050265","RNA uridylyltransferase activity",3,2,0.04,0.00062,"evm.model.Ap14.1057.1.5f15dd86","Molecular Functions","sp|Q5TAX3|TUT4_HUMAN",0,"Terminal uridylyltransferase 4 OS=Homo sapiens GN=ZCCHC11 PE=1 SV=3","tr|A0A2B4RZ84|A0A2B4RZ84_STYPI",0,"Terminal uridylyltransferase 4 OS=Stylophora pistillata GN=Zcchc11 PE=4 SV=1","ref|XP_020619589.1|",0,"terminal uridylyltransferase 4-like [Orbicella faveolata]","GO:0005737; GO:0005829; GO:0070062; GO:0005615; GO:0005730; GO:0003723; GO:0050265; GO:0008270; GO:0010587; GO:0010586; GO:0000289; GO:0031054; GO:0031123; GO:0019827","GO:0016779"
"262","GO:0003887","DNA-directed DNA polymerase activity",331,13,4.8,0.00119,"evm.model.Ap1.4105","Molecular Functions","sp|P0CT34|TF21_SCHPO",1.93e-62,"Transposon Tf2-1 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-1 PE=3 SV=1","tr|A0A1S3HHB2|A0A1S3HHB2_LINUN",0,"uncharacterized protein K02A2.6-like OS=Lingula unguis GN=LOC106155276 PE=4 SV=1","ref|XP_020904393.1|",0,"uncharacterized protein LOC110242721 [Exaiptasia pallida]","GO:0005634; GO:0004190; GO:0003677; GO:0003887; GO:0004519; GO:0046872; GO:0003723; GO:0003964; GO:0015074; GO:0006310","GO:0003676; GO:0015074"
"263","GO:0003887","DNA-directed DNA polymerase activity",331,13,4.8,0.00119,"evm.model.Ap10.1122","Molecular Functions","sp|P0CT36|TF23_SCHPO",1.01e-56,"Transposon Tf2-3 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-3 PE=1 SV=1","tr|A0A1A8DQM9|A0A1A8DQM9_9TELE",0,"Uncharacterized protein OS=Nothobranchius kadleci GN=BX640584.1 PE=4 SV=1","ref|XP_015765560.1|",0,"PREDICTED: uncharacterized protein K02A2.6-like [Acropora digitifera]","GO:0004190; GO:0003677; GO:0003887; GO:0004519; GO:0046872; GO:0003723; GO:0003964; GO:0015074; GO:0006310","GO:0003676; GO:0008270; GO:0015074"
