"","miRNA","three_UTR","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","gene_name"
"32","Cluster_1200","3prime_UTR::Ap12:221082-222082(+)",150,-24.52,"2 20","605 624",19,"73.68%","78.95%","evm.model.Ap12.36"
"33","Cluster_1200","3prime_UTR::Ap12:28909541-28910541(+)",154,-20.17,"2 20","448 471",20,"65.00%","80.00%","evm.model.Ap12.2755"
"34","Cluster_1200","3prime_UTR::Ap12:8659462-8660462(-)",157,-20.59,"2 21","823 842",19,"73.68%","78.95%","evm.model.Ap12.786"
"35","Cluster_1200","3prime_UTR::Ap13:10996087-10997087(+)",151,-25.49,"2 14","477 497",12,"91.67%","91.67%","evm.model.Ap13.1056"
"36","Cluster_1200","3prime_UTR::Ap13:12995721-12996721(+)",156,-26.89,"2 20","609 628",18,"72.22%","83.33%","evm.model.Ap13.1244"
"41","Cluster_1200","3prime_UTR::Ap13:16686603-16687603(-)",150,-22,"2 21","716 741",23,"69.57%","69.57%","evm.model.Ap13.1574"
"43","Cluster_1200","3prime_UTR::Ap13:27012272-27013272(+)",144,-20.49,"2 21","650 669",19,"68.42%","73.68%","evm.model.Ap13.2534"
"44","Cluster_1200","3prime_UTR::Ap13:28886378-28887378(+)",155,-22.26,"2 21","876 898",20,"65.00%","80.00%","evm.model.Ap13.2734"
"45","Cluster_1200","3prime_UTR::Ap13:29861106-29862106(-)",145,-20.93,"2 10","248 269",8,"100.00%","100.00%","evm.model.Ap13.2809"
"46","Cluster_1200","3prime_UTR::Ap13:32302693-32303601(-)",154,-20.71,"2 16","842 864",15,"80.00%","86.67%","evm.model.Ap13.3057"
"47","Cluster_1200","3prime_UTR::Ap14:10289919-10290919(+)",152,-20.96,"2 21","915 934",19,"73.68%","78.95%","evm.model.Ap14.957"
"48","Cluster_1200","3prime_UTR::Ap14:103499-104499(+)",142,-22.43,"2 16","426 448",15,"73.33%","73.33%","evm.model.Ap14.10"
"49","Cluster_1200","3prime_UTR::Ap14:1512816-1513816(+)",159,-25.41,"2 21","198 222",22,"68.18%","77.27%","evm.model.Ap14.156"
"50","Cluster_1200","3prime_UTR::Ap14:17120036-17121036(+)",152,-20.75,"2 21","70 91",19,"63.16%","73.68%","evm.model.Ap14.1585"
"51","Cluster_1200","3prime_UTR::Ap14:18097373-18098373(+)",168,-26.42,"2 19","61 85",20,"85.00%","85.00%","evm.model.Ap14.1660"
"52","Cluster_1200","3prime_UTR::Ap14:2317089-2318089(-)",140,-22.36,"2 9","55 76",7,"100.00%","100.00%","evm.model.Ap14.222"
"53","Cluster_1200","3prime_UTR::Ap14:526976-527976(+)",161,-30.35,"2 19","251 275",20,"75.00%","80.00%","evm.model.Ap14.59"
"54","Cluster_1200","3prime_UTR::Ap1:15850206-15851206(+)",144,-20.77,"2 21","393 411",19,"68.42%","68.42%","evm.model.Ap1.1563_evm.TU.Ap1.1548"
"79","Cluster_1200","3prime_UTR::Ap1:19550763-19551763(+)",151,-22.39,"2 21","274 296",20,"65.00%","75.00%","evm.model.Ap1.1876"
"80","Cluster_1200","3prime_UTR::Ap1:20722111-20723111(+)",157,-23.73,"2 21","607 629",21,"76.19%","76.19%","evm.model.Ap1.1993"
"81","Cluster_1200","3prime_UTR::Ap1:24015372-24016372(+)",146,-21.29,"2 21","962 987",23,"65.22%","69.57%","evm.model.Ap1.2300"
"82","Cluster_1200","3prime_UTR::Ap1:261612-262612(+)",150,-21.93,"2 21","304 324",19,"68.42%","73.68%","evm.model.Ap1.31"
"83","Cluster_1200","3prime_UTR::Ap1:33654398-33655398(-)",142,-22.43,"2 16","346 368",15,"73.33%","73.33%","evm.model.Ap1.3293"
"84","Cluster_1200","3prime_UTR::Ap1:6512361-6513361(+)",159,-21.23,"2 21","905 928",21,"71.43%","76.19%","evm.model.Ap1.671"
"85","Cluster_1200","3prime_UTR::Ap2:1199180-1200180(-)",147,-20.11,"2 16","547 568",14,"71.43%","78.57%","evm.model.Ap2.149"
"86","Cluster_1200","3prime_UTR::Ap2:1309266-1310266(+)",153,-23.17,"2 21","201 226",24,"70.83%","70.83%","evm.model.Ap2.161"
"87","Cluster_1200","3prime_UTR::Ap2:1651152-1652152(+)",144,-20.61,"2 21","749 767",19,"63.16%","73.68%","evm.model.Ap2.202"
"88","Cluster_1200","3prime_UTR::Ap2:18921331-18922331(+)",144,-20.77,"2 21","628 646",19,"68.42%","68.42%","evm.model.Ap2.1769"
"89","Cluster_1200","3prime_UTR::Ap2:23994016-23995016(+)",160,-23.53,"2 18","595 618",18,"77.78%","83.33%","evm.model.Ap2.2244"
"90","Cluster_1200","3prime_UTR::Ap2:24329480-24330480(+)",163,-20.55,"2 21","120 142",20,"75.00%","80.00%","evm.model.Ap2.2299"
"91","Cluster_1200","3prime_UTR::Ap2:26066396-26067116(+)",169,-23.95,"2 19","159 182",19,"84.21%","84.21%","evm.model.Ap2.2472"
"92","Cluster_1200","3prime_UTR::Ap2:2976085-2977085(-)",154,-22.41,"2 18","848 869",17,"82.35%","82.35%","evm.model.Ap2.322"
"93","Cluster_1200","3prime_UTR::Ap2:32937239-32938239(-)",148,-20.88,"2 21","930 951",19,"57.89%","73.68%","evm.model.Ap2.3250"
"94","Cluster_1200","3prime_UTR::Ap2:33886487-33887487(+)",151,-23.08,"2 16","421 442",14,"78.57%","78.57%","evm.model.Ap2.3334"
"95","Cluster_1200","3prime_UTR::Ap2:35594159-35595159(-)",161,-27.66,"2 21","22 44",21,"76.19%","80.95%","evm.model.Ap2.3476"
"96","Cluster_1200","3prime_UTR::Ap2:36785139-36786139(-)",144,-20.77,"2 21","482 500",19,"68.42%","68.42%","evm.model.Ap2.3593"
"97","Cluster_1200","3prime_UTR::Ap2:39640910-39641910(-)",152,-20.43,"2 19","841 861",17,"76.47%","76.47%","evm.model.Ap2.3863"
"98","Cluster_1200","3prime_UTR::Ap2:40359525-40360525(+)",148,-21.92,"2 21","183 204",19,"63.16%","68.42%","evm.model.Ap2.3911"
"99","Cluster_1200","3prime_UTR::Ap2:40606793-40607793(+)",144,-20.45,"2 16","436 455",14,"78.57%","78.57%","evm.model.Ap2.3932"
"100","Cluster_1200","3prime_UTR::Ap2:40939683-40939836(-)",161,-21.06,"2 19","79 101",18,"77.78%","83.33%","evm.model.Ap2.3953"
"101","Cluster_1200","3prime_UTR::Ap2:42111343-42112343(+)",150,-23.11,"2 11","543 564",9,"100.00%","100.00%","evm.model.Ap2.4086"
"102","Cluster_1200","3prime_UTR::Ap2:42540696-42541696(+)",156,-20.66,"2 19","481 501",17,"76.47%","82.35%","evm.model.Ap2.4138"
"103","Cluster_1200","3prime_UTR::Ap3:11534856-11535856(+)",167,-23.02,"2 21","799 821",20,"80.00%","80.00%","evm.model.Ap3.1046"
"104","Cluster_1200","3prime_UTR::Ap3:11609053-11610053(-)",151,-23.35,"2 19","328 347",17,"76.47%","76.47%","evm.model.Ap3.1056"
"105","Cluster_1200","3prime_UTR::Ap3:14515071-14516071(+)",141,-22.43,"2 16","671 691",14,"71.43%","78.57%","evm.model.Ap3.1284"
"121","Cluster_1200","3prime_UTR::Ap3:1516464-1517464(-)",142,-20.05,"2 11","937 958",9,"88.89%","88.89%","evm.model.Ap3.155"
"122","Cluster_1200","3prime_UTR::Ap3:15603752-15604593(+)",154,-21.63,"2 15","675 696",13,"84.62%","84.62%","evm.model.Ap3.1367"
"125","Cluster_1200","3prime_UTR::Ap3:23056091-23057091(-)",155,-21.11,"2 21","399 421",20,"70.00%","75.00%","evm.model.Ap3.2122"
"126","Cluster_1200","3prime_UTR::Ap3:23959021-23960021(+)",157,-25.05,"2 16","605 625",14,"85.71%","92.86%","evm.model.Ap3.2192"
"127","Cluster_1200","3prime_UTR::Ap3:2599841-2600841(+)",144,-22.1,"2 16","251 275",17,"76.47%","82.35%","evm.model.Ap3.266"
"128","Cluster_1200","3prime_UTR::Ap3:9370980-9371980(-)",154,-24.19,"2 21","805 829",22,"68.18%","77.27%","evm.model.Ap3.869"
"129","Cluster_1200","3prime_UTR::Ap4:10597415-10598415(-)",149,-22.25,"2 20","807 834",24,"66.67%","70.83%","evm.model.Ap4.1008"
"130","Cluster_1200","3prime_UTR::Ap4:10990504-10991504(+)",147,-22.88,"2 16","120 141",14,"71.43%","78.57%","evm.model.Ap4.1039"
"131","Cluster_1200","3prime_UTR::Ap4:13199030-13200030(-)",142,-21,"2 16","877 899",15,"73.33%","73.33%","evm.model.Ap4.1282"
"132","Cluster_1200","3prime_UTR::Ap4:14220080-14221080(-)",142,-22.43,"2 16","561 583",15,"73.33%","73.33%","evm.model.Ap4.1358"
"133","Cluster_1200","3prime_UTR::Ap4:20916715-20917715(-)",157,-29.59,"2 19","570 594",20,"70.00%","80.00%","evm.model.Ap4.2322"
"134","Cluster_1200","3prime_UTR::Ap4:27581247-27581841(-)",147,-22.17,"2 12","95 116",10,"90.00%","90.00%","evm.model.Ap4.3639"
"138","Cluster_1200","3prime_UTR::Ap4:28141186-28141554(-)",148,-20.73,"2 18","167 189",17,"70.59%","76.47%","evm.model.Ap4.3754"
"142","Cluster_1200","3prime_UTR::Ap4:37145917-37146917(+)",151,-20.17,"2 21","784 807",21,"66.67%","71.43%","evm.model.Ap4.5253"
"143","Cluster_1200","3prime_UTR::Ap4:38662289-38663289(-)",144,-20.77,"2 21","212 230",19,"68.42%","68.42%","evm.model.Ap4.5388"
"144","Cluster_1200","3prime_UTR::Ap4:40900942-40901942(+)",160,-25.79,"2 21","595 616",19,"63.16%","84.21%","evm.model.Ap4.5616"
"145","Cluster_1200","3prime_UTR::Ap4:46126111-46127111(-)",152,-20.35,"2 21","312 330",19,"63.16%","84.21%","evm.model.Ap4.6195"
"146","Cluster_1200","3prime_UTR::Ap4:47285662-47286662(-)",146,-20.46,"2 21","514 531",19,"73.68%","73.68%","evm.model.Ap4.6296"
"148","Cluster_1200","3prime_UTR::Ap4:51150514-51151514(-)",158,-23.35,"2 21","38 58",19,"73.68%","78.95%","evm.model.Ap4.6651"
"149","Cluster_1200","3prime_UTR::Ap4:5866408-5867408(+)",146,-21.3,"2 21","42 71",27,"62.96%","66.67%","evm.model.Ap4.564"
"150","Cluster_1200","3prime_UTR::Ap4:7094695-7095695(-)",151,-20.08,"2 20","906 927",18,"66.67%","72.22%","evm.model.Ap4.667"
"152","Cluster_1200","3prime_UTR::Ap5:21130758-21131758(+)",148,-25.89,"2 13","819 840",11,"81.82%","90.91%","evm.model.Ap5.1990"
"153","Cluster_1200","3prime_UTR::Ap5:21130758-21131758(+)",159,-29.91,"2 21","833 856",21,"66.67%","80.95%","evm.model.Ap5.1990"
"154","Cluster_1200","3prime_UTR::Ap5:21683199-21684199(+)",146,-21.45,"2 21","868 888",19,"63.16%","73.68%","evm.model.Ap5.2056"
"155","Cluster_1200","3prime_UTR::Ap5:22295899-22296899(+)",147,-24.91,"2 20","879 900",18,"61.11%","72.22%","evm.model.Ap5.2122"
"164","Cluster_1200","3prime_UTR::Ap5:22429431-22429923(+)",154,-20.51,"2 20","349 367",18,"77.78%","83.33%","evm.model.Ap5.2135"
"168","Cluster_1200","3prime_UTR::Ap5:23880310-23881310(+)",147,-21.42,"2 21","323 345",20,"65.00%","70.00%","evm.model.Ap5.2283"
"169","Cluster_1200","3prime_UTR::Ap5:28465376-28466376(+)",140,-20.27,"2 9","108 129",7,"100.00%","100.00%","evm.model.Ap5.2801"
"170","Cluster_1200","3prime_UTR::Ap5:28835830-28836830(-)",142,-22.43,"2 16","388 410",15,"73.33%","73.33%","evm.model.Ap5.2828"
"171","Cluster_1200","3prime_UTR::Ap5:3892353-3892561(+)",141,-22.88,"2 21","58 77",19,"57.89%","73.68%","evm.model.Ap5.355"
"172","Cluster_1200","3prime_UTR::Ap5:6497302-6498302(+)",147,-20.93,"2 20","633 654",18,"61.11%","72.22%","evm.model.Ap5.611"
"173","Cluster_1200","3prime_UTR::Ap5:7806494-7807494(-)",151,-21.08,"2 20","151 172",18,"61.11%","77.78%","evm.model.Ap5.759"
"174","Cluster_1200","3prime_UTR::Ap6:12884074-12885074(-)",156,-23.86,"2 14","125 147",13,"92.31%","92.31%","evm.model.Ap6.1308"
"175","Cluster_1200","3prime_UTR::Ap6:18191435-18192435(+)",158,-20.67,"2 19","131 152",17,"76.47%","76.47%","evm.model.Ap6.1807"
"177","Cluster_1200","3prime_UTR::Ap6:20851596-20852596(+)",143,-20.18,"2 18","149 172",18,"72.22%","72.22%","evm.model.Ap6.2113"
"178","Cluster_1200","3prime_UTR::Ap6:21093431-21094431(+)",155,-21.64,"2 12","465 486",10,"100.00%","100.00%","evm.model.Ap6.2143"
"179","Cluster_1200","3prime_UTR::Ap6:21880799-21881799(+)",143,-20.68,"2 21","747 769",20,"65.00%","65.00%","evm.model.Ap6.2227"
"180","Cluster_1200","3prime_UTR::Ap6:23118318-23119318(+)",156,-22.32,"2 21","624 645",19,"68.42%","73.68%","evm.model.Ap6.2353"
"181","Cluster_1200","3prime_UTR::Ap6:23138000-23139000(-)",147,-20.56,"2 21","353 378",23,"60.87%","69.57%","evm.model.Ap6.2355"
"182","Cluster_1200","3prime_UTR::Ap6:27519643-27520643(-)",146,-21.43,"2 20","166 188",19,"63.16%","73.68%","evm.model.Ap6.2736"
"183","Cluster_1200","3prime_UTR::Ap6:32201946-32202946(-)",150,-23.77,"2 11","491 512",9,"100.00%","100.00%","evm.model.Ap6.3133"
"184","Cluster_1200","3prime_UTR::Ap6:33772153-33773153(-)",145,-22.57,"2 21","390 414",22,"68.18%","72.73%","evm.model.Ap6.3266"
"185","Cluster_1200","3prime_UTR::Ap6:6749366-6750366(+)",166,-25.13,"2 20","535 557",19,"78.95%","84.21%","evm.model.Ap6.675"
"186","Cluster_1200","3prime_UTR::Ap6:8929188-8929878(-)",160,-25.79,"2 21","272 293",19,"63.16%","84.21%","evm.model.Ap6.934"
"187","Cluster_1200","3prime_UTR::Ap6:9867659-9868659(+)",151,-20.45,"2 21","378 395",19,"73.68%","73.68%","evm.model.Ap6.1032"
"188","Cluster_1200","3prime_UTR::Ap7:11963678-11964678(-)",153,-21.66,"2 17","63 87",18,"83.33%","83.33%","evm.model.Ap7.1084"
"189","Cluster_1200","3prime_UTR::Ap7:1214921-1215921(-)",151,-23.74,"2 20","513 534",18,"66.67%","72.22%","evm.model.Ap7.116"
"190","Cluster_1200","3prime_UTR::Ap7:12442391-12443391(+)",154,-21.24,"2 21","112 132",19,"73.68%","73.68%","evm.model.Ap7.1127"
"191","Cluster_1200","3prime_UTR::Ap7:12722636-12723636(-)",141,-21.5,"2 21","939 958",19,"63.16%","68.42%","evm.model.Ap7.1152"
"192","Cluster_1200","3prime_UTR::Ap7:15141506-15142506(+)",147,-20.5,"2 12","600 621",10,"90.00%","90.00%","evm.model.Ap7.1399"
"193","Cluster_1200","3prime_UTR::Ap7:22535160-22536160(+)",147,-20.32,"2 20","444 465",18,"66.67%","66.67%","evm.model.Ap7.2126"
"194","Cluster_1200","3prime_UTR::Ap7:25079131-25080131(-)",156,-21.2,"2 17","622 643",15,"80.00%","80.00%","evm.model.Ap7.2374"
"195","Cluster_1200","3prime_UTR::Ap7:25715142-25716142(+)",159,-20.97,"2 21","423 445",20,"70.00%","80.00%","evm.model.Ap7.2435"
"196","Cluster_1200","3prime_UTR::Ap7:28999930-29000930(-)",144,-20.77,"2 21","376 394",19,"68.42%","68.42%","evm.model.Ap7.2746"
"197","Cluster_1200","3prime_UTR::Ap7:29647344-29648344(-)",145,-20.42,"2 10","472 493",8,"100.00%","100.00%","evm.model.Ap7.2812"
"198","Cluster_1200","3prime_UTR::Ap7:30412226-30413226(+)",156,-21.91,"2 19","659 684",21,"76.19%","76.19%","evm.model.Ap7.2877"
"199","Cluster_1200","3prime_UTR::Ap7:4817745-4818745(-)",144,-20.77,"2 21","282 300",19,"68.42%","68.42%","evm.model.Ap7.409"
"200","Cluster_1200","3prime_UTR::Ap8:11483090-11484090(+)",153,-21.81,"2 18","600 618",16,"81.25%","81.25%","evm.model.Ap8.1034"
"201","Cluster_1200","3prime_UTR::Ap8:12036170-12037170(-)",164,-25.24,"2 21","813 834",19,"68.42%","84.21%","evm.model.Ap8.1085"
"202","Cluster_1200","3prime_UTR::Ap8:16807039-16808039(-)",160,-25.79,"2 21","939 960",19,"63.16%","84.21%","evm.model.Ap8.1489"
"203","Cluster_1200","3prime_UTR::Ap8:17456243-17457243(+)",154,-20.36,"2 15","770 791",13,"76.92%","92.31%","evm.model.Ap8.1573"
"204","Cluster_1200","3prime_UTR::Ap8:29289942-29290942(+)",144,-20.77,"2 21","920 938",19,"68.42%","68.42%","evm.model.Ap8.2682"
"205","Cluster_1200","3prime_UTR::Ap8:6496172-6497172(+)",141,-22.43,"2 16","266 286",14,"71.43%","78.57%","evm.model.Ap8.601"
"206","Cluster_1200","3prime_UTR::Ap8:7035606-7036606(-)",141,-20.6,"2 20","2 22",18,"61.11%","72.22%","evm.model.Ap8.655"
"207","Cluster_1200","3prime_UTR::Ap9:20680815-20681815(+)",146,-21.2,"2 21","213 233",19,"68.42%","68.42%","evm.model.Ap9.1893"
"208","Cluster_1200","3prime_UTR::Ap9:21829373-21830373(-)",140,-21.63,"2 9","439 460",7,"100.00%","100.00%","evm.model.Ap9.1995"
"209","Cluster_1200","3prime_UTR::Ap9:26369926-26370926(-)",146,-21.27,"2 16","672 694",15,"73.33%","80.00%","evm.model.Ap9.2437"
"210","Cluster_1200","3prime_UTR::Ap9:28953282-28954282(+)",143,-20.97,"2 21","691 714",21,"57.14%","71.43%","evm.model.Ap9.2676"
"211","Cluster_1200","3prime_UTR::Ap9:4993879-4994879(+)",142,-20.8,"2 17","607 633",20,"70.00%","70.00%","evm.model.Ap9.452"
"212","Cluster_1200","3prime_UTR::Ap9:707271-708271(-)",140,-26.86,"2 9","664 685",7,"100.00%","100.00%","evm.model.Ap9.83"
"213","Cluster_1200","3prime_UTR::Ap9:846986-847986(+)",142,-22.43,"2 16","356 378",15,"73.33%","73.33%","evm.model.Ap9.98"
"214","Cluster_2306","3prime_UTR::Ap10:11836158-11837158(-)",149,-21.67,"2 19","453 468",17,"76.47%","76.47%","evm.model.Ap10.1140"
"215","Cluster_2306","3prime_UTR::Ap10:17490898-17491898(-)",145,-20.24,"2 19","235 255",18,"66.67%","72.22%","evm.model.Ap10.1732"
"216","Cluster_2306","3prime_UTR::Ap11:17327420-17328219(+)",165,-20.01,"2 19","115 135",18,"77.78%","88.89%","evm.model.Ap11.1579"
"217","Cluster_2306","3prime_UTR::Ap11:318249-319249(-)",159,-20.53,"2 18","290 308",16,"81.25%","87.50%","evm.model.Ap11.22"
"218","Cluster_2306","3prime_UTR::Ap11:4459465-4460465(+)",165,-24.4,"2 19","104 124",18,"77.78%","88.89%","evm.model.Ap11.370"
"219","Cluster_2306","3prime_UTR::Ap11:4954648-4955648(+)",162,-20.33,"2 19","649 668",17,"76.47%","82.35%","evm.model.Ap11.415"
"220","Cluster_2306","3prime_UTR::Ap12:22815428-22816428(-)",170,-25.09,"2 19","925 944",17,"82.35%","88.24%","evm.model.Ap12.2174"
"221","Cluster_2306","3prime_UTR::Ap12:24586657-24587657(-)",151,-20.03,"2 19","140 161",20,"75.00%","75.00%","evm.model.Ap12.2314"
"222","Cluster_2306","3prime_UTR::Ap12:2517794-2518794(+)",149,-21.67,"2 19","470 485",17,"76.47%","76.47%","evm.model.Ap12.261"
"223","Cluster_2306","3prime_UTR::Ap12:746286-747286(-)",153,-21.23,"2 16","214 232",14,"85.71%","85.71%","evm.model.Ap12.88_evm.TU.Ap12.89"
"224","Cluster_2306","3prime_UTR::Ap13:14524671-14525671(-)",175,-26.85,"2 16","178 197",14,"100.00%","100.00%","evm.model.Ap13.1366"
"225","Cluster_2306","3prime_UTR::Ap13:16624280-16625280(-)",154,-20.53,"2 19","849 866",17,"82.35%","82.35%","evm.model.Ap13.1571"
"226","Cluster_2306","3prime_UTR::Ap13:29437284-29438284(-)",163,-22.76,"2 18","618 636",16,"81.25%","93.75%","evm.model.Ap13.2778"
"227","Cluster_2306","3prime_UTR::Ap13:30486605-30487605(-)",151,-20.03,"2 19","770 791",20,"75.00%","75.00%","evm.model.Ap13.2872"
"228","Cluster_2306","3prime_UTR::Ap13:8076169-8077169(-)",160,-20.13,"2 19","456 477",19,"78.95%","84.21%","evm.model.Ap13.792"
"229","Cluster_2306","3prime_UTR::Ap14:15089007-15090007(+)",147,-20.05,"2 19","471 492",20,"70.00%","75.00%","evm.model.Ap14.1405"
"230","Cluster_2306","3prime_UTR::Ap14:21585256-21586256(-)",169,-22,"2 18","397 416",16,"87.50%","87.50%","evm.model.Ap14.1984"
"232","Cluster_2306","3prime_UTR::Ap14:4788699-4789699(-)",172,-23.24,"2 17","192 211",15,"86.67%","100.00%","evm.model.Ap14.447"
"233","Cluster_2306","3prime_UTR::Ap1:12782626-12783626(-)",164,-22.29,"2 19","164 182",17,"82.35%","88.24%","evm.model.Ap1.1297"
"234","Cluster_2306","3prime_UTR::Ap1:1654970-1655970(-)",168,-24.04,"2 18","761 783",19,"84.21%","84.21%","evm.model.Ap1.185"
"235","Cluster_2306","3prime_UTR::Ap1:20800453-20801453(-)",156,-20.25,"2 19","628 646",17,"76.47%","82.35%","evm.model.Ap1.2002"
"236","Cluster_2306","3prime_UTR::Ap1:27398611-27399611(+)",155,-20.51,"2 17","683 703",16,"75.00%","87.50%","evm.model.Ap1.2681"
"237","Cluster_2306","3prime_UTR::Ap1:29367061-29368061(+)",153,-20.7,"2 19","183 205",20,"70.00%","75.00%","evm.model.Ap1.2864"
"238","Cluster_2306","3prime_UTR::Ap1:34778553-34779553(-)",166,-22.02,"2 19","125 144",17,"82.35%","82.35%","evm.model.Ap1.3392"
"239","Cluster_2306","3prime_UTR::Ap1:41400815-41401815(+)",150,-21.61,"2 19","794 810",17,"70.59%","82.35%","evm.model.Ap1.4030"
"240","Cluster_2306","3prime_UTR::Ap1:42112696-42113597(-)",153,-20.44,"2 16","364 386",17,"82.35%","82.35%","evm.model.Ap1.4113"
"241","Cluster_2306","3prime_UTR::Ap1:42806465-42807465(+)",161,-20.41,"2 19","576 597",19,"73.68%","84.21%","evm.model.Ap1.4190"
"242","Cluster_2306","3prime_UTR::Ap2:14191321-14192321(-)",163,-20.47,"2 16","793 812",14,"85.71%","92.86%","evm.model.Ap2.1373"
"244","Cluster_2306","3prime_UTR::Ap2:31813847-31814847(+)",149,-20.09,"2 19","469 489",18,"66.67%","77.78%","evm.model.Ap2.3133"
"245","Cluster_2306","3prime_UTR::Ap2:36578680-36579680(+)",151,-20.38,"2 19","976 996",19,"73.68%","78.95%","evm.model.Ap2.3577"
"246","Cluster_2306","3prime_UTR::Ap3:6252476-6253476(-)",151,-20.03,"2 19","762 783",20,"75.00%","75.00%","evm.model.Ap3.598"
"248","Cluster_2306","3prime_UTR::Ap4:17575449-17576449(+)",153,-20.72,"2 19","363 383",18,"72.22%","77.78%","evm.model.Ap4.1737"
"249","Cluster_2306","3prime_UTR::Ap4:24456828-24457828(-)",151,-22.32,"2 19","844 867",21,"76.19%","76.19%","evm.model.Ap4.3028"
"250","Cluster_2306","3prime_UTR::Ap4:26813536-26813987(-)",162,-21.82,"2 19","378 397",17,"76.47%","82.35%","evm.model.Ap4.3486"
"251","Cluster_2306","3prime_UTR::Ap4:3526259-3527259(-)",149,-21.67,"2 19","612 627",17,"76.47%","76.47%","evm.model.Ap4.362"
"252","Cluster_2306","3prime_UTR::Ap4:44638052-44639052(+)",156,-20.75,"2 18","336 358",19,"73.68%","78.95%","evm.model.Ap4.6000"
"253","Cluster_2306","3prime_UTR::Ap4:5866408-5867408(+)",162,-21.84,"2 19","690 709",17,"76.47%","82.35%","evm.model.Ap4.564"
"254","Cluster_2306","3prime_UTR::Ap5:17950031-17951031(-)",145,-20.21,"2 19","936 961",23,"65.22%","65.22%","evm.model.Ap5.1696"
"255","Cluster_2306","3prime_UTR::Ap5:19341521-19342521(-)",164,-20.12,"2 18","334 354",17,"82.35%","88.24%","evm.model.Ap5.1797"
