Coords	Name	MIRNA	tapoc_2_S31_L001_R1_001_condensed	tapoc_3_S32_L001_R1_001_condensed	tapoc_4_S33_L001_R1_001_condensed
Ap11:5306344-5306760	Cluster_36	N	3	16	27
Ap11:5423798-5424211	Cluster_37	N	1	5	17
Ap11:5431568-5431986	Cluster_38	N	1	10	21
Ap11:5471166-5471582	Cluster_39	N	95	201	141
Ap11:5821047-5821465	Cluster_40	N	30	80	50
Ap11:5915595-5916010	Cluster_41	N	0	0	39
Ap11:5917531-5917944	Cluster_42	N	21	1	0
Ap11:6274974-6275390	Cluster_43	N	0	36	12
Ap11:6433677-6434092	Cluster_44	N	3	20	5
Ap11:6692225-6692639	Cluster_45	N	2	40	78
Ap11:6921101-6921515	Cluster_46	N	0	15	70
Ap11:6961690-6962158	Cluster_47	N	210	0	18
Ap11:7136430-7136843	Cluster_48	N	4	4	23
Ap11:7151082-7151539	Cluster_49	N	115	8	10
Ap11:7397531-7397947	Cluster_50	N	28	4	0
Ap11:7482095-7482512	Cluster_51	N	13	2	6
Ap11:7685182-7685597	Cluster_52	N	6	25	58
Ap11:7843734-7844149	Cluster_53	N	0	17	10
Ap11:7941141-7941556	Cluster_54	N	3	15	15
Ap11:7948296-7948714	Cluster_55	N	0	5	52
Ap11:7975414-7975828	Cluster_56	N	0	10	13
Ap11:7979912-7980329	Cluster_57	N	7	22	17
Ap11:8274438-8274851	Cluster_58	N	0	12	15
Ap11:8734628-8735043	Cluster_59	N	0	0	35
Ap11:9172546-9172957	Cluster_60	N	0	3	20
Ap11:9181409-9181924	Cluster_61	N	133	18	14
Ap11:10096482-10096896	Cluster_62	N	0	0	41
Ap11:10342393-10342811	Cluster_63	N	7	40	89
Ap11:10481293-10481709	Cluster_64	N	8	16	10
Ap11:10937236-10937653	Cluster_65	N	1	19	16
Ap11:11036311-11036728	Cluster_66	N	5	72	47
Ap11:11096875-11097303	Cluster_67	N	0	1	200
Ap11:11157571-11157988	Cluster_68	N	9	13	4
Ap11:11847991-11848407	Cluster_69	N	7	40	22
Ap11:12017850-12018264	Cluster_70	N	1	1	21
Ap11:12241006-12241423	Cluster_71	N	13	17	11
Ap11:12605829-12606240	Cluster_72	N	1	11	29
Ap11:12625624-12626041	Cluster_73	N	6	10	17
Ap11:12797133-12797544	Cluster_74	N	0	2	20
Ap11:12914899-12915312	Cluster_75	N	0	0	19
Ap11:12995873-12996283	Cluster_76	N	0	1	29
Ap11:13149445-13149859	Cluster_77	N	0	0	74
Ap11:13328936-13329355	Cluster_78	N	4	39	0
Ap11:13412547-13412962	Cluster_79	N	0	17	16
Ap11:13419232-13419650	Cluster_80	N	127	7	4
Ap11:13729858-13730275	Cluster_81	N	6	61	30
Ap11:13802067-13802485	Cluster_82	N	35	224	213
Ap11:14043315-14043728	Cluster_83	N	0	0	24
Ap11:14084562-14084978	Cluster_84	N	1	19	3
Ap11:14250750-14251166	Cluster_85	N	15	421	320
Ap11:14460193-14460604	Cluster_86	N	0	3	40
Ap11:14632266-14632682	Cluster_87	N	3	27	24
Ap11:14792070-14792483	Cluster_88	N	1	22	40
Ap11:15328803-15329218	Cluster_89	N	5	26	29
Ap11:15335476-15335887	Cluster_90	N	0	3	36
Ap11:15378180-15378597	Cluster_91	N	12	8	3
Ap11:15429727-15430140	Cluster_92	N	0	8	11
Ap11:15537681-15538093	Cluster_93	N	2	31	49
Ap11:15954794-15955210	Cluster_94	N	5	62	51
Ap11:15964474-15964887	Cluster_95	N	1	1	24
Ap11:15989468-15989876	Cluster_96	N	0	5	14
Ap11:16166546-16166960	Cluster_97	N	8	12	5
Ap11:16335947-16336365	Cluster_98	N	3	2	50
Ap11:16446600-16447012	Cluster_99	N	0	6	50
Ap11:16484311-16484725	Cluster_100	N	17	6	1
Ap11:16585302-16585716	Cluster_101	N	0	0	24
Ap11:16818914-16819329	Cluster_102	N	9	5	6
Ap11:17281610-17282024	Cluster_103	N	2	8	14
Ap11:17830822-17831292	Cluster_104	N	133	12	3
Ap11:17835236-17835666	Cluster_105	N	45	8	3
Ap11:17836170-17836599	Cluster_106	N	32	1	1
Ap11:17836928-17837358	Cluster_107	N	27	5	1
Ap11:17837795-17838224	Cluster_108	N	24	5	1
Ap11:17838614-17839038	Cluster_109	N	29	5	4
Ap11:17840331-17840809	Cluster_110	N	218	33	19
Ap11:17977258-17977673	Cluster_111	N	1	7	27
Ap11:18012818-18013234	Cluster_112	N	2	19	29
Ap11:18225551-18225969	Cluster_113	N	0	0	887
Ap11:18552650-18553070	Cluster_114	N	49	257	223
Ap11:18672063-18672475	Cluster_115	N	0	5	18
Ap11:18696235-18696648	Cluster_116	N	0	14	14
Ap11:18747160-18747576	Cluster_117	N	11	106	196
Ap11:18756439-18756857	Cluster_118	N	5	69	42
Ap11:18971924-18972339	Cluster_119	N	4	31	27
Ap11:19051186-19051598	Cluster_120	N	0	2	22
Ap11:19149403-19149816	Cluster_121	N	0	3	19
Ap11:19162931-19163386	Cluster_122	N	124	15	26
Ap11:19538247-19538665	Cluster_123	N	43	4	10
Ap11:19596224-19596642	Cluster_124	N	8	28	122
Ap11:19687220-19687637	Cluster_125	N	8	7	14
Ap11:19756691-19757115	Cluster_126	N	13	18	14
Ap11:19813351-19813765	Cluster_127	N	1	9	13
Ap11:20071366-20071782	Cluster_128	N	25	84	269
Ap11:20401022-20401543	Cluster_129	N	24589	8864	5750
Ap11:20520494-20520905	Cluster_130	N	0	4	16
Ap11:20765512-20765924	Cluster_131	N	2	23	28
Ap11:20827602-20828019	Cluster_132	N	0	24	55
Ap11:20936388-20936804	Cluster_133	N	4	18	12
Ap11:20970113-20970528	Cluster_134	N	1	14	20
Ap11:21059440-21059856	Cluster_135	N	4	2	32
Ap10:19857-23496	Cluster_136	N	249333	141335	99224
Ap10:27309-34240	Cluster_137	N	537410	295545	210881
Ap10:38159-45083	Cluster_138	N	770458	400713	278435
Ap10:48904-53636	Cluster_139	N	258518	140890	103262
Ap10:233970-234384	Cluster_140	N	0	2	18
Ap10:409354-409769	Cluster_141	N	86	46	25
Ap10:468421-468836	Cluster_142	N	8	10	1
Ap10:552208-552631	Cluster_143	N	9	20	24
Ap10:578632-579043	Cluster_144	N	1	6	34
Ap10:837058-837611	Cluster_145	N	3597	2756	2835
Ap10:848477-848892	Cluster_146	N	1	9	20
Ap10:873960-874599	Cluster_147	N	10501	28745	5179
Ap10:878371-879336	Cluster_148	N	29139	16664	11797
Ap10:966761-967179	Cluster_149	N	2	31	56
Ap10:995823-996259	Cluster_150	N	88	18	4
Ap10:1220757-1221168	Cluster_151	N	0	13	11
Ap10:1245964-1246381	Cluster_152	N	26	86	55
Ap10:1335947-1336359	Cluster_153	N	1	12	38
Ap10:1373354-1373769	Cluster_154	N	13	9	7
Ap10:1445183-1445588	Cluster_155	N	0	9	11
Ap10:1624359-1624770	Cluster_156	N	1	0	22
Ap10:1810633-1811048	Cluster_157	N	4	10	6
Ap10:2189556-2189970	Cluster_158	N	2	0	29
Ap10:2341625-2342041	Cluster_159	N	0	2	83
Ap10:2383971-2384384	Cluster_160	N	2	45	54
Ap10:2418597-2419014	Cluster_161	N	11	9	63
Ap10:2447981-2448393	Cluster_162	N	0	6	18
Ap10:2485495-2485907	Cluster_163	N	0	8	11
Ap10:2557073-2557492	Cluster_164	N	76	159	155
Ap10:2910475-2910886	Cluster_165	N	0	7	19
Ap10:3184412-3184829	Cluster_166	N	15	5	9
Ap10:3348824-3349240	Cluster_167	N	3	29	20
Ap10:3485331-3485745	Cluster_168	N	0	15	115
Ap10:3885876-3886297	Cluster_169	N	51	9	7
Ap10:3922860-3923275	Cluster_170	N	0	7	25
Ap10:3968910-3969324	Cluster_171	N	0	1	21
Ap10:4696163-4696579	Cluster_172	N	18	32	11
Ap10:4930015-4930431	Cluster_173	N	11	25	34
Ap10:4962572-4963096	Cluster_174	N	268	22	15
Ap10:4991696-4992131	Cluster_175	N	30	9	44
Ap10:4992554-4992959	Cluster_176	N	11	8	38
Ap10:4993079-4993716	Cluster_177	N	27	71	75
Ap10:5288666-5289079	Cluster_178	N	2	1	17
Ap10:5290859-5291276	Cluster_179	N	5	34	35
Ap10:5291813-5292224	Cluster_180	N	0	4	26
Ap10:5541904-5542319	Cluster_181	N	0	5	33
Ap10:5757558-5758061	Cluster_182	N	175	52	61
Ap10:5767971-5768388	Cluster_183	N	0	1	87
Ap10:5854581-5854994	Cluster_184	N	0	11	10
Ap10:5866414-5866832	Cluster_185	N	14	15	35
Ap10:5946773-5947187	Cluster_186	N	0	2	22
Ap10:6066405-6066819	Cluster_187	N	4	13	6
Ap10:6082854-6083270	Cluster_188	N	10	27	20
Ap10:6320791-6321208	Cluster_189	N	4	12	28
Ap10:6329222-6329636	Cluster_190	N	0	8	28
Ap10:6387268-6387681	Cluster_191	N	0	1	46
Ap10:6612598-6613011	Cluster_192	N	0	12	60
Ap10:6653082-6653500	Cluster_193	N	2	10	21
Ap10:7243422-7243837	Cluster_194	N	4	9	12
Ap10:7466171-7466585	Cluster_195	N	0	26	22
Ap10:7641739-7642155	Cluster_196	N	1	1	31
Ap10:7790491-7790909	Cluster_197	N	20	71	100
Ap10:7927200-7927616	Cluster_198	N	28	27	43
Ap10:7988754-7989168	Cluster_199	N	0	0	70
Ap10:8009480-8009894	Cluster_200	N	1	9	89
Ap10:8033658-8034095	Cluster_201	N	9	20	56
Ap10:8235335-8235747	Cluster_202	N	1	3	60
Ap10:8612268-8612685	Cluster_203	N	5	17	9
Ap10:8693560-8693975	Cluster_204	N	7	25	40
Ap10:8764900-8765400	Cluster_205	N	933	850	416
Ap10:8765418-8765908	Cluster_206	N	911	830	412
Ap10:8765910-8766821	Cluster_207	N	1316	866	447
Ap10:8774404-8774843	Cluster_208	N	831	686	340
Ap10:8776506-8777003	Cluster_209	N	907	800	401
Ap10:8777021-8777495	Cluster_210	N	77	129	63
Ap10:8819186-8819685	Cluster_211	N	931	826	422
Ap10:8839566-8839982	Cluster_212	N	10	21	16
Ap10:8843156-8843608	Cluster_213	N	41	51	32
Ap10:8843659-8844152	Cluster_214	N	849	690	355
Ap10:8891476-8891892	Cluster_215	N	72	29	0
Ap10:8984148-8984564	Cluster_216	N	49	9	8
Ap10:9097501-9097917	Cluster_217	N	9	14	19
Ap10:9228783-9229258	Cluster_218	N	245	21	22
Ap10:9275212-9275624	Cluster_219	N	0	3	24
Ap10:9329404-9329819	Cluster_220	N	1	21	4
Ap10:9402174-9402591	Cluster_221	N	28	15	10
Ap10:9578785-9579202	Cluster_222	N	11	37	91
Ap10:9645932-9646349	Cluster_223	N	35	9	9
Ap10:9721120-9721541	Cluster_224	N	30	2	4
Ap10:9855092-9855506	Cluster_225	N	0	0	262
Ap10:10020504-10020921	Cluster_226	N	9	7	8
Ap10:10075968-10076380	Cluster_227	N	0	1	32
Ap10:10163930-10164341	Cluster_228	N	0	3	17
Ap10:10262680-10263095	Cluster_229	N	63	94	81
Ap10:10386241-10386653	Cluster_230	N	0	5	19
Ap10:10493140-10493556	Cluster_231	N	0	15	8
Ap10:10538017-10538433	Cluster_232	N	23	1	1
Ap10:10800485-10800901	Cluster_233	N	4	36	28
Ap10:10830431-10830847	Cluster_234	N	5	36	27
Ap10:11009946-11010364	Cluster_235	N	81	71	33
Ap10:11395741-11396156	Cluster_236	N	0	1	65
Ap10:11463632-11464048	Cluster_237	N	5	14	12
Ap10:11501638-11502054	Cluster_238	N	0	7	22
Ap10:11821494-11821909	Cluster_239	N	0	10	9
Ap10:11884941-11885347	Cluster_240	N	0	5	15
Ap10:12229249-12229662	Cluster_241	N	0	16	8
Ap10:12271722-12272137	Cluster_242	N	12	7	3
Ap10:12315348-12315764	Cluster_243	N	6	28	24
Ap10:12421290-12421704	Cluster_244	N	5	9	8
Ap10:12477338-12477749	Cluster_245	N	2	21	1
Ap10:12568317-12568729	Cluster_246	N	20	2	11
Ap10:12606052-12606469	Cluster_247	N	8	93	96
Ap10:12703854-12704267	Cluster_248	N	1	4	41
Ap10:12761648-12762065	Cluster_249	N	0	13	17
Ap10:12785754-12786165	Cluster_250	N	0	5	28
Ap10:12903956-12904372	Cluster_251	N	5	51	27
Ap10:12985507-12985922	Cluster_252	N	0	2	33
Ap10:13047887-13048304	Cluster_253	N	18	6	9
Ap10:13265320-13265737	Cluster_254	N	13	11	51
Ap10:13278598-13279014	Cluster_255	N	4	19	8
Ap10:13332845-13333261	Cluster_256	N	19	11	7
Ap10:13539971-13540383	Cluster_257	N	4	7	13
Ap10:13697185-13697600	Cluster_258	N	4	7	8
Ap10:13993908-13994324	Cluster_259	N	0	0	94
Ap10:14051500-14051916	Cluster_260	N	2	1	23
Ap10:14404364-14404777	Cluster_261	N	0	11	8
Ap10:14410000-14410416	Cluster_262	N	1	0	75
Ap10:14827824-14828252	Cluster_263	N	27	0	4
Ap10:14829292-14829726	Cluster_264	N	129	14	5
Ap10:14829857-14830332	Cluster_265	N	100	12	11
Ap10:14830480-14830910	Cluster_266	N	200	31	20
Ap10:14831413-14831917	Cluster_267	N	101	15	14
Ap10:15264064-15264481	Cluster_268	N	22	0	18
Ap10:15293418-15293838	Cluster_269	N	21	79	58
Ap10:15511145-15511559	Cluster_270	N	5	7	16
Ap10:15990294-15990709	Cluster_271	N	0	1	233
Ap10:16285541-16285956	Cluster_272	N	4	18	1
Ap10:16400413-16400825	Cluster_273	N	1	11	8
Ap10:16424294-16424705	Cluster_274	N	0	0	32
Ap10:16598128-16598542	Cluster_275	N	4	8	27
Ap10:16653457-16653875	Cluster_276	N	283	81	67
Ap10:16803318-16803730	Cluster_277	N	0	1	23
Ap10:16813400-16813812	Cluster_278	N	5	20	48
Ap10:16849409-16849827	Cluster_279	N	1	11	22
Ap10:17047985-17048401	Cluster_280	N	14	17	19
Ap10:17481173-17481590	Cluster_281	N	3	12	4
Ap10:17488444-17488860	Cluster_282	N	0	8	58
Ap10:17687500-17687911	Cluster_283	N	0	0	32
Ap10:17730702-17731117	Cluster_284	N	0	27	33
Ap10:17871188-17871617	Cluster_285	N	3184	5609	2554
Ap10:17982832-17983249	Cluster_286	N	13	2	14
Ap10:18229842-18230255	Cluster_287	N	0	0	22
Ap10:18239642-18240055	Cluster_288	N	0	0	22
Ap10:18316091-18316507	Cluster_289	N	8	23	18
Ap10:18335612-18336023	Cluster_290	N	2	12	6
Ap10:18469200-18469616	Cluster_291	N	18	1	11
Ap10:18563011-18563428	Cluster_292	N	6	10	6
Ap10:18578516-18578931	Cluster_293	N	5	9	8
Ap10:18773461-18773877	Cluster_294	N	18	61	48
Ap10:19028246-19028664	Cluster_295	N	21	78	37
Ap10:19033912-19034327	Cluster_296	N	5	9	16
Ap10:19092427-19092846	Cluster_297	N	55	146	374
Ap10:19185169-19185581	Cluster_298	N	0	1	53
Ap10:19312881-19313292	Cluster_299	N	1	17	15
Ap10:19365623-19366040	Cluster_300	N	46	8	1
Ap10:19483026-19483448	Cluster_301	N	37	9	2
Ap10:19494856-19495394	Cluster_302	N	104	8	14
Ap10:19567768-19568848	Cluster_303	N	185	36	47
Ap10:19570185-19570613	Cluster_304	N	39	16	19
Ap10:19585723-19586135	Cluster_305	N	5	15	64
Ap10:19664164-19664578	Cluster_306	N	1	9	62
Ap10:19923221-19923644	Cluster_307	N	14	33	33
Ap10:19969125-19969541	Cluster_308	N	41	6	0
Ap10:20298083-20298496	Cluster_309	N	3	5	33
Ap10:20331116-20331531	Cluster_310	N	2	23	30
Ap10:20392827-20393254	Cluster_311	N	17	33	31
Ap10:20956392-20956804	Cluster_312	N	0	7	28
Ap10:21020269-21020680	Cluster_313	N	1	4	17
Ap10:21022035-21022448	Cluster_314	N	3	10	9
Ap10:21039202-21039618	Cluster_315	N	11	17	16
Ap10:21425600-21426017	Cluster_316	N	6	58	43
Ap10:21428280-21428701	Cluster_317	N	7	27	24
Ap14:84759-85296	Cluster_318	N	241	18	22
Ap14:451493-451909	Cluster_319	N	4	12	5
Ap14:499920-500336	Cluster_320	N	15	15	19
Ap14:503413-503831	Cluster_321	N	25	22	29
Ap14:521773-522193	Cluster_322	N	23	7	9
Ap14:618493-618907	Cluster_323	N	0	12	7
Ap14:715469-715882	Cluster_324	N	0	0	40
Ap14:943230-943648	Cluster_325	N	1	72	139
Ap14:950309-950726	Cluster_326	N	10	3	16
Ap14:987511-987927	Cluster_327	N	36	159	90
Ap14:1319955-1320366	Cluster_328	N	0	0	38
Ap14:1405114-1405528	Cluster_329	N	0	0	32
Ap14:1469449-1469861	Cluster_330	N	0	3	22
Ap14:1476471-1476887	Cluster_331	N	19	80	46
Ap14:1609532-1609943	Cluster_332	N	1	17	15
Ap14:1628310-1628733	Cluster_333	N	0	28	16
Ap14:1896268-1896695	Cluster_334	N	5	17	5
Ap14:2128466-2128881	Cluster_335	N	0	9	62
Ap14:2245365-2245780	Cluster_336	N	0	0	97
Ap14:2350846-2351264	Cluster_337	N	45	40	44
Ap14:2408800-2409212	Cluster_338	N	0	0	58
Ap14:2684047-2684577	Cluster_339	N	352	42	28
Ap14:2689413-2689949	Cluster_340	N	85	14	7
Ap14:2696500-2697037	Cluster_341	N	633	73	71
Ap14:2704157-2704696	Cluster_342	N	202	17	20
Ap14:2711001-2711499	Cluster_343	N	108	13	11
Ap14:3034982-3035397	Cluster_344	N	3	14	20
Ap14:3141887-3142298	Cluster_345	N	0	26	0
Ap14:3167598-3168014	Cluster_346	N	0	10	18
Ap14:3181106-3181520	Cluster_347	N	8	14	1
Ap14:3199997-3200410	Cluster_348	N	1	11	12
Ap14:3207519-3207933	Cluster_349	N	15	3	3
Ap14:3258476-3258893	Cluster_350	N	7	17	6
Ap14:3414794-3415211	Cluster_351	N	2	15	10
Ap14:3448270-3448684	Cluster_352	N	13	7	15
Ap14:3701459-3701874	Cluster_353	N	21	1	1
Ap14:3820288-3820726	Cluster_354	N	355	43	46
Ap14:3900974-3901385	Cluster_355	N	0	18	20
Ap14:4551302-4551715	Cluster_356	N	0	19	1
Ap14:4608987-4609402	Cluster_357	N	10	5	7
Ap14:4760892-4761307	Cluster_358	N	1	2	27
Ap14:4953184-4953600	Cluster_359	N	10	50	40
Ap14:5039103-5039520	Cluster_360	N	1	17	33
Ap14:5443755-5444170	Cluster_361	N	1	12	21
Ap14:5479513-5479929	Cluster_362	N	3	36	14
Ap14:5541113-5541529	Cluster_363	N	5	20	7
Ap14:6021792-6022207	Cluster_364	N	0	19	11
Ap14:6139322-6139795	Cluster_365	N	2	0	72
Ap14:6195260-6195672	Cluster_366	N	4	48	71
Ap14:6367892-6368309	Cluster_367	N	0	1	116
Ap14:6485359-6485777	Cluster_368	N	59	10	22
Ap14:6532810-6533221	Cluster_369	N	2	13	18
Ap14:6566029-6566440	Cluster_370	N	4	13	18
Ap14:6585702-6586127	Cluster_371	N	45	9	8
Ap14:6662691-6663111	Cluster_372	N	18	1	3
Ap14:6820343-6820759	Cluster_373	N	16	16	15
Ap14:6830181-6830597	Cluster_374	N	0	6	69
Ap14:7048113-7048529	Cluster_375	N	0	39	8
Ap14:7214872-7215289	Cluster_376	N	13	62	20
Ap14:7277666-7278081	Cluster_377	N	0	9	105
Ap14:7290948-7291369	Cluster_378	N	44	48	57
Ap14:7299238-7299650	Cluster_379	N	0	23	19
Ap14:7420081-7420493	Cluster_380	N	0	2	30
Ap14:7579748-7580164	Cluster_381	N	6	16	5
Ap14:7636666-7637083	Cluster_382	N	6	3	44
Ap14:7800289-7800705	Cluster_383	N	9	50	26
Ap14:7803773-7804184	Cluster_384	N	0	0	30
Ap14:7826703-7827118	Cluster_385	N	0	12	16
Ap14:8041709-8042125	Cluster_386	N	24	11	11
Ap14:8128986-8129405	Cluster_387	N	55	77	103
Ap14:8152343-8152802	Cluster_388	N	2840	563	386
Ap14:8290138-8290555	Cluster_389	N	1	22	0
Ap14:8505012-8505423	Cluster_390	N	0	0	22
Ap14:8679329-8679744	Cluster_391	N	0	13	20
Ap14:8887529-8887948	Cluster_392	N	161	122	126
Ap14:8888556-8888975	Cluster_393	N	159	121	126
Ap14:9171435-9171848	Cluster_394	N	0	157	27
Ap14:9251781-9252195	Cluster_395	N	1	12	8
Ap14:9347076-9347487	Cluster_396	N	3	148	244
Ap14:9560896-9561313	Cluster_397	N	13	39	1
Ap14:9569197-9569610	Cluster_398	N	0	7	17
Ap14:9897004-9897419	Cluster_399	N	9	23	0
Ap14:10002328-10002748	Cluster_400	N	0	4	400
Ap14:10090382-10090871	Cluster_401	N	83	14	8
Ap14:10113376-10113862	Cluster_402	N	48	9	5
Ap14:10292598-10293012	Cluster_403	N	0	0	173
Ap14:10402990-10403402	Cluster_404	N	0	0	22
Ap14:10423364-10423788	Cluster_405	N	20	3	3
Ap14:10429460-10429874	Cluster_406	N	0	0	45
Ap14:10732001-10732416	Cluster_407	N	0	15	13
Ap14:11098141-11098555	Cluster_408	N	0	0	36
Ap14:11237721-11238137	Cluster_409	N	0	74	21
Ap14:11283420-11283836	Cluster_410	N	36	202	145
Ap14:11306479-11306893	Cluster_411	N	0	16	7
Ap14:11311881-11312292	Cluster_412	N	0	1	38
Ap14:11325946-11326359	Cluster_413	N	1	5	28
Ap14:11379680-11380093	Cluster_414	N	1	15	114
Ap14:11574875-11575290	Cluster_415	N	19	208	212
Ap14:11761518-11761935	Cluster_416	N	5	34	34
Ap14:12148354-12148767	Cluster_417	N	0	10	12
Ap14:12233727-12234138	Cluster_418	N	0	0	20
Ap14:12268269-12268686	Cluster_419	N	5	70	49
Ap14:12306573-12306994	Cluster_420	N	61	78	39
Ap14:12324053-12324470	Cluster_421	N	0	0	27
Ap14:12369952-12370368	Cluster_422	N	1	18	18
Ap14:12685636-12686057	Cluster_423	N	15	1	14
Ap14:12711164-12711579	Cluster_424	N	0	2	22
Ap14:13205723-13206140	Cluster_425	N	0	28	33
Ap14:13327177-13327600	Cluster_426	N	16	2	6
Ap14:13701132-13701548	Cluster_427	N	8	59	61
Ap14:13791863-13792278	Cluster_428	N	3	12	12
Ap14:13898356-13898770	Cluster_429	N	1	0	43
Ap14:13953835-13954249	Cluster_430	N	1	8	11
Ap14:14262042-14262458	Cluster_431	N	6	17	21
Ap14:14281303-14281720	Cluster_432	N	13	8	5
Ap14:14282552-14282967	Cluster_433	N	1	13	16
Ap14:14330964-14331384	Cluster_434	N	4	21	13
Ap14:14576118-14576637	Cluster_435	N	54	6	4
Ap14:14582954-14583383	Cluster_436	N	21	7	2
Ap14:14588081-14588500	Cluster_437	N	40	6	5
Ap14:14605036-14605467	Cluster_438	N	101	16	15
Ap14:14607055-14607486	Cluster_439	N	94	15	15
Ap14:14761923-14762340	Cluster_440	N	4	7	9
Ap14:14839134-14839545	Cluster_441	N	0	11	273
Ap14:14861167-14861597	Cluster_442	N	24	9	3
Ap14:14895563-14895982	Cluster_443	N	29	34	42
Ap14:15271718-15272135	Cluster_444	N	5	15	15
Ap14:15277162-15277569	Cluster_445	N	0	11	10
Ap14:15433296-15433708	Cluster_446	N	0	5	15
Ap14:15451501-15451930	Cluster_447	N	55	4	11
Ap14:15453286-15453698	Cluster_448	N	0	17	22
Ap14:15473683-15474109	Cluster_449	N	38	3	0
Ap14:15513748-15514170	Cluster_450	N	10	55	27
Ap14:15527065-15527487	Cluster_451	N	24	0	6
Ap14:15920576-15920990	Cluster_452	N	0	0	145
Ap14:15959916-15960326	Cluster_453	N	0	17	5
Ap14:15986559-15986975	Cluster_454	N	6	6	8
Ap14:16356107-16356526	Cluster_455	N	7	36	34
Ap14:16389066-16389479	Cluster_456	N	0	0	37
Ap14:16391728-16392143	Cluster_457	N	3	138	112
Ap14:16551773-16552191	Cluster_458	N	7	14	11
Ap14:16599572-16599991	Cluster_459	N	166	131	131
Ap14:16600600-16601017	Cluster_460	N	7	23	16
Ap14:16681257-16681671	Cluster_461	N	2	7	17
Ap14:16916788-16917202	Cluster_462	N	1	10	60
Ap14:17020936-17021355	Cluster_463	N	6	9	10
Ap14:17023378-17023794	Cluster_464	N	6	35	20
Ap14:17317039-17317452	Cluster_465	N	3	3	15
Ap14:17533329-17533744	Cluster_466	N	16	4	2
Ap14:17580451-17580869	Cluster_467	N	12	31	18
Ap14:17713641-17714064	Cluster_468	N	23	33	34
Ap14:17714816-17715232	Cluster_469	N	57	220	195
Ap14:17719325-17719740	Cluster_470	N	0	64	78
Ap14:17785450-17785866	Cluster_471	N	18	319	178
Ap14:17810044-17810459	Cluster_472	N	8	12	8
Ap14:17963258-17963674	Cluster_473	N	0	63	50
Ap14:18109727-18110139	Cluster_474	N	0	2	113
Ap14:18153023-18153436	Cluster_475	N	0	0	39
Ap14:18303235-18303666	Cluster_476	N	42	8	7
Ap14:18795421-18795834	Cluster_477	N	4	51	71
Ap14:19100996-19101409	Cluster_478	N	1	4	16
Ap14:19232371-19232790	Cluster_479	N	106	226	165
Ap14:19279760-19280176	Cluster_480	N	72	147	163
Ap14:19574048-19574465	Cluster_481	N	33	35	38
Ap14:19700421-19700834	Cluster_482	N	1	9	12
Ap14:19841539-19841956	Cluster_483	N	0	26	204
Ap14:19851148-19851563	Cluster_484	N	1	13	10
Ap14:19856927-19857340	Cluster_485	N	1	25	35
Ap14:19867688-19868101	Cluster_486	N	11	9	8
Ap14:19900319-19900731	Cluster_487	N	1	0	353
Ap14:19902103-19902519	Cluster_488	N	1	10	11
Ap14:19936507-19936922	Cluster_489	N	2	21	13
Ap14:19941970-19942385	Cluster_490	N	0	2	32
Ap14:20061031-20061442	Cluster_491	N	0	0	19
Ap14:20205111-20205527	Cluster_492	N	5	9	10
Ap14:20270622-20271039	Cluster_493	N	10	16	0
Ap14:20318422-20318839	Cluster_494	N	6	85	72
Ap14:20367499-20367916	Cluster_495	N	23	26	36
