Coords	Name	MIRNA	ahya_1_S27_L001_R1_001_trim_condensed	ahya_2_S28_L001_R1_001_trim_condensed	ahya_3_S29_L001_R1_001_trim_condensed	ahya_4_S30_L001_R1_001_trim_condensed
chr1:2859200-2859609	Cluster_92	N	8	0	16	5
chr1:2908416-2908950	Cluster_93	N	28	20	1529	104
chr1:2911273-2911886	Cluster_94	N	11	11	316	57
chr1:2940760-2941181	Cluster_95	N	22	2	0	0
chr1:2990108-2990579	Cluster_96	N	10	1	121	31
chr1:2996212-2996686	Cluster_97	N	0	1	0	135
chr1:3005503-3005919	Cluster_98	N	3	23	35	2
chr1:3058604-3059020	Cluster_99	N	2	3	10	6
chr1:3096939-3097352	Cluster_100	N	0	0	21	0
chr1:3106471-3106894	Cluster_101	N	11	2	10	7
chr1:3140061-3140633	Cluster_102	N	77	2	43	7
chr1:3149867-3150392	Cluster_103	N	0	2	42	6
chr1:3186596-3187012	Cluster_104	N	13	4	21	0
chr1:3220483-3220911	Cluster_105	N	15	6	13	2
chr1:3383854-3384689	Cluster_106	N	0	4	164	5
chr1:3397097-3397525	Cluster_107	N	0	3	31	1
chr1:3399620-3400409	Cluster_108	N	0	72	284	5
chr1:3415181-3415698	Cluster_109	N	6	0	82	10
chr1:3415787-3416388	Cluster_110	N	11	9	188	3
chr1:3417450-3418272	Cluster_111	N	2	1	84	0
chr1:3419240-3419657	Cluster_112	N	1	0	34	2
chr1:3472434-3472850	Cluster_113	N	8	40	7	2
chr1:3474641-3475057	Cluster_114	N	22	0	13	3
chr1:3590266-3590687	Cluster_115	N	21	0	0	0
chr1:3632818-3633234	Cluster_116	N	0	0	22	1
chr1:3672731-3673162	Cluster_117	N	9	8	10	13
chr1:3679106-3679528	Cluster_118	N	235	6	165	27
chr1:3701087-3701515	Cluster_119	N	16	0	27	3
chr1:3727393-3727807	Cluster_120	N	2	16	8	1
chr1:3755838-3756252	Cluster_121	N	2	12	7	3
chr1:3815889-3816317	Cluster_122	N	81	0	9	16
chr1:3847872-3848300	Cluster_123	N	1	25	0	1
chr1:3899881-3900345	Cluster_124	N	10	7	20	37
chr1:3913234-3913660	Cluster_125	N	13	0	4	4
chr1:3971469-3971883	Cluster_126	N	1	2	7	17
chr1:4032687-4033105	Cluster_127	N	27	2	5	19
chr1:4033340-4033766	Cluster_128	N	5	1	33	5
chr1:4037016-4037418	Cluster_129	N	19	0	0	5
chr1:4038325-4038751	Cluster_130	N	5	1	29	3
chr1:4039033-4039809	Cluster_131	N	55	0	44	4
chr1:4073148-4073562	Cluster_132	N	14	8	12	10
chr1:4102690-4103105	Cluster_133	N	4	22	1	13
chr1:4172172-4172628	Cluster_134	N	108	0	0	0
chr1:4246458-4246889	Cluster_135	N	0	0	1	81
chr1:4279662-4280091	Cluster_136	N	25	4	40	13
chr1:4281672-4282100	Cluster_137	N	16	1	13	5
chr1:4287841-4288272	Cluster_138	N	0	0	0	80
chr1:4297791-4298220	Cluster_139	N	26	4	36	12
chr1:4298371-4298787	Cluster_140	N	15	4	10	10
chr1:4299801-4300229	Cluster_141	N	19	1	15	5
chr1:4305971-4306402	Cluster_142	N	0	0	0	80
chr1:4575225-4575654	Cluster_143	N	0	0	26	13
chr1:4703160-4703575	Cluster_144	N	0	5	10	4
chr1:4744386-4744803	Cluster_145	N	6	2	17	29
chr1:4810817-4811233	Cluster_146	N	12	3	202	193
chr1:4813828-4814256	Cluster_147	N	52	2	15	3
chr1:4845437-4845855	Cluster_148	N	12	3	203	197
chr1:4848415-4848843	Cluster_149	N	51	1	16	3
chr1:4886707-4887115	Cluster_150	N	6	0	15	11
chr1:4954530-4954950	Cluster_151	N	0	0	45	2
chr1:4957552-4957969	Cluster_152	N	0	0	10	19
chr1:5086619-5087034	Cluster_153	N	22	2	0	0
chr1:5233093-5233519	Cluster_154	N	6	0	44	0
chr1:5272249-5272671	Cluster_155	N	17	0	7	13
chr1:5277922-5278016	Cluster_156	Y	56	0	0	0
chr1:5289012-5289430	Cluster_157	N	4	24	2	0
chr1:5290304-5290721	Cluster_158	N	7	1	52	5
chr1:5365422-5365851	Cluster_159	N	17	1	7	5
chr1:5384224-5384653	Cluster_160	N	1	0	2	38
chr1:5397135-5397549	Cluster_161	N	0	35	11	1
chr1:5419375-5419805	Cluster_162	N	0	1	118	0
chr1:5614227-5614655	Cluster_163	N	11	0	32	8
chr1:5616186-5617125	Cluster_164	N	167	4	412	92
chr1:5648802-5649219	Cluster_165	N	11	4	2	18
chr1:5673555-5673964	Cluster_166	N	0	0	13	10
chr1:5712909-5713333	Cluster_167	N	47	3	4	1
chr1:5732711-5733129	Cluster_168	N	23	1	2	0
chr1:5734646-5735075	Cluster_169	N	3	4	98	1
chr1:5992687-5993102	Cluster_170	N	3	60	8	4
chr1:6001428-6001851	Cluster_171	N	6	1	20	2
chr1:6045019-6045447	Cluster_172	N	26	5	12	0
chr1:6111918-6112334	Cluster_173	N	3	5	10	26
chr1:6146052-6146479	Cluster_174	N	0	0	29	1
chr1:6216022-6216435	Cluster_175	N	0	5	15	1
chr1:6356685-6357751	Cluster_176	N	51	5	147	26
chr1:6426201-6426629	Cluster_177	N	0	1	46	3
chr1:6438207-6438625	Cluster_178	N	472	295	1315	3471
chr1:6439964-6440388	Cluster_179	N	14	13	5	3
chr1:6440931-6441357	Cluster_180	N	32	1	0	0
chr1:6513923-6514761	Cluster_181	N	80	28	3	17
chr1:6563583-6564010	Cluster_182	N	22	0	0	1
chr1:6620467-6620888	Cluster_183	N	7	1	0	14
chr1:6655820-6656247	Cluster_184	N	8	1	0	35
chr1:6672043-6672471	Cluster_185	N	13	0	2	13
chr1:6686765-6687187	Cluster_186	N	2	0	24	0
chr1:6690504-6690910	Cluster_187	N	0	2	17	26
chr1:6721468-6721889	Cluster_188	N	23	0	0	1
chr1:6770668-6771071	Cluster_189	N	12	4	34	8
chr1:6773453-6774099	Cluster_190	N	11	2	65	18
chr1:6775295-6775853	Cluster_191	N	8	5	83	148
chr1:6776114-6777408	Cluster_192	N	37	20	247	119
chr1:6779222-6779637	Cluster_193	N	0	3	32	1
chr1:6845975-6846405	Cluster_194	N	22	0	3	19
chr1:6849435-6849862	Cluster_195	N	18	0	6	0
chr1:6854473-6854901	Cluster_196	N	35	5	3	0
chr1:6861228-6861681	Cluster_197	N	32	0	31	31
chr1:6944486-6944915	Cluster_198	N	6	1	83	2
chr1:7015782-7016191	Cluster_199	N	16	2	13	4
chr1:7016398-7016824	Cluster_200	N	1	0	18	16
chr1:7031506-7031935	Cluster_201	N	29	0	28	24
chr1:7042862-7043291	Cluster_202	N	8	1	21	3
chr1:7043401-7043831	Cluster_203	N	47	6	5	4
chr1:7054174-7054592	Cluster_204	N	2	0	20	2
chr1:7076880-7077304	Cluster_205	N	21	0	10	11
chr1:7151441-7151859	Cluster_206	N	40	13	36	73
chr1:7168901-7169321	Cluster_207	N	12	0	14	1
chr1:7207130-7207547	Cluster_208	N	4	18	2	13
chr1:7232248-7232663	Cluster_209	N	39	0	1	0
chr1:7280208-7280675	Cluster_210	N	8	28	65	10
chr1:7400894-7401314	Cluster_211	N	17	1	2	8
chr1:7413065-7413492	Cluster_212	N	27	2	8	3
chr1:7420431-7420858	Cluster_213	N	0	1	45	3
chr1:7426945-7427359	Cluster_214	N	1	19	1	2
chr1:7479196-7479611	Cluster_215	N	10	1	8	14
chr1:7483292-7483720	Cluster_216	N	20	2	7	12
chr1:7538100-7538518	Cluster_217	N	0	0	141	7
chr1:7611307-7611723	Cluster_218	N	1	0	8	12
chr1:7641974-7642392	Cluster_219	N	103	0	1	2
chr1:7801372-7801800	Cluster_220	N	2	42	1	0
chr1:7818716-7819476	Cluster_221	N	65	23	289	47
chr1:7821806-7822224	Cluster_222	N	103	0	0	1
chr1:7831697-7832126	Cluster_223	N	12	0	30	7
chr1:7833464-7833892	Cluster_224	N	6	2	21	3
chr1:7924901-7925319	Cluster_225	N	0	1	0	60
chr1:7928815-7929242	Cluster_226	N	0	0	38	0
chr1:8046959-8047373	Cluster_227	N	0	10	5	13
chr1:8050579-8050997	Cluster_228	N	51	2	1	1
chr1:8055348-8055763	Cluster_229	N	9	14	2	13
chr1:8090358-8090786	Cluster_230	N	1	0	23	3
chr1:8152934-8153362	Cluster_231	N	2	1	2	37
chr1:8168866-8169283	Cluster_232	N	0	12	7	12
chr1:8202692-8203119	Cluster_233	N	2	3	38	70
chr1:8229570-8229986	Cluster_234	N	23	59	14	8
chr1:8244226-8244655	Cluster_235	N	44	5	0	0
chr1:8254088-8254518	Cluster_236	N	0	0	12	51
chr1:8277866-8278524	Cluster_237	N	157	13	10	13
chr1:8279796-8280223	Cluster_238	N	30	3	18	5
chr1:8280598-8281025	Cluster_239	N	27	1	7	8
chr1:8299429-8299852	Cluster_240	N	42	3	1	12
chr1:8345126-8345553	Cluster_241	N	0	3	27	17
chr1:8347478-8347905	Cluster_242	N	13	2	19	7
chr1:8348001-8348428	Cluster_243	N	19	5	17	27
chr1:8354419-8354847	Cluster_244	N	16	0	20	6
chr1:8377777-8378205	Cluster_245	N	21	0	2	15
chr1:8378930-8379409	Cluster_246	N	60	11	20	31
chr1:8380181-8381205	Cluster_247	N	456	83	60	174
chr1:8381597-8382024	Cluster_248	N	15	13	18	0
chr1:8405638-8406067	Cluster_249	N	0	0	19	0
chr1:8406994-8407411	Cluster_250	N	3	64	29	11
chr1:8429359-8429788	Cluster_251	N	33	4	3	20
chr1:8528027-8528455	Cluster_252	N	44	1	2	0
chr1:8570527-8570955	Cluster_253	N	1	1	1	20
chr1:8638130-8638558	Cluster_254	N	66	0	11	3
chr1:8675650-8676079	Cluster_255	N	7	12	31	0
chr1:8680657-8681072	Cluster_256	N	4	23	1	16
chr1:8698389-8698807	Cluster_257	N	9	3	9	5
chr1:8719260-8719689	Cluster_258	N	0	0	32	4
chr1:8724861-8725275	Cluster_259	N	0	0	41	0
chr1:8742120-8742549	Cluster_260	N	286	23	95	1
chr1:8796386-8796814	Cluster_261	N	45	0	1	0
chr1:8808041-8808466	Cluster_262	N	17	0	4	22
chr1:8809611-8810038	Cluster_263	N	34	6	1	7
chr1:8810108-8810538	Cluster_264	N	51	3	3	8
chr1:8883354-8883773	Cluster_265	N	12	1	17	5
chr1:8897744-8898172	Cluster_266	N	0	0	19	7
chr1:8898624-8899262	Cluster_267	N	102	0	10	0
chr1:8931234-8931660	Cluster_268	N	0	0	0	23
chr1:8937055-8937499	Cluster_269	N	81	6	0	19
chr1:8948467-8948925	Cluster_270	N	2	0	16	117
chr1:8989632-8990060	Cluster_271	N	5	3	17	9
chr1:8996249-8996676	Cluster_272	N	52	4	8	15
chr1:9092574-9093002	Cluster_273	N	42	7	26	8
chr1:9184737-9185155	Cluster_274	N	4	1	25	1
chr1:9197832-9198250	Cluster_275	N	6	11	133	110
chr1:9208284-9208711	Cluster_276	N	0	0	26	0
chr1:9228713-9229132	Cluster_277	N	3	4	43	2
chr1:9234624-9235040	Cluster_278	N	14	0	0	29
chr1:9295115-9295531	Cluster_279	N	21	0	14	12
chr1:9334590-9335006	Cluster_280	N	1	0	4	28
chr1:9354502-9354931	Cluster_281	N	15	0	8	1
chr1:9364496-9364925	Cluster_282	N	21	1	15	13
chr1:9449422-9449836	Cluster_283	N	2	1	9	7
chr1:9508186-9508602	Cluster_284	N	8	9	0	4
chr1:9547059-9547488	Cluster_285	N	0	2	19	0
chr1:9590766-9591195	Cluster_286	N	4	0	2	14
chr1:9601295-9601713	Cluster_287	N	3	1	24	0
chr1:9664783-9665197	Cluster_288	N	0	0	21	0
chr1:9666670-9667097	Cluster_289	N	26	2	1	0
chr1:9679052-9679469	Cluster_290	N	1	0	2	34
chr1:9700451-9700867	Cluster_291	N	0	0	17	4
chr1:9726620-9727047	Cluster_292	N	0	5	18	16
chr1:9793636-9794065	Cluster_293	N	32	4	30	4
chr1:9946943-9947526	Cluster_294	N	152	0	97	12
chr1:9950915-9951332	Cluster_295	N	17	5	1	10
chr1:9968352-9968768	Cluster_296	N	1	2	35	23
chr1:9974507-9975032	Cluster_297	N	123	24	274	14
chr1:10038157-10038584	Cluster_298	N	3	1	25	3
chr1:10090406-10090833	Cluster_299	N	33	3	0	1
chr1:10091292-10091719	Cluster_300	N	29	2	2	1
chr1:10092314-10092729	Cluster_301	N	4	102	12	13
chr1:10125900-10126327	Cluster_302	N	0	0	29	1
chr1:10243235-10243663	Cluster_303	N	11	0	12	7
chr1:10248139-10248568	Cluster_304	N	32	2	0	0
chr1:10347061-10347477	Cluster_305	N	3	2	9	16
chr1:10350537-10350952	Cluster_306	N	20	0	0	1
chr1:10351356-10351881	Cluster_307	N	93	4	5	2
chr1:10354021-10354476	Cluster_308	N	0	6	21	16
chr1:10400339-10400768	Cluster_309	N	0	0	23	2
chr1:10404739-10405161	Cluster_310	N	3	0	31	8
chr1:10421624-10422053	Cluster_311	N	17	4	2	0
chr1:10482817-10483235	Cluster_312	N	20	103	18	2
chr1:10626929-10627347	Cluster_313	N	22	4	1	0
chr1:10665934-10666363	Cluster_314	N	12	0	24	13
chr1:10768630-10769135	Cluster_315	N	13	5	20	47
chr1:10950952-10951697	Cluster_316	N	22	3	81	19
chr1:10953187-10953615	Cluster_317	N	43	2	1	9
chr1:10953923-10954616	Cluster_318	N	13	4	52	10
chr1:10954678-10955332	Cluster_319	N	14	3	70	6
chr1:10957647-10958057	Cluster_320	N	17	0	20	3
chr1:10986430-10987024	Cluster_321	N	0	26	60	0
chr1:11006625-11007040	Cluster_322	N	3	1	5	10
chr1:11059921-11060335	Cluster_323	N	0	24	5	1
chr1:11133196-11133627	Cluster_324	N	58	0	3	3
chr1:11145217-11145634	Cluster_325	N	0	1	10	75
chr1:11152964-11153380	Cluster_326	N	1	20	3	26
chr1:11243683-11244095	Cluster_327	N	0	20	0	4
chr1:11245844-11246261	Cluster_328	N	18	2	31	2
chr1:11259299-11259725	Cluster_329	N	1	0	23	1
chr1:11267778-11268193	Cluster_330	N	0	16	0	10
chr1:11288437-11288865	Cluster_331	N	1	0	0	28
chr1:11354613-11355041	Cluster_332	N	0	0	38	1
chr1:11417935-11418352	Cluster_333	N	13	7	4	3
chr1:11421850-11422264	Cluster_334	N	2	22	2	1
chr1:11458506-11459195	Cluster_335	N	26	3	44	0
chr1:11470995-11471422	Cluster_336	N	21	1	8	0
chr1:11472632-11473488	Cluster_337	N	98	9	0	2
chr1:11475952-11476368	Cluster_338	N	6	0	16	6
chr1:11476720-11477559	Cluster_339	N	79	29	0	17
chr1:11536119-11536548	Cluster_340	N	1	1	77	4
chr1:11563951-11564379	Cluster_341	N	2	0	37	22
chr1:11564722-11565139	Cluster_342	N	0	2	22	8
chr1:11569413-11569829	Cluster_343	N	4	32	10	0
chr1:11582820-11583247	Cluster_344	N	0	6	16	1
chr1:11589781-11590195	Cluster_345	N	3	19	5	0
chr1:11596510-11596939	Cluster_346	N	38	1	27	5
chr1:11599585-11600018	Cluster_347	N	3	2	40	0
chr1:11601267-11601694	Cluster_348	N	1	0	29	0
chr1:11609078-11609507	Cluster_349	N	36	0	27	5
chr1:11678766-11679194	Cluster_350	N	23	2	18	9
chr1:11708955-11709375	Cluster_351	N	25	0	2	0
chr1:11711052-11711466	Cluster_352	N	3	32	0	0
chr1:11731363-11731780	Cluster_353	N	18	87	31	39
chr1:11774049-11774466	Cluster_354	N	0	55	84	1
chr1:11796134-11796548	Cluster_355	N	0	29	5	6
chr1:11862467-11862895	Cluster_356	N	3	0	22	1
chr1:11951447-11951878	Cluster_357	N	20	0	5	67
chr1:11968214-11968642	Cluster_358	N	182	11	58	7
chr1:11970382-11970811	Cluster_359	N	3	7	90	0
chr1:11977310-11977726	Cluster_360	N	22	188	11	13
chr1:11998639-11999068	Cluster_361	N	6898	420	11	6
chr1:12044463-12044893	Cluster_362	N	12	6	27	43
chr1:12074773-12075180	Cluster_363	N	11	6	0	14
chr1:12150968-12151394	Cluster_364	N	14	3	6	19
chr1:12152539-12152946	Cluster_365	N	10	0	3	15
chr1:12190866-12191317	Cluster_366	N	18	5	74	21
chr1:12192420-12192838	Cluster_367	N	11	59	12	28
chr1:12219455-12219876	Cluster_368	N	26	0	1	2
chr1:12238685-12239101	Cluster_369	N	4	0	11	37
chr1:12240166-12240255	Cluster_370	Y	10	0	10	4
chr1:12241267-12241683	Cluster_371	N	2	35	4	13
chr1:12272594-12273124	Cluster_372	N	100	24	65	288
chr1:12287451-12287870	Cluster_373	N	12	10	11	34
chr1:12382590-12383018	Cluster_374	N	48	1	28	18
chr1:12383857-12384284	Cluster_375	N	2	0	24	4
chr1:12411523-12411952	Cluster_376	N	2	2	53	4
chr1:12418847-12419276	Cluster_377	N	59	0	5	2
chr1:12695135-12695562	Cluster_378	N	0	0	20	44
chr1:12760766-12761194	Cluster_379	N	9	7	35	6
chr1:12761686-12762114	Cluster_380	N	3	12	41	7
chr1:12786335-12786751	Cluster_381	N	1	0	0	22
chr1:12828436-12828865	Cluster_382	N	29	1	9	0
chr1:12900412-12900839	Cluster_383	N	0	0	31	2
chr1:12913815-12914233	Cluster_384	N	2	10	0	115
chr1:12969137-12969554	Cluster_385	N	10	25	15	2
chr1:13024834-13025251	Cluster_386	N	1	5	34	13
chr1:13091903-13092326	Cluster_387	N	31	0	0	0
chr1:13148164-13148582	Cluster_388	N	2	1	0	84
chr1:13159940-13160358	Cluster_389	N	1	0	74	1
chr1:13205858-13206291	Cluster_390	N	321	12	5	29
chr1:13231849-13232274	Cluster_391	N	1	1	12	7
chr1:13245371-13245797	Cluster_392	N	20	1	10	16
chr1:13246862-13247286	Cluster_393	N	11	1	21	11
chr1:13295199-13295617	Cluster_394	N	103	0	2	0
chr1:13378930-13379358	Cluster_395	N	15	0	6	7
chr1:13398293-13398709	Cluster_396	N	4	10	13	11
chr1:13437680-13438107	Cluster_397	N	25	2	5	2
chr1:13448519-13448933	Cluster_398	N	2	1	15	4
chr1:13482146-13482561	Cluster_399	N	4	3	17	7
chr1:13503056-13503483	Cluster_400	N	3	1	72	10
chr1:13504996-13505506	Cluster_401	N	17	2	51	17
chr1:13526387-13526816	Cluster_402	N	3	4	46	2
chr1:13527800-13528229	Cluster_403	N	7	3	50	13
chr1:13528373-13528787	Cluster_404	N	4	25	18	28
chr1:13528932-13529348	Cluster_405	N	2	1	257	11
chr1:13532245-13532657	Cluster_406	N	17	4	3	0
chr1:13540909-13541336	Cluster_407	N	78	3	1	2
chr1:13607539-13608321	Cluster_408	N	23	7	101	45
chr1:13608589-13609017	Cluster_409	N	18	4	21	13
chr1:13609163-13610311	Cluster_410	N	64	28	374	22
chr1:13610655-13613001	Cluster_411	N	272	83	880	350
chr1:13613338-13613826	Cluster_412	N	58	9	209	99
chr1:13618540-13618966	Cluster_413	N	1	1	30	6
chr1:13633535-13633964	Cluster_414	N	103	4	0	1
chr1:13639587-13640005	Cluster_415	N	3	0	12	11
chr1:13651043-13651470	Cluster_416	N	46	3	1	0
chr1:13652015-13652439	Cluster_417	N	12	0	20	0
chr1:13657455-13657884	Cluster_418	N	5	23	41	78
chr1:13658242-13658669	Cluster_419	N	12	0	24	29
chr1:13658855-13659675	Cluster_420	N	6	10	3	58
chr1:13671466-13671871	Cluster_421	N	22	0	1	2
chr1:13672728-13673158	Cluster_422	N	31	10	32	9
chr1:13681199-13682152	Cluster_423	N	66	7	75	25
chr1:13682166-13682593	Cluster_424	N	1	1	83	1
chr1:13690300-13690722	Cluster_425	N	25	1	3	19
chr1:13693343-13693790	Cluster_426	N	72	7	12	8
chr1:13694747-13695172	Cluster_427	N	25	7	2	0
chr1:13709934-13710339	Cluster_428	N	11	0	11	17
chr1:13718596-13719285	Cluster_429	N	26	1	10	27
chr1:13724367-13724789	Cluster_430	N	22	10	37	45
chr1:13727401-13727830	Cluster_431	N	12	1	17	22
chr1:13736003-13736431	Cluster_432	N	1	0	20	29
chr1:13743040-13743468	Cluster_433	N	10	0	20	31
chr1:13743672-13744102	Cluster_434	N	94	1	44	42
chr1:13745948-13746803	Cluster_435	N	30	0	50	31
chr1:13748540-13748967	Cluster_436	N	36	7	22	2
chr1:13750716-13751448	Cluster_437	N	77	6	76	46
chr1:13753587-13753991	Cluster_438	N	8	6	6	5
chr1:13757031-13757458	Cluster_439	N	10	0	15	4
chr1:13758192-13758801	Cluster_440	N	258	17	9	5
chr1:13759194-13759914	Cluster_441	N	72	5	10	0
chr1:13761183-13761608	Cluster_442	N	23	2	10	0
chr1:13765575-13766004	Cluster_443	N	19	1	15	11
chr1:13767375-13767803	Cluster_444	N	32	2	10	8
chr1:13770248-13770740	Cluster_445	N	22	1	26	35
chr1:13796793-13797794	Cluster_446	N	267	4	1	44
chr1:13798446-13798874	Cluster_447	N	43	0	0	0
chr1:13812901-13813330	Cluster_448	N	29	3	14	10
chr1:13814998-13815426	Cluster_449	N	3	0	30	2
chr1:13824260-13824687	Cluster_450	N	3	0	4	30
chr1:13825097-13825599	Cluster_451	N	49	5	2	4
chr1:13825951-13826377	Cluster_452	N	25	3	1	13
chr1:13828673-13829103	Cluster_453	N	6	2	22	4
chr1:13833458-13833876	Cluster_454	N	34	2	1	1
chr1:13837037-13838738	Cluster_455	N	244	38	110	133
chr1:13841174-13841646	Cluster_456	N	25	5	89	14
chr1:13841673-13842240	Cluster_457	N	125	9	15	12
chr1:13842889-13843306	Cluster_458	N	25	4	25	19
chr1:13845488-13845916	Cluster_459	N	24	0	81	23
chr1:13849821-13850521	Cluster_460	N	108	32	40	26
chr1:13853399-13854301	Cluster_461	N	98	5	15	7
chr1:13855565-13856090	Cluster_462	N	34	1	52	16
chr1:13867675-13868093	Cluster_463	N	10	1	57	23
chr1:13869687-13870115	Cluster_464	N	27	1	12	24
chr1:13873093-13873526	Cluster_465	N	328	60	297	198
chr1:13878647-13879111	Cluster_466	N	44	6	2	8
chr1:13882043-13882444	Cluster_467	N	13	0	11	8
chr1:13889603-13890030	Cluster_468	N	63	0	0	0
chr1:13891233-13891661	Cluster_469	N	11	3	44	6
chr1:13897800-13898495	Cluster_470	N	33	0	64	11
chr1:13898571-13898991	Cluster_471	N	35	2	24	5
chr1:13899869-13900297	Cluster_472	N	18	0	4	5
chr1:13955989-13956418	Cluster_473	N	20	4	2	3
chr1:13956910-13957332	Cluster_474	N	51	10	26	26
chr1:13974165-13974580	Cluster_475	N	1	19	3	7
chr1:13996833-13997320	Cluster_476	N	72	0	3064	16
