"","miRNA","three_UTR","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","gene_name"
"132","Cluster_1343","3prime_UTR::chr1:4612488-4613488(-)",162,-23,"2 22","637 659",21,"76.19%","80.95%","NV2t000484001.1"
"133","Cluster_1343","3prime_UTR::chr1:6344744-6345464(+)",154,-20.04,"2 22","607 632",23,"73.91%","73.91%","NV2t000678001.1"
"134","Cluster_1343","3prime_UTR::chr1:6344744-6345464(+)",154,-20.04,"2 22","607 632",23,"73.91%","73.91%","NV2t000678002.1"
"137","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943001.1"
"138","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943002.1"
"139","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943003.1"
"140","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943006.1"
"141","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943005.1"
"142","Cluster_1343","3prime_UTR::chr1:8897515-8898515(+)",164,-20.5,"2 17","510 532",15,"86.67%","86.67%","NV2t000943004.1"
"173","Cluster_1343","3prime_UTR::chr2:15085239-15086239(-)",151,-22.12,"2 14","687 708",12,"91.67%","91.67%","NV2t012348003.1"
"174","Cluster_1343","3prime_UTR::chr2:15085239-15086239(-)",151,-22.12,"2 14","687 708",12,"91.67%","91.67%","NV2t012348002.1"
"175","Cluster_1343","3prime_UTR::chr2:15085239-15086239(-)",151,-22.12,"2 14","687 708",12,"91.67%","91.67%","NV2t012348001.1"
"182","Cluster_1343","3prime_UTR::chr2:16758715-16759267(+)",167,-21.5,"2 16","1 15",14,"92.86%","92.86%","NV2t012557001.1"
"183","Cluster_1343","3prime_UTR::chr2:5165643-5166643(-)",165,-20.91,"2 19","214 237",18,"83.33%","83.33%","NV2t011214001.1"
"184","Cluster_1343","3prime_UTR::chr2:5166352-5166643(-)",165,-20.91,"2 19","214 237",18,"83.33%","83.33%","NV2t011215001.1"
"185","Cluster_1343","3prime_UTR::chr3:14043588-14044588(-)",166,-22.01,"2 21","739 760",19,"78.95%","84.21%","NV2t014623001.1"
"186","Cluster_1343","3prime_UTR::chr3:14043694-14044588(-)",166,-22.01,"2 21","739 760",19,"78.95%","84.21%","NV2t014623002.1"
"187","Cluster_1343","3prime_UTR::chr3:2377578-2378578(-)",165,-20.91,"2 19","869 892",18,"83.33%","83.33%","NV2t013315001.1"
"188","Cluster_1343","3prime_UTR::chr3:9285440-9286278(+)",165,-20.95,"2 19","354 377",18,"83.33%","83.33%","NV2t014108001.1"
"189","Cluster_1343","3prime_UTR::chr3:9285440-9286278(+)",165,-20.95,"2 19","354 377",18,"83.33%","83.33%","NV2t014108003.1"
"190","Cluster_1343","3prime_UTR::chr3:9285440-9286278(+)",165,-20.95,"2 19","354 377",18,"83.33%","83.33%","NV2t014108002.1"
"191","Cluster_1343","3prime_UTR::chr3:9285440-9286278(+)",165,-20.95,"2 19","354 377",18,"83.33%","83.33%","NV2t014108004.1"
"204","Cluster_1343","3prime_UTR::chr4:13242455-13243455(-)",160,-20.24,"2 17","718 740",15,"80.00%","86.67%","NV2t016723001.1"
"205","Cluster_1343","3prime_UTR::chr4:5019103-5020066(+)",160,-22.87,"2 22","198 217",20,"80.00%","80.00%","NV2t015787001.1"
"206","Cluster_1343","3prime_UTR::chr5:14603105-14604105(+)",157,-23.23,"2 22","936 956",20,"70.00%","85.00%","NV2t019036001.1"
"207","Cluster_1343","3prime_UTR::chr5:2823620-2824123(+)",160,-21.13,"2 22","461 486",23,"65.22%","78.26%","NV2t017646001.1"
"208","Cluster_1343","3prime_UTR::chr6:11203626-11204626(-)",160,-20.95,"2 22","427 450",21,"71.43%","76.19%","NV2t020497001.1"
"209","Cluster_1343","3prime_UTR::chr6:24835-25835(-)",146,-20.1,"2 22","166 196",28,"64.29%","67.86%","NV2t019302001.1"
"210","Cluster_1343","3prime_UTR::chr6:24866-25835(-)",146,-20.1,"2 22","166 196",28,"64.29%","67.86%","NV2t019302002.1"
"211","Cluster_1343","3prime_UTR::chr6:25638-25835(-)",146,-20.1,"2 22","166 196",28,"64.29%","67.86%","NV2t019302003.1"
"212","Cluster_1343","3prime_UTR::chr6:4487414-4487586(+)",159,-20.21,"2 22","121 145",22,"72.73%","77.27%","NV2t019747001.1"
"213","Cluster_1343","3prime_UTR::chr6:4487414-4487586(+)",159,-20.21,"2 22","121 145",22,"72.73%","77.27%","NV2t019748001.1"
"216","Cluster_1343","3prime_UTR::chr6:6570389-6571210(-)",165,-22.31,"2 22","442 464",20,"70.00%","80.00%","NV2t019962001.1"
"217","Cluster_1343","3prime_UTR::chr6:7590745-7591745(-)",153,-20.83,"2 22","874 894",20,"70.00%","80.00%","NV2t020075001.1"
"218","Cluster_1343","3prime_UTR::chr7:10249676-10250676(-)",174,-23.07,"2 19","461 483",17,"82.35%","94.12%","NV2t022123001.1"
"219","Cluster_1343","3prime_UTR::chr7:8970067-8971067(-)",158,-20.75,"2 22","176 196",20,"75.00%","75.00%","NV2t021959001.1"
"220","Cluster_1343","3prime_UTR::chr8:12163593-12164593(+)",161,-20.82,"2 22","916 938",20,"65.00%","80.00%","NV2t023905001.1"
"221","Cluster_1343","3prime_UTR::chr8:12163593-12164593(+)",161,-20.82,"2 22","916 938",20,"65.00%","80.00%","NV2t023905002.1"
"224","Cluster_1343","3prime_UTR::chr8:3929607-3930607(-)",164,-21.55,"2 21","188 210",19,"68.42%","84.21%","NV2t023103001.1"
"225","Cluster_1343","3prime_UTR::chr8:3929612-3930607(-)",164,-21.55,"2 21","188 210",19,"68.42%","84.21%","NV2t023103002.1"
"226","Cluster_1343","3prime_UTR::chr8:3929616-3930607(-)",164,-21.55,"2 21","188 210",19,"68.42%","84.21%","NV2t023103005.1"
"227","Cluster_1343","3prime_UTR::chr8:3929616-3930607(-)",164,-21.55,"2 21","188 210",19,"68.42%","84.21%","NV2t023103004.1"
"228","Cluster_1343","3prime_UTR::chr8:3929616-3930607(-)",164,-21.55,"2 21","188 210",19,"68.42%","84.21%","NV2t023103003.1"
"235","Cluster_1343","3prime_UTR::chr8:4138458-4139458(+)",160,-24.44,"2 21","228 250",19,"68.42%","78.95%","NV2t023120001.1"
"236","Cluster_1343","3prime_UTR::chr8:5716723-5717723(+)",162,-21.12,"2 22","123 145",21,"76.19%","80.95%","NV2t023258001.1"
"237","Cluster_1343","3prime_UTR::chr9:10433836-10434836(-)",155,-21.11,"2 22","814 841",25,"68.00%","72.00%","NV2t025299001.1"
"238","Cluster_1343","3prime_UTR::chr9:13473551-13474551(-)",165,-21.14,"2 22","976 998",20,"70.00%","80.00%","NV2t025599001.1"
"239","Cluster_1343","3prime_UTR::chr9:13847938-13848938(+)",156,-22.52,"2 21","142 163",20,"75.00%","80.00%","NV2t025631001.1"
"240","Cluster_1343","3prime_UTR::chr9:1398410-1399410(+)",163,-20.11,"2 22","107 132",23,"69.57%","82.61%","NV2t024446001.1"
"241","Cluster_1343","3prime_UTR::chr9:1532402-1533402(-)",163,-20.11,"2 22","107 132",23,"69.57%","82.61%","NV2t024456001.1"
"242","Cluster_1343","3prime_UTR::chr9:4368359-4369359(-)",169,-21.26,"2 18","463 485",16,"81.25%","93.75%","NV2t024696001.1"
"243","Cluster_1343","3prime_UTR::chr9:7692624-7693624(+)",157,-23.21,"2 20","477 501",20,"75.00%","80.00%","NV2t025042001.1"
"244","Cluster_1343","3prime_UTR::chr9:7692624-7693624(+)",157,-23.21,"2 20","884 908",20,"75.00%","80.00%","NV2t025042001.1"
"245","Cluster_1376","3prime_UTR::chr10:7596621-7597581(-)",160,-21.06,"2 18","890 909",17,"76.47%","88.24%","NV2t003175002.1"
"246","Cluster_1376","3prime_UTR::chr10:7596621-7597581(-)",160,-21.06,"2 18","890 909",17,"76.47%","88.24%","NV2t003175001.1"
"249","Cluster_1376","3prime_UTR::chr10:8959537-8960537(+)",156,-21.48,"2 18","121 140",17,"70.59%","88.24%","NV2t003310001.1"
"250","Cluster_1376","3prime_UTR::chr13:10974103-10975103(+)",149,-23.91,"2 18","138 154",16,"81.25%","81.25%","NV2t007981001.1"
"251","Cluster_1376","3prime_UTR::chr13:10974103-10975103(+)",149,-23.91,"2 18","138 154",16,"81.25%","81.25%","NV2t007981002.1"
"254","Cluster_1376","3prime_UTR::chr13:1110109-1111109(+)",149,-21.23,"2 17","173 189",15,"80.00%","80.00%","NV2t006919001.1"
"255","Cluster_1376","3prime_UTR::chr13:1110109-1111109(+)",149,-21.23,"2 17","173 189",15,"80.00%","80.00%","NV2t006919002.1"
"258","Cluster_1376","3prime_UTR::chr13:11952612-11953612(+)",155,-23.73,"2 18","976 996",18,"77.78%","83.33%","NV2t008083001.1"
"259","Cluster_1376","3prime_UTR::chr13:3226950-3227950(+)",152,-23.19,"2 18","705 724",17,"70.59%","82.35%","NV2t007155001.1"
"260","Cluster_1376","3prime_UTR::chr14:6148850-6149850(-)",149,-20.49,"2 16","655 672",14,"78.57%","85.71%","NV2t008795001.1"
"261","Cluster_1376","3prime_UTR::chr15:11803428-11804428(+)",159,-20.39,"2 18","811 828",16,"75.00%","93.75%","NV2t010608001.1"
"262","Cluster_1376","3prime_UTR::chr1:13536971-13537971(+)",157,-20.48,"2 18","377 395",16,"68.75%","87.50%","NV2t001492001.1"
"263","Cluster_1376","3prime_UTR::chr1:13536971-13537971(+)",157,-20.48,"2 18","377 395",16,"68.75%","87.50%","NV2t001492002.1"
"266","Cluster_1376","3prime_UTR::chr1:5153833-5154833(+)",155,-23.1,"2 12","95 113",10,"100.00%","100.00%","NV2t000547001.1"
"267","Cluster_1376","3prime_UTR::chr1:5153833-5154833(+)",155,-23.1,"2 12","95 113",10,"100.00%","100.00%","NV2t000547002.1"
"268","Cluster_1376","3prime_UTR::chr1:5153833-5154833(+)",155,-23.1,"2 12","95 113",10,"100.00%","100.00%","NV2t000547003.1"
"269","Cluster_1376","3prime_UTR::chr1:5153833-5154833(+)",155,-23.1,"2 12","95 113",10,"100.00%","100.00%","NV2t000547004.1"
"282","Cluster_1376","3prime_UTR::chr1:6663765-6664765(-)",146,-21.73,"2 16","309 329",16,"68.75%","81.25%","NV2t000711001.1"
"283","Cluster_1376","3prime_UTR::chr1:6681241-6682241(-)",146,-21.73,"2 16","309 329",16,"68.75%","81.25%","NV2t000714001.1"
"284","Cluster_1376","3prime_UTR::chr1:7586194-7587194(+)",144,-20.29,"2 15","471 488",13,"76.92%","84.62%","NV2t000813001.1"
"285","Cluster_1376","3prime_UTR::chr2:2554125-2555125(+)",151,-23.34,"2 12","305 323",10,"90.00%","100.00%","NV2t010891001.1"
"286","Cluster_1376","3prime_UTR::chr2:6210654-6211654(+)",161,-23.27,"2 18","728 746",16,"75.00%","87.50%","NV2t011334002.1"
"287","Cluster_1376","3prime_UTR::chr2:6210654-6211654(+)",161,-23.27,"2 18","728 746",16,"75.00%","87.50%","NV2t011334001.1"
"288","Cluster_1376","3prime_UTR::chr2:6210654-6211654(+)",161,-23.27,"2 18","728 746",16,"75.00%","87.50%","NV2t011334003.1"
"289","Cluster_1376","3prime_UTR::chr2:6210654-6211654(+)",161,-23.27,"2 18","728 746",16,"75.00%","87.50%","NV2t011334004.1"
"302","Cluster_1376","3prime_UTR::chr3:6268784-6269784(+)",155,-20.59,"2 18","512 534",20,"75.00%","80.00%","NV2t013765001.1"
"303","Cluster_1376","3prime_UTR::chr3:7069720-7070418(-)",146,-20.31,"2 16","466 487",17,"70.59%","76.47%","NV2t013866001.1"
"304","Cluster_1376","3prime_UTR::chr4:1031911-1032911(+)",154,-20.33,"2 15","362 380",13,"76.92%","92.31%","NV2t015410001.1"
"305","Cluster_1376","3prime_UTR::chr4:10336297-10337297(-)",163,-24.07,"2 16","942 960",14,"85.71%","92.86%","NV2t016354001.1"
"306","Cluster_1376","3prime_UTR::chr4:18172340-18172815(+)",141,-20.08,"2 18","111 129",16,"62.50%","68.75%","NV2t017313001.1"
"307","Cluster_1376","3prime_UTR::chr6:10399207-10400207(+)",144,-20.29,"2 15","751 768",13,"76.92%","84.62%","NV2t020392001.1"
"308","Cluster_1376","3prime_UTR::chr6:4894454-4895207(-)",146,-21.73,"2 16","300 320",16,"68.75%","81.25%","NV2t019796001.1"
"309","Cluster_1376","3prime_UTR::chr6:4894454-4895207(-)",146,-21.73,"2 16","300 320",16,"68.75%","81.25%","NV2t019796002.1"
"312","Cluster_1376","3prime_UTR::chr6:8089520-8090389(+)",156,-20.44,"2 18","617 637",18,"72.22%","83.33%","NV2t020125002.1"
"313","Cluster_1376","3prime_UTR::chr6:8089520-8090389(+)",156,-20.44,"2 18","617 637",18,"72.22%","83.33%","NV2t020125003.1"
"316","Cluster_1376","3prime_UTR::chr6:830377-831347(-)",161,-23.06,"2 18","545 563",16,"75.00%","87.50%","NV2t019373001.1"
"317","Cluster_1376","3prime_UTR::chr7:9345737-9346641(+)",152,-21.02,"2 18","17 36",17,"76.47%","76.47%","NV2t022008001.1"
"318","Cluster_1376","3prime_UTR::chr7:9345737-9346641(+)",152,-21.02,"2 18","17 36",17,"76.47%","76.47%","NV2t022008002.1"
"321","Cluster_1376","3prime_UTR::chr9:12448378-12449378(-)",173,-20.86,"2 18","343 361",16,"87.50%","93.75%","NV2t025476001.1"
"322","Cluster_1376","3prime_UTR::chr9:12458974-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478002.1"
"323","Cluster_1376","3prime_UTR::chr9:12458974-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478001.1"
"324","Cluster_1376","3prime_UTR::chr9:12458974-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478003.1"
"331","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478010.1"
"332","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478004.1"
"333","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478008.1"
"334","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478011.1"
"335","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478006.1"
"336","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478009.1"
"337","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478007.1"
"338","Cluster_1376","3prime_UTR::chr9:12458975-12459974(-)",173,-20.86,"2 18","351 369",16,"87.50%","93.75%","NV2t025478005.1"
"395","Cluster_1376","3prime_UTR::chr9:12968266-12969266(+)",152,-20.9,"2 18","653 673",18,"72.22%","77.78%","NV2t025537001.1"
"396","Cluster_1430","3prime_UTR::chr10:14592162-14593078(+)",155,-23.18,"2 18","655 679",19,"78.95%","78.95%","NV2t003928001.1"
"397","Cluster_1430","3prime_UTR::chr10:14592162-14593078(+)",155,-23.18,"2 18","655 679",19,"78.95%","78.95%","NV2t003928002.1"
"400","Cluster_1430","3prime_UTR::chr10:2934208-2935208(-)",152,-23.28,"2 21","428 448",20,"70.00%","80.00%","NV2t002639001.1"
"401","Cluster_1430","3prime_UTR::chr10:3315958-3316924(-)",143,-25.05,"2 17","327 351",18,"66.67%","72.22%","NV2t002674001.1"
"402","Cluster_1430","3prime_UTR::chr10:3875416-3876416(-)",153,-22.89,"2 20","806 829",20,"75.00%","75.00%","NV2t002744001.1"
"403","Cluster_1430","3prime_UTR::chr10:7425352-7425875(+)",147,-20.64,"2 16","368 389",14,"71.43%","78.57%","NV2t003150001.1"
"404","Cluster_1430","3prime_UTR::chr11:12012143-12013143(-)",146,-27.54,"2 20","669 696",24,"62.50%","66.67%","NV2t005202001.1"
"405","Cluster_1430","3prime_UTR::chr11:13624732-13625732(-)",140,-20.26,"2 9","307 328",7,"100.00%","100.00%","NV2t005354001.1"
"406","Cluster_1430","3prime_UTR::chr11:13624732-13625732(-)",140,-20.26,"2 9","336 357",7,"100.00%","100.00%","NV2t005354001.1"
"407","Cluster_1430","3prime_UTR::chr11:13624732-13625732(-)",140,-20.26,"2 9","455 476",7,"100.00%","100.00%","NV2t005354001.1"
"408","Cluster_1430","3prime_UTR::chr11:13624732-13625732(-)",140,-20.48,"2 9","248 269",7,"100.00%","100.00%","NV2t005354001.1"
"409","Cluster_1430","3prime_UTR::chr12:12298374-12299315(+)",159,-22.17,"2 21","355 378",21,"66.67%","80.95%","NV2t006643001.1"
"410","Cluster_1430","3prime_UTR::chr12:12298374-12299315(+)",159,-22.17,"2 21","355 378",21,"66.67%","80.95%","NV2t006643002.1"
"413","Cluster_1430","3prime_UTR::chr12:4258569-4259096(+)",152,-23.15,"2 15","151 171",13,"84.62%","92.31%","NV2t005869001.1"
"414","Cluster_1430","3prime_UTR::chr12:4258569-4259096(+)",152,-23.15,"2 15","151 171",13,"84.62%","92.31%","NV2t005869002.1"
"417","Cluster_1430","3prime_UTR::chr12:6395406-6396406(+)",141,-20.34,"2 12","798 818",10,"90.00%","90.00%","NV2t006050001.1"
"418","Cluster_1430","3prime_UTR::chr12:972312-973312(-)",153,-21.73,"2 21","978 999",20,"75.00%","75.00%","NV2t005565001.1"
"419","Cluster_1430","3prime_UTR::chr13:10157412-10158412(+)",150,-23.59,"2 21","430 455",23,"65.22%","73.91%","NV2t007889001.1"
"420","Cluster_1430","3prime_UTR::chr13:10157412-10158412(+)",152,-21.08,"2 21","919 940",19,"63.16%","73.68%","NV2t007889001.1"
"421","Cluster_1430","3prime_UTR::chr13:8845585-8846585(+)",148,-20.65,"2 17","937 958",15,"73.33%","73.33%","NV2t007752001.1"
"422","Cluster_1430","3prime_UTR::chr13:8845585-8846585(+)",150,-23.56,"2 19","811 832",17,"64.71%","76.47%","NV2t007752001.1"
"423","Cluster_1430","3prime_UTR::chr13:8845585-8846585(+)",151,-25.98,"2 21","747 769",20,"65.00%","75.00%","NV2t007752001.1"
"424","Cluster_1430","3prime_UTR::chr13:8845585-8846585(+)",151,-25.98,"2 21","873 895",20,"65.00%","75.00%","NV2t007752001.1"
"425","Cluster_1430","3prime_UTR::chr13:9988964-9989964(+)",152,-22.37,"2 21","703 725",22,"72.73%","72.73%","NV2t007856001.1"
"426","Cluster_1430","3prime_UTR::chr13:9988964-9989964(+)",152,-22.37,"2 21","703 725",22,"72.73%","72.73%","NV2t007856002.1"
"429","Cluster_1430","3prime_UTR::chr14:10635598-10636147(+)",148,-23.94,"2 21","175 196",19,"63.16%","68.42%","NV2t009228001.1"
