gene_name	GeneOntologyIDs
Ahyacinthus00054	GO:0005783;GO:0005886;GO:0016020;GO:0140326;GO:0016887;GO:0005524;GO:0000166;GO:0005215;GO:0045332
Ahyacinthus00055	GO:0032021;GO:0034244
Ahyacinthus00056	GO:0005829;GO:0016491
Ahyacinthus00057	GO:0005829;GO:0016491
Ahyacinthus00058	GO:0016491
Ahyacinthus00059	GO:0090443;GO:0019901;GO:0043406;GO:1903358
Ahyacinthus00060	GO:0005634;GO:0070761;GO:0000463;GO:0048254;GO:0000492
Ahyacinthus00061	GO:0005886;GO:0016020;GO:0004930;GO:0004888;GO:0007166;GO:0007186
Ahyacinthus00062	GO:0005576;GO:0005515;GO:0004867
Ahyacinthus00063	GO:0005634;GO:0036409;GO:0000785;GO:0003682;GO:0004402;GO:0010485;GO:0003712;GO:0010484;GO:0016573;GO:0006357;GO:0006355
Ahyacinthus00064	GO:0005634;GO:0036409;GO:0000785;GO:0003682;GO:0004402;GO:0008270;GO:0003712;GO:0010485;GO:0010484;GO:0016573;GO:0006357;GO:0006355
Ahyacinthus00065	GO:0031011;GO:0002020
Ahyacinthus00066	GO:0005886;GO:0016020;GO:0008509;GO:0022857;GO:0005452;GO:0015701;GO:0050801;GO:0055085;GO:0006820
Ahyacinthus00067	GO:0017119;GO:0006891
Ahyacinthus00068	GO:0005741;GO:0005778;GO:0005515;GO:0043653;GO:0000266;GO:0016559;GO:0000422
Ahyacinthus00069	
Ahyacinthus00070	
Ahyacinthus00071	
Ahyacinthus00072	GO:0005524;GO:0003777;GO:0008017;GO:0007018
Ahyacinthus00073	GO:0022857;GO:0055085
Ahyacinthus00074	GO:0031012;GO:0008237;GO:0004222;GO:0006508;GO:0030198
Ahyacinthus00075	GO:0005634;GO:0030686;GO:0034511;GO:0005525;GO:0003924;GO:0000479;GO:0042254;GO:0000462
Ahyacinthus00076	GO:0005736;GO:0005665;GO:0005666;GO:0001056;GO:0003899;GO:0001054;GO:0001055;GO:0006351
Ahyacinthus00077	GO:0005886;GO:0030054;GO:0005515;GO:0035332
Ahyacinthus00078	GO:0008484
Ahyacinthus00079	GO:0030992;GO:0005929;GO:0005515;GO:0060271
Ahyacinthus00080	
Ahyacinthus00081	GO:0005739;GO:0005524;GO:0046872;GO:0004485
Ahyacinthus00082	GO:0005634;GO:0010494;GO:0005844;GO:0045182;GO:0003676;GO:0003730;GO:0003723;GO:0003729;GO:0043488;GO:0045727;GO:0051028;GO:0048513;GO:0006417
Ahyacinthus00083	
Ahyacinthus00084	
Ahyacinthus00085	GO:0016020;GO:0008083
Ahyacinthus00086	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00087	
Ahyacinthus00088	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00089	GO:0043130
Ahyacinthus00090	
Ahyacinthus00091	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00092	
Ahyacinthus00093	
Ahyacinthus00094	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00095	
Ahyacinthus00096	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00097	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00098	GO:0005737;GO:0008408;GO:0008296;GO:0003676;GO:0006308
Ahyacinthus00099	
Ahyacinthus00100	
Ahyacinthus00101	
Ahyacinthus00102	
Ahyacinthus00103	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00104	
Ahyacinthus00105	GO:0004842
Ahyacinthus00106	GO:0005886;GO:0007156
Ahyacinthus00107	
Ahyacinthus00108	GO:0043235;GO:0005886;GO:0005524;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00109	GO:0004672;GO:0006468
Ahyacinthus00110	GO:0005886;GO:0007156
Ahyacinthus00111	
Ahyacinthus00112	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00113	GO:0043025;GO:0030424;GO:0005886;GO:0008046;GO:0007156;GO:0050808
Ahyacinthus00114	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00115	
Ahyacinthus00116	
Ahyacinthus00117	
Ahyacinthus00118	GO:0043235;GO:0005886;GO:0005524;GO:0005515;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00119	GO:0043235;GO:0005886;GO:0005524;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00120	GO:0005524;GO:0004672;GO:0006468
Ahyacinthus00121	
Ahyacinthus00122	GO:0005515
Ahyacinthus00123	
Ahyacinthus00124	
Ahyacinthus00125	GO:0043235;GO:0005886;GO:0005524;GO:0005515;GO:0004714;GO:0004672;GO:0006468;GO:0007169;GO:0007275;GO:0033674
Ahyacinthus00126	
Ahyacinthus00127	
Ahyacinthus00128	GO:0044666;GO:0031490;GO:0005515;GO:0000978;GO:0010468
Ahyacinthus00129	
Ahyacinthus00130	
Ahyacinthus00131	GO:0005739;GO:0005840;GO:0003735;GO:0006412
Ahyacinthus00132	
Ahyacinthus00133	
Ahyacinthus00134	GO:0005515
Ahyacinthus00135	GO:0016020;GO:0007275
Ahyacinthus00136	GO:0005515
Ahyacinthus00137	
Ahyacinthus00138	GO:0045202;GO:0005515;GO:0007416;GO:0007156
Ahyacinthus00139	GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00140	GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00141	
Ahyacinthus00142	GO:0005515
Ahyacinthus00143	GO:0005515
Ahyacinthus00144	GO:0005789;GO:0030246
Ahyacinthus00145	GO:0003824
Ahyacinthus00146	GO:0000981;GO:0000978;GO:0048856;GO:0006357
Ahyacinthus00147	GO:0005911;GO:0005886;GO:0050839;GO:0098609
Ahyacinthus00148	
Ahyacinthus00149	GO:0005634;GO:0009982;GO:0003723;GO:0009451;GO:0001522
Ahyacinthus00150	
Ahyacinthus00151	
Ahyacinthus00152	
Ahyacinthus00153	GO:0016020;GO:0016787;GO:0045134;GO:0017111;GO:0017110;GO:0004382;GO:0009134
Ahyacinthus00154	GO:0016020;GO:0016787;GO:0045134;GO:0017111;GO:0017110;GO:0004382;GO:0009134
Ahyacinthus00155	GO:0005634;GO:0031965;GO:0070628;GO:0031144;GO:0071630
Ahyacinthus00156	
Ahyacinthus00157	
Ahyacinthus00158	GO:0030286;GO:0045505;GO:0008569;GO:0051959;GO:0007018
Ahyacinthus00159	GO:0005858;GO:0030286;GO:0005524;GO:0045505;GO:0051959;GO:0007018
Ahyacinthus00160	GO:0005858;GO:0030286;GO:0045505;GO:0051959;GO:0007018
Ahyacinthus00161	GO:0016020;GO:0003975;GO:0016780;GO:0006488
Ahyacinthus00162	GO:0005737;GO:0005524;GO:0004672;GO:0004674;GO:0006468;GO:0035556
Ahyacinthus00163	
Ahyacinthus00164	GO:0005739;GO:0050152;GO:0016811;GO:0006528;GO:0006541;GO:0006107
Ahyacinthus00165	
Ahyacinthus00166	GO:0008375;GO:0006487
Ahyacinthus00167	GO:0005634;GO:0000981;GO:0000978;GO:0006357;GO:0009913
Ahyacinthus00168	GO:0005886;GO:0016020;GO:0140410;GO:0005385;GO:0046873;GO:0055085;GO:0030001;GO:0071578;GO:0030003
Ahyacinthus00169	GO:0032580;GO:0008376
Ahyacinthus00170	GO:0005886;GO:0008237;GO:0005515;GO:0004222;GO:0006508;GO:0016485
Ahyacinthus00171	
Ahyacinthus00172	GO:0005829;GO:0019239;GO:0003876;GO:0032264;GO:0006188;GO:0009168;GO:0046033
Ahyacinthus00173	GO:0008270;GO:0003676
Ahyacinthus00174	
Ahyacinthus00175	
Ahyacinthus00176	
Ahyacinthus00177	GO:0005615;GO:0070492;GO:0016787
Ahyacinthus00178	
Ahyacinthus00179	
Ahyacinthus00180	
Ahyacinthus00181	GO:0005886;GO:0016020;GO:0005524;GO:0042626;GO:0016887;GO:0140359;GO:0055085
Ahyacinthus00182	
Ahyacinthus00183	
Ahyacinthus00184	
Ahyacinthus00185	
Ahyacinthus00186	
Ahyacinthus00187	
Ahyacinthus00188	GO:0004842;GO:0061630;GO:0006511;GO:0000209
Ahyacinthus00189	
Ahyacinthus00190	
Ahyacinthus00191	
Ahyacinthus00192	
Ahyacinthus00193	
Ahyacinthus00194	
Ahyacinthus00195	
Ahyacinthus00196	
Ahyacinthus00197	
Ahyacinthus00198	GO:0008270;GO:0004190;GO:0003676;GO:0006508
Ahyacinthus00199	
Ahyacinthus00200	GO:0005524;GO:0016887
Ahyacinthus00201	GO:0005524;GO:0016887
Ahyacinthus00202	GO:0016020;GO:0046920;GO:0008417;GO:0006486;GO:0036065
Ahyacinthus00203	
Ahyacinthus00204	
Ahyacinthus00205	GO:0005852;GO:0071541;GO:0005515;GO:0008233;GO:0003743;GO:0008237;GO:0031369;GO:0006413
Ahyacinthus00206	
Ahyacinthus00207	
Ahyacinthus00208	GO:0005737;GO:0016491
Ahyacinthus00209	
Ahyacinthus00210	GO:0016020;GO:0007154;GO:0098609
Ahyacinthus00211	
Ahyacinthus00212	
Ahyacinthus00213	
Ahyacinthus00214	GO:0005739;GO:0042709;GO:0003824;GO:0004775;GO:0006104;GO:0006099
Ahyacinthus00215	GO:0016592;GO:0003713;GO:0003712;GO:0008134;GO:0006357;GO:0045944
Ahyacinthus00216	GO:0016592;GO:0003713;GO:0008134;GO:0045944
Ahyacinthus00217	
Ahyacinthus00218	
Ahyacinthus00219	GO:0005615;GO:0005515;GO:0036122;GO:0030514;GO:0030154
Ahyacinthus00220	GO:0005509;GO:0005515
Ahyacinthus00221	GO:0034515;GO:0005634;GO:0008540;GO:0043161
Ahyacinthus00222	GO:0030424;GO:0034703;GO:0005261;GO:0055080
Ahyacinthus00223	GO:0034515;GO:0005634;GO:0008540;GO:0043161
Ahyacinthus00224	GO:0020037;GO:0004497;GO:0004508;GO:0005506;GO:0016705;GO:0047442;GO:0042446;GO:0042448
Ahyacinthus00225	GO:0030424;GO:0034703;GO:0005261;GO:0055080
Ahyacinthus00226	GO:0005515
Ahyacinthus00227	GO:0005509;GO:0005515
Ahyacinthus00228	GO:0005764;GO:0004560;GO:0006004;GO:0016139;GO:0005975
Ahyacinthus00229	GO:0005739;GO:0016874;GO:0004658
Ahyacinthus00230	GO:0072487;GO:0061630;GO:0016567
Ahyacinthus00231	GO:0005737;GO:0005868;GO:0045505;GO:0007018
Ahyacinthus00232	GO:0005886;GO:0017128;GO:0017121
Ahyacinthus00233	GO:0051260
Ahyacinthus00234	GO:0005789;GO:0016757;GO:0000026;GO:0000030;GO:0006487
Ahyacinthus00235	GO:0019148
Ahyacinthus00236	GO:0031213;GO:0042393;GO:0045892;GO:0006355
Ahyacinthus00237	GO:0031213;GO:0042393;GO:0045892;GO:0006355
Ahyacinthus00238	
Ahyacinthus00239	
Ahyacinthus00240	GO:0000159;GO:0005509;GO:0019888;GO:0006470
Ahyacinthus00241	
Ahyacinthus00242	
Ahyacinthus00243	
Ahyacinthus00244	
Ahyacinthus00245	
Ahyacinthus00246	
Ahyacinthus00247	GO:0005634;GO:0003677;GO:0008270;GO:0003707;GO:0003700;GO:0043565;GO:0006355
Ahyacinthus00248	GO:0005829;GO:0004806;GO:0016298;GO:0004771;GO:0016787;GO:0019433;GO:0008203;GO:0016042
Ahyacinthus00249	GO:0005747;GO:0051287;GO:0048038;GO:0016651;GO:0006120
Ahyacinthus00250	GO:0005794
Ahyacinthus00251	GO:0005739;GO:0016301;GO:0006071;GO:0006641;GO:0016310;GO:0005975;GO:0046167
Ahyacinthus00252	
Ahyacinthus00253	GO:0005634;GO:0003682;GO:0010468
Ahyacinthus00254	GO:0005515
Ahyacinthus00255	
Ahyacinthus00256	GO:0005769;GO:0072546;GO:0005886;GO:0005794;GO:0022890
Ahyacinthus00257	GO:0055037;GO:0005886;GO:0016020;GO:0015297;GO:0015386;GO:0015385;GO:0006885;GO:0071805;GO:1902600;GO:0055085;GO:0051453;GO:0098719;GO:0006814;GO:0006812
Ahyacinthus00258	GO:0005829;GO:0003724
Ahyacinthus00259	GO:0005524;GO:0003676
Ahyacinthus00260	GO:0030126;GO:0006888;GO:0051645;GO:0006890
Ahyacinthus00261	GO:0005886;GO:0007156
Ahyacinthus00262	
Ahyacinthus00263	GO:0005515
Ahyacinthus00264	
Ahyacinthus00265	
Ahyacinthus00266	
Ahyacinthus00267	GO:0005515;GO:0098609
Ahyacinthus00268	GO:0005515
Ahyacinthus00269	
Ahyacinthus00270	
Ahyacinthus00271	
Ahyacinthus00272	
Ahyacinthus00273	GO:0043005;GO:0005515
Ahyacinthus00274	
Ahyacinthus00275	GO:0003677;GO:0000981;GO:0006355
Ahyacinthus00276	GO:0030424;GO:0005886;GO:0098632;GO:0007411;GO:0007156;GO:0070593
Ahyacinthus00277	GO:0005634;GO:0004861;GO:0051726
Ahyacinthus00278	
Ahyacinthus00279	
Ahyacinthus00280	GO:0016272;GO:0051082;GO:0006457
Ahyacinthus00281	GO:0030688;GO:0005634;GO:0006364
Ahyacinthus00282	
Ahyacinthus00283	GO:0016020;GO:0005785;GO:0005789;GO:0005515;GO:0005096;GO:0016887;GO:0005047;GO:0005525;GO:0003924;GO:0051056;GO:0006614;GO:0006605;GO:0045047;GO:0006886
Ahyacinthus00284	
Ahyacinthus00285	GO:0046983;GO:0000981;GO:0000978;GO:0006357
Ahyacinthus00286	GO:0046983;GO:0000981;GO:0000978;GO:0006357
Ahyacinthus00287	GO:0009374
Ahyacinthus00288	GO:0034663;GO:0005524;GO:0140662;GO:0030968
Ahyacinthus00289	GO:0005634;GO:0043186;GO:0043565;GO:0060964;GO:0007140;GO:0007283;GO:0034587;GO:0045892
Ahyacinthus00290	GO:0000139;GO:0016020;GO:0016757;GO:0016758;GO:0047220;GO:0006486;GO:0006024;GO:0006493
Ahyacinthus00291	GO:0005634;GO:0003723;GO:0000492
Ahyacinthus00292	GO:0005846;GO:0000339;GO:0003723;GO:0003676;GO:0045292;GO:0000398
Ahyacinthus00293	GO:0016020;GO:0006811
Ahyacinthus00294	GO:0070822;GO:0000122;GO:0006355
Ahyacinthus00295	GO:0016020;GO:0005515;GO:0016887;GO:0005524;GO:0140359;GO:0042626;GO:0055085
Ahyacinthus00296	GO:0005886;GO:0016020;GO:0008556;GO:0016887;GO:0005524;GO:0000166;GO:0005391;GO:0005215;GO:0019829;GO:1990573;GO:0036376;GO:1902600;GO:0006813;GO:0030007;GO:0006883
Ahyacinthus00297	
Ahyacinthus00298	GO:0005886;GO:0016020;GO:0016887;GO:0005524;GO:0000166;GO:0005391;GO:0005215;GO:0019829;GO:1990573;GO:0036376;GO:1902600;GO:0030007;GO:0006883
Ahyacinthus00299	GO:0005634;GO:0015630;GO:0060271;GO:0060294
Ahyacinthus00300	GO:0016020;GO:0005524;GO:0005515;GO:0042626;GO:0140359;GO:0055085
Ahyacinthus00301	GO:0016020;GO:0005524;GO:0042626;GO:0016887;GO:0140359;GO:0055085
Ahyacinthus00302	
Ahyacinthus00303	GO:0016020;GO:0005524;GO:0042626;GO:0016887;GO:0140359;GO:0055085
Ahyacinthus00304	GO:0016020;GO:0005524;GO:0042626;GO:0016887;GO:0140359;GO:0055085
Ahyacinthus00305	GO:0016020;GO:0005524;GO:0042626;GO:0016887;GO:0055085
Ahyacinthus00306	GO:0005634;GO:0003700;GO:0000981;GO:0043565;GO:0006357;GO:0030154;GO:0006355
Ahyacinthus00307	GO:0005634;GO:0003700;GO:0000981;GO:0043565;GO:0006357;GO:0030154;GO:0006355
Ahyacinthus00308	
Ahyacinthus00309	
Ahyacinthus00310	
Ahyacinthus00311	
Ahyacinthus00312	
Ahyacinthus00313	GO:0005615;GO:0070492
Ahyacinthus00314	
Ahyacinthus00315	GO:0005615;GO:0005201;GO:0070492
Ahyacinthus00316	
Ahyacinthus00317	
Ahyacinthus00318	
Ahyacinthus00319	
Ahyacinthus00320	GO:0005615;GO:0070492
Ahyacinthus00321	GO:0005615;GO:0070492
Ahyacinthus00322	
Ahyacinthus00323	GO:0005615;GO:0005201;GO:0070492
Ahyacinthus00324	
Ahyacinthus00325	GO:0005615;GO:0070492
Ahyacinthus00326	
Ahyacinthus00327	GO:0005615;GO:0005201;GO:0070492
Ahyacinthus00328	
Ahyacinthus00329	
Ahyacinthus00330	
Ahyacinthus00331	GO:0005615;GO:0070492
Ahyacinthus00332	
Ahyacinthus00333	GO:0005634;GO:0043625;GO:0003887;GO:0006297;GO:0006271;GO:1904161;GO:0006260
Ahyacinthus00334	GO:0016020
Ahyacinthus00335	GO:0005749;GO:0016020;GO:0009055;GO:0006099;GO:0006121
Ahyacinthus00336	GO:0005749;GO:0005740;GO:0016020;GO:0020037;GO:0048039;GO:0006099;GO:0006121
Ahyacinthus00337	
Ahyacinthus00338	
Ahyacinthus00339	
Ahyacinthus00340	
Ahyacinthus00341	
Ahyacinthus00342	
Ahyacinthus00343	
Ahyacinthus00344	
Ahyacinthus00345	
Ahyacinthus00346	
Ahyacinthus00347	
Ahyacinthus00348	
Ahyacinthus00349	GO:0005515
Ahyacinthus00350	
Ahyacinthus00351	GO:0022857;GO:0055085
Ahyacinthus00352	GO:0022857;GO:0055085
Ahyacinthus00353	GO:0022857;GO:0055085
Ahyacinthus00354	GO:0022857;GO:0055085
Ahyacinthus00355	GO:0004089;GO:0008270
Ahyacinthus00356	GO:1990879;GO:0010521;GO:0003697;GO:0042162;GO:0032211
Ahyacinthus00357	GO:0005783;GO:0000030;GO:0035269
Ahyacinthus00358	GO:0005789;GO:0000030;GO:0005515;GO:0035269
Ahyacinthus00359	GO:0016740
Ahyacinthus00360	GO:0016020;GO:0005216;GO:0004888;GO:0005230;GO:0034220;GO:0006811
Ahyacinthus00361	GO:0005615;GO:0070492
Ahyacinthus00362	
Ahyacinthus00363	
Ahyacinthus00364	GO:0016020;GO:0005216;GO:0004888;GO:0005230;GO:0034220;GO:0006811
Ahyacinthus00365	GO:0005783;GO:0051087;GO:0005515;GO:0051787;GO:0034975
Ahyacinthus00366	
Ahyacinthus00367	GO:0016020;GO:0072657
Ahyacinthus00368	GO:0016020;GO:0072657
Ahyacinthus00369	
Ahyacinthus00370	GO:0016020
Ahyacinthus00371	GO:0005576;GO:0030414
Ahyacinthus00372	GO:0005634;GO:0005829;GO:0005524;GO:0004594;GO:0015937
Ahyacinthus00373	GO:0005634;GO:0005829;GO:0005524;GO:0004594;GO:0015937
Ahyacinthus00374	GO:0005681;GO:0005886;GO:0034715;GO:0034709;GO:0005829;GO:0006821;GO:0000387;GO:0006884;GO:0045292
Ahyacinthus00375	
Ahyacinthus00376	GO:0005737;GO:0004089;GO:0008270
Ahyacinthus00377	GO:0005634;GO:0003723;GO:0003676
Ahyacinthus00378	GO:0005634;GO:0003723;GO:0006397
Ahyacinthus00379	GO:0005737;GO:0031514;GO:0005515;GO:0044782
Ahyacinthus00380	
Ahyacinthus00381	
Ahyacinthus00382	
Ahyacinthus00383	
Ahyacinthus00384	
Ahyacinthus00385	
Ahyacinthus00386	
Ahyacinthus00387	
Ahyacinthus00388	GO:0046872
Ahyacinthus00389	GO:0005739;GO:0016491
Ahyacinthus00390	
Ahyacinthus00391	GO:0005829;GO:0051059;GO:0005515;GO:0071356;GO:0007253
Ahyacinthus00392	GO:0036513;GO:0036502;GO:0005789;GO:0030970;GO:0030968;GO:0006886
Ahyacinthus00393	
Ahyacinthus00394	GO:0005829;GO:0051059;GO:0005515;GO:0071356;GO:0007253
Ahyacinthus00395	GO:0015934;GO:0005762;GO:0005840;GO:0003735;GO:0006412
Ahyacinthus00396	
Ahyacinthus00397	GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00398	GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00399	GO:0008080;GO:0016747
Ahyacinthus00400	GO:0008080;GO:0016747
Ahyacinthus00401	GO:0008080
Ahyacinthus00402	GO:0008080
Ahyacinthus00403	
Ahyacinthus00404	GO:0008080
Ahyacinthus00405	GO:0008080;GO:0016747
Ahyacinthus00406	GO:0005634;GO:0003677;GO:0000976;GO:0006355
Ahyacinthus00407	GO:0005634;GO:0003677;GO:0000981;GO:0000978;GO:0006357;GO:0030154;GO:0006355
Ahyacinthus00408	GO:0005634;GO:0003677;GO:0000981;GO:0000978;GO:0006357;GO:0030154;GO:0006355
Ahyacinthus00409	GO:0005634;GO:0003677;GO:0000981;GO:0000978;GO:0006357;GO:0030154;GO:0006355
Ahyacinthus00410	GO:0003677;GO:0000981;GO:0006355
Ahyacinthus00411	GO:0005737;GO:0005515;GO:0030971;GO:0035591;GO:0016477;GO:0048013;GO:0007167
Ahyacinthus00412	GO:0005515
Ahyacinthus00413	
Ahyacinthus00414	GO:0005739;GO:0005829;GO:0016491;GO:0004362;GO:0050660;GO:0006749;GO:0045454;GO:0034599
Ahyacinthus00415	
Ahyacinthus00416	GO:0005515
Ahyacinthus00417	
Ahyacinthus00418	
Ahyacinthus00419	
Ahyacinthus00420	
Ahyacinthus00421	
Ahyacinthus00422	GO:0036286;GO:0005886;GO:0070941;GO:0006897
Ahyacinthus00423	
Ahyacinthus00424	
Ahyacinthus00425	
Ahyacinthus00426	
Ahyacinthus00427	
Ahyacinthus00428	
Ahyacinthus00429	
Ahyacinthus00430	
Ahyacinthus00431	
Ahyacinthus00432	GO:0005886;GO:0016020;GO:0022841;GO:0015271;GO:0005267;GO:0071805;GO:0030322
Ahyacinthus00433	
Ahyacinthus00434	GO:0005634;GO:0003677;GO:0003697;GO:0003824;GO:0004520;GO:0016788;GO:0004518
Ahyacinthus00435	
Ahyacinthus00436	GO:0005509
Ahyacinthus00437	
Ahyacinthus00438	GO:0005874;GO:0005509;GO:0010975
Ahyacinthus00439	GO:0005813;GO:0008017;GO:0034453
Ahyacinthus00440	GO:0000124;GO:0046695;GO:0005669;GO:0003713;GO:0016251;GO:0046982;GO:0006367;GO:0051123
Ahyacinthus00441	
Ahyacinthus00442	GO:0008375;GO:0006487
Ahyacinthus00443	GO:0008375;GO:0006487
Ahyacinthus00444	
Ahyacinthus00445	GO:0005923;GO:0031410;GO:0005886;GO:0005515;GO:0030334;GO:0030036
Ahyacinthus00446	GO:0005886;GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00447	GO:0016020;GO:0004930;GO:0007186
Ahyacinthus00448	GO:0016020;GO:0004252;GO:0006465
Ahyacinthus00449	GO:0007165
Ahyacinthus00450	
Ahyacinthus00451	
Ahyacinthus00452	
Ahyacinthus00453	
Ahyacinthus00454	GO:0005515
Ahyacinthus00455	GO:0005515;GO:0007165
Ahyacinthus00456	
Ahyacinthus00457	GO:0007165
Ahyacinthus00458	
Ahyacinthus00459	
Ahyacinthus00460	GO:0009986;GO:0045202;GO:0062023;GO:0005886;GO:0005576;GO:0016477;GO:1905475;GO:0009966
Ahyacinthus00461	GO:0009986;GO:0045202;GO:0062023;GO:0005886;GO:0005576;GO:0016477;GO:1905475;GO:0009966
Ahyacinthus00462	GO:0062023;GO:0005886;GO:0009966
Ahyacinthus00463	GO:0009986;GO:0062023;GO:0005886;GO:0005576;GO:0016477;GO:1905475;GO:0090263;GO:0009966
Ahyacinthus00464	
Ahyacinthus00465	GO:0035861;GO:0005634;GO:0031491;GO:0046872;GO:0004842;GO:0006302
Ahyacinthus00466	
Ahyacinthus00467	
Ahyacinthus00468	
Ahyacinthus00469	
Ahyacinthus00470	
Ahyacinthus00471	
Ahyacinthus00472	GO:0008270;GO:0003676
Ahyacinthus00473	
Ahyacinthus00474	
Ahyacinthus00475	
Ahyacinthus00476	GO:0008270;GO:0003676
Ahyacinthus00477	
Ahyacinthus00478	
Ahyacinthus00479	
Ahyacinthus00480	GO:0003677;GO:0006310;GO:0015074
Ahyacinthus00481	GO:0008270;GO:0003676
Ahyacinthus00482	
Ahyacinthus00483	
Ahyacinthus00484	
Ahyacinthus00485	
Ahyacinthus00486	
Ahyacinthus00487	
Ahyacinthus00488	
Ahyacinthus00489	
Ahyacinthus00490	
Ahyacinthus00491	GO:0003676
Ahyacinthus00492	
Ahyacinthus00493	GO:0003676;GO:0015074
Ahyacinthus00494	
Ahyacinthus00495	
Ahyacinthus00496	GO:0003676;GO:0015074
Ahyacinthus00497	
Ahyacinthus00498	
Ahyacinthus00499	
Ahyacinthus00500	
Ahyacinthus00501	
Ahyacinthus00502	
Ahyacinthus00503	
Ahyacinthus00504	
Ahyacinthus00505	
Ahyacinthus00506	
Ahyacinthus00507	
Ahyacinthus00508	
Ahyacinthus00509	
Ahyacinthus00510	
Ahyacinthus00511	
Ahyacinthus00512	
Ahyacinthus00513	
Ahyacinthus00514	
Ahyacinthus00515	
Ahyacinthus00516	
Ahyacinthus00517	
Ahyacinthus00518	
Ahyacinthus00519	
Ahyacinthus00520	
Ahyacinthus00521	
Ahyacinthus00522	
Ahyacinthus00523	GO:0004190;GO:0006508
Ahyacinthus00524	
Ahyacinthus00525	GO:0003676;GO:0015074
Ahyacinthus00526	GO:0008270;GO:0003676
Ahyacinthus00527	
Ahyacinthus00528	GO:0003676
Ahyacinthus00529	
Ahyacinthus00530	
Ahyacinthus00531	
Ahyacinthus00532	
Ahyacinthus00533	
Ahyacinthus00534	
Ahyacinthus00535	
