Coords	Name	MIRNA	apoc_2_S31_L001_R1_001_trim_condensed	apoc_3_S32_L001_R1_001_trim_condensed	apoc_4_S33_L001_R1_001_trim_condensed
Ap11:472286-472704	Cluster_38	N	2	6	2
Ap11:516117-516531	Cluster_39	N	0	0	4
Ap11:530255-530669	Cluster_40	N	0	0	2
Ap11:530836-531251	Cluster_41	N	0	0	2
Ap11:541371-541786	Cluster_42	N	0	2	0
Ap11:583142-583559	Cluster_43	N	16	27	0
Ap11:587123-587540	Cluster_44	N	0	2	3
Ap11:589527-589942	Cluster_45	N	0	1	1
Ap11:590357-590773	Cluster_46	N	2	0	0
Ap11:593872-594287	Cluster_47	N	0	0	5
Ap11:602346-602761	Cluster_48	N	0	1	1
Ap11:614980-615395	Cluster_49	N	1	1	0
Ap11:621135-621556	Cluster_50	N	0	0	5
Ap11:636023-636441	Cluster_51	N	0	2	0
Ap11:636983-637401	Cluster_52	N	4	21	21
Ap11:647182-647596	Cluster_53	N	0	2	1
Ap11:658396-658810	Cluster_54	N	0	1	2
Ap11:669877-670291	Cluster_55	N	0	2	2
Ap11:708783-709199	Cluster_56	N	1	2	0
Ap11:723961-724376	Cluster_57	N	0	7	2
Ap11:735981-736401	Cluster_58	N	1	0	18
Ap11:743968-744383	Cluster_59	N	0	2	0
Ap11:762227-762646	Cluster_60	N	0	0	2
Ap11:777459-777887	Cluster_61	N	5	0	0
Ap11:811149-811576	Cluster_62	N	2	0	1
Ap11:815495-815911	Cluster_63	N	0	3	7
Ap11:818207-818677	Cluster_64	N	4	4	23
Ap11:819640-820348	Cluster_65	N	4	11	2
Ap11:833854-834269	Cluster_66	N	0	0	2
Ap11:848041-848522	Cluster_67	N	1	0	4
Ap11:848979-849592	Cluster_68	N	2	2	0
Ap11:849701-850224	Cluster_69	N	12	74	78
Ap11:860694-861112	Cluster_70	N	0	3	2
Ap11:921465-921881	Cluster_71	N	0	0	2
Ap11:922564-922979	Cluster_72	N	0	2	0
Ap11:925748-926163	Cluster_73	N	0	4	0
Ap11:927173-927591	Cluster_74	N	0	2	0
Ap11:929666-930082	Cluster_75	N	0	2	0
Ap11:942723-943138	Cluster_76	N	0	0	2
Ap11:945811-946226	Cluster_77	N	0	0	2
Ap11:949099-949514	Cluster_78	N	0	0	2
Ap11:952652-953067	Cluster_79	N	0	0	2
Ap11:958172-958587	Cluster_80	N	2	1	0
Ap11:974597-975004	Cluster_81	N	2	0	0
Ap11:992323-992739	Cluster_82	N	0	0	2
Ap11:1026057-1026473	Cluster_83	N	0	2	0
Ap11:1034184-1034594	Cluster_84	N	0	1	1
Ap11:1046393-1046814	Cluster_85	N	2	0	0
Ap11:1050989-1051407	Cluster_86	N	0	0	3
Ap11:1061088-1061504	Cluster_87	N	0	0	4
Ap11:1069212-1069628	Cluster_88	N	2	0	0
Ap11:1093431-1093846	Cluster_89	N	0	0	9
Ap11:1101550-1101966	Cluster_90	N	0	0	2
Ap11:1115231-1115650	Cluster_91	N	0	0	2
Ap11:1135181-1135596	Cluster_92	N	0	0	2
Ap11:1136912-1137327	Cluster_93	N	0	0	3
Ap11:1140226-1140640	Cluster_94	N	0	0	3
Ap11:1173168-1173582	Cluster_95	N	0	0	26
Ap11:1194879-1195309	Cluster_96	N	2	0	0
Ap11:1221778-1222194	Cluster_97	N	2	0	5
Ap11:1223979-1224398	Cluster_98	N	0	1	1
Ap11:1228869-1229285	Cluster_99	N	0	1	1
Ap11:1234628-1235043	Cluster_100	N	0	1	1
Ap11:1237051-1237466	Cluster_101	N	0	0	3
Ap11:1255884-1256304	Cluster_102	N	2	0	0
Ap11:1282546-1282962	Cluster_103	N	1	0	1
Ap11:1288119-1288540	Cluster_104	N	0	0	2
Ap11:1291990-1292408	Cluster_105	N	82	17	11
Ap11:1300885-1301302	Cluster_106	N	2	1	0
Ap11:1336154-1336584	Cluster_107	N	2	0	1
Ap11:1340620-1341039	Cluster_108	N	0	0	2
Ap11:1367551-1367968	Cluster_109	N	1	0	1
Ap11:1382811-1383226	Cluster_110	N	0	1	2
Ap11:1386345-1386759	Cluster_111	N	0	0	2
Ap11:1387802-1388218	Cluster_112	N	0	0	3
Ap11:1391421-1391837	Cluster_113	N	0	2	1
Ap11:1402766-1403181	Cluster_114	N	1	1	0
Ap11:1403286-1403705	Cluster_115	N	7	0	0
Ap11:1451448-1451866	Cluster_116	N	0	2	2
Ap11:1475530-1475945	Cluster_117	N	0	0	3
Ap11:1489120-1489766	Cluster_118	N	8	2	1
Ap11:1493706-1494121	Cluster_119	N	0	0	2
Ap11:1507810-1508227	Cluster_120	N	9	14	27
Ap11:1522714-1523128	Cluster_121	N	2	0	0
Ap11:1527705-1528133	Cluster_122	N	5	0	0
Ap11:1530797-1531211	Cluster_123	N	1	1	0
Ap11:1537070-1537488	Cluster_124	N	0	2	3
Ap11:1541316-1541733	Cluster_125	N	1	3	8
Ap11:1544900-1545317	Cluster_126	N	2	0	0
Ap11:1545900-1546316	Cluster_127	N	0	2	0
Ap11:1593368-1593777	Cluster_128	N	3	0	0
Ap11:1594823-1595238	Cluster_129	N	0	5	9
Ap11:1605719-1606133	Cluster_130	N	0	0	2
Ap11:1634070-1634497	Cluster_131	N	0	0	3
Ap11:1669228-1669644	Cluster_132	N	0	0	4
Ap11:1693597-1694018	Cluster_133	N	0	0	2
Ap11:1707292-1707707	Cluster_134	N	1	0	3
Ap11:1709430-1709847	Cluster_135	N	0	0	3
Ap11:1712642-1713059	Cluster_136	N	3	0	0
Ap11:1724643-1725061	Cluster_137	N	2	0	0
Ap11:1729373-1729791	Cluster_138	N	1	4	2
Ap11:1733962-1734363	Cluster_139	N	0	2	0
Ap11:1758691-1759105	Cluster_140	N	0	1	1
Ap11:1764140-1764557	Cluster_141	N	0	2	4
Ap11:1766238-1766655	Cluster_142	N	2	0	0
Ap11:1782419-1782838	Cluster_143	N	0	0	2
Ap11:1802727-1803148	Cluster_144	N	1	2	0
Ap11:1857711-1858128	Cluster_145	N	1	0	2
Ap11:1864075-1864491	Cluster_146	N	0	1	2
Ap11:1865181-1865598	Cluster_147	N	27	16	40
Ap11:1878551-1878965	Cluster_148	N	1	2	0
Ap11:1881019-1881445	Cluster_149	N	1	1	0
Ap11:1882001-1882417	Cluster_150	N	1	0	1
Ap11:1882953-1883380	Cluster_151	N	2	0	0
Ap11:1884484-1884902	Cluster_152	N	3	2	2
Ap11:1936850-1937267	Cluster_153	N	0	0	3
Ap11:1950803-1951217	Cluster_154	N	0	2	0
Ap11:1960839-1961254	Cluster_155	N	0	0	3
Ap11:1973872-1974288	Cluster_156	N	0	2	1
Ap11:1990915-1991331	Cluster_157	N	0	0	3
Ap11:1993481-1993898	Cluster_158	N	2	0	1
Ap11:2012262-2012701	Cluster_159	N	1	5	7
Ap11:2014040-2014454	Cluster_160	N	0	0	3
Ap11:2024208-2024623	Cluster_161	N	1	1	0
Ap11:2037159-2037576	Cluster_162	N	3	0	0
Ap11:2078582-2078998	Cluster_163	N	3	4	1
Ap11:2084178-2084593	Cluster_164	N	0	2	0
Ap11:2186077-2186502	Cluster_165	N	2	0	0
Ap11:2197888-2198305	Cluster_166	N	0	3	0
Ap11:2200144-2200559	Cluster_167	N	1	0	2
Ap11:2238866-2239281	Cluster_168	N	0	0	2
Ap11:2245344-2245760	Cluster_169	N	0	2	0
Ap11:2259016-2259436	Cluster_170	N	0	0	9
Ap11:2260118-2260533	Cluster_171	N	0	0	2
Ap11:2274847-2275268	Cluster_172	N	2	0	3
Ap11:2280931-2281347	Cluster_173	N	0	0	3
Ap11:2286175-2286589	Cluster_174	N	0	6	0
Ap11:2312954-2313371	Cluster_175	N	1	2	0
Ap11:2317277-2317695	Cluster_176	N	2	4	0
Ap11:2321700-2322114	Cluster_177	N	0	0	7
Ap11:2324619-2325039	Cluster_178	N	0	2	1
Ap11:2325570-2325990	Cluster_179	N	2	0	0
Ap11:2335412-2335826	Cluster_180	N	0	0	3
Ap11:2338002-2338420	Cluster_181	N	2	0	0
Ap11:2349788-2350214	Cluster_182	N	3	0	0
Ap11:2354631-2355058	Cluster_183	N	2	2	0
Ap11:2359670-2360085	Cluster_184	N	0	0	3
Ap11:2362517-2362930	Cluster_185	N	2	0	0
Ap11:2392420-2392841	Cluster_186	N	1	0	3
Ap11:2399657-2400079	Cluster_187	N	2	0	0
Ap11:2404585-2405002	Cluster_188	N	0	0	9
Ap11:2407344-2407769	Cluster_189	N	2	0	0
Ap11:2409035-2409463	Cluster_190	N	2	1	0
Ap11:2411024-2411440	Cluster_191	N	2	0	0
Ap11:2431277-2431693	Cluster_192	N	0	5	3
Ap11:2441240-2441641	Cluster_193	N	1	1	0
Ap11:2449833-2450248	Cluster_194	N	0	0	53
Ap11:2451828-2452256	Cluster_195	N	0	0	3
Ap11:2452638-2453054	Cluster_196	N	1	1	0
Ap11:2455557-2455980	Cluster_197	N	0	2	1
Ap11:2457324-2457760	Cluster_198	N	0	0	2
Ap11:2458022-2458442	Cluster_199	N	1	1	0
Ap11:2459100-2459529	Cluster_200	N	0	2	0
Ap11:2462258-2462801	Cluster_201	N	1	2	3
Ap11:2478573-2478990	Cluster_202	N	4	0	0
Ap11:2482929-2483363	Cluster_203	N	1	3	0
Ap11:2497322-2497739	Cluster_204	N	0	1	2
Ap11:2499573-2499990	Cluster_205	N	1	0	3
Ap11:2512334-2512753	Cluster_206	N	0	0	2
Ap11:2522641-2523056	Cluster_207	N	0	0	2
Ap11:2524111-2524527	Cluster_208	N	0	0	4
Ap11:2525541-2525957	Cluster_209	N	0	2	0
Ap11:2534283-2534698	Cluster_210	N	0	0	2
Ap11:2539760-2540177	Cluster_211	N	0	2	1
Ap11:2555654-2556069	Cluster_212	N	0	3	0
Ap11:2570282-2570698	Cluster_213	N	0	0	2
Ap11:2572907-2573323	Cluster_214	N	0	0	6
Ap11:2585849-2586265	Cluster_215	N	1	0	1
Ap11:2602264-2602681	Cluster_216	N	0	2	2
Ap11:2613029-2613450	Cluster_217	N	1	1	0
Ap11:2628762-2629177	Cluster_218	N	3	1	0
Ap11:2637561-2637977	Cluster_219	N	2	0	0
Ap11:2680978-2681390	Cluster_220	N	2	1	0
Ap11:2684866-2685282	Cluster_221	N	0	2	1
Ap11:2690375-2690790	Cluster_222	N	0	0	2
Ap11:2691276-2691692	Cluster_223	N	2	0	1
Ap11:2696952-2697367	Cluster_224	N	3	0	0
Ap11:2699505-2699920	Cluster_225	N	0	2	1
Ap11:2709684-2710102	Cluster_226	N	1	1	4
Ap11:2732358-2732774	Cluster_227	N	2	0	1
Ap11:2733268-2733686	Cluster_228	N	4	0	1
Ap11:2737869-2738284	Cluster_229	N	0	2	0
Ap11:2755959-2756376	Cluster_230	N	3	0	4
Ap11:2761368-2761789	Cluster_231	N	1	0	3
Ap11:2779389-2779827	Cluster_232	N	2	0	0
Ap11:2790184-2790601	Cluster_233	N	0	0	2
Ap11:2800011-2800438	Cluster_234	N	3	0	0
Ap11:2805086-2805500	Cluster_235	N	0	0	2
Ap11:2807653-2808071	Cluster_236	N	0	0	2
Ap11:2812912-2813329	Cluster_237	N	0	1	1
Ap11:2842508-2842925	Cluster_238	N	1	1	0
Ap11:2843858-2844274	Cluster_239	N	1	0	3
Ap11:2857845-2858265	Cluster_240	N	2	1	0
Ap11:2870764-2871180	Cluster_241	N	2	0	1
Ap11:2872193-2872608	Cluster_242	N	0	0	3
Ap11:2876274-2876696	Cluster_243	N	2	0	0
Ap11:2883885-2884299	Cluster_244	N	0	0	2
Ap11:2887025-2887443	Cluster_245	N	0	0	2
Ap11:2902815-2903232	Cluster_246	N	12	11	7
Ap11:2920710-2921135	Cluster_247	N	3	0	0
Ap11:2923170-2923588	Cluster_248	N	1	1	1
Ap11:2927209-2927640	Cluster_249	N	2	0	0
Ap11:2939138-2939554	Cluster_250	N	0	2	0
Ap11:2943075-2943617	Cluster_251	N	0	7	1
Ap11:2943695-2944500	Cluster_252	N	6	2	0
Ap11:2946059-2946628	Cluster_253	N	4	2	4
Ap11:2947000-2947425	Cluster_254	N	2	0	0
Ap11:2948014-2948423	Cluster_255	N	2	1	0
Ap11:2948657-2949197	Cluster_256	N	0	4	3
Ap11:2950576-2951094	Cluster_257	N	2	0	2
Ap11:2952814-2953315	Cluster_258	N	4	3	0
Ap11:2977637-2978054	Cluster_259	N	1	2	1
Ap11:2995167-2995672	Cluster_260	N	2	0	3
Ap11:2999635-3000049	Cluster_261	N	2	0	0
Ap11:3022443-3022859	Cluster_262	N	0	0	6
Ap11:3029154-3029571	Cluster_263	N	0	0	4
Ap11:3030981-3031398	Cluster_264	N	0	2	1
Ap11:3039865-3040284	Cluster_265	N	0	2	0
Ap11:3040605-3041064	Cluster_266	N	3	1	0
Ap11:3043598-3044016	Cluster_267	N	0	2	0
Ap11:3052790-3053205	Cluster_268	N	0	1	15
Ap11:3055868-3056308	Cluster_269	N	2	0	0
Ap11:3060775-3061189	Cluster_270	N	0	0	5
Ap11:3086697-3087125	Cluster_271	N	0	3	0
Ap11:3107635-3108060	Cluster_272	N	2	0	0
Ap11:3114028-3114445	Cluster_273	N	0	2	1
Ap11:3115653-3116068	Cluster_274	N	0	1	2
Ap11:3180194-3180610	Cluster_275	N	0	2	0
Ap11:3181234-3181650	Cluster_276	N	0	1	2
Ap11:3195976-3196393	Cluster_277	N	0	0	2
Ap11:3222847-3223264	Cluster_278	N	0	2	3
Ap11:3237806-3238254	Cluster_279	N	0	1	6
Ap11:3240511-3241310	Cluster_280	N	2	0	3
Ap11:3248494-3248909	Cluster_281	N	0	0	3
Ap11:3250201-3250618	Cluster_282	N	0	2	0
Ap11:3293932-3294350	Cluster_283	N	0	3	0
Ap11:3312101-3312517	Cluster_284	N	0	1	1
Ap11:3313678-3314091	Cluster_285	N	0	1	1
Ap11:3378406-3378823	Cluster_286	N	1	5	1
Ap11:3378966-3379382	Cluster_287	N	0	63	68
Ap11:3391456-3391873	Cluster_288	N	0	2	0
Ap11:3407536-3407955	Cluster_289	N	15	10	15
Ap11:3412791-3413216	Cluster_290	N	2	0	0
Ap11:3416230-3416646	Cluster_291	N	0	3	4
Ap11:3421886-3422302	Cluster_292	N	2	1	0
Ap11:3424348-3424766	Cluster_293	N	0	0	2
Ap11:3426216-3426631	Cluster_294	N	0	0	13
Ap11:3428576-3428992	Cluster_295	N	1	0	3
Ap11:3455155-3455661	Cluster_296	N	0	4	2
Ap11:3459738-3460161	Cluster_297	N	2	3	1
Ap11:3466366-3466783	Cluster_298	N	2	0	0
Ap11:3477253-3477669	Cluster_299	N	0	2	0
Ap11:3477767-3478183	Cluster_300	N	0	2	0
Ap11:3524504-3525055	Cluster_301	N	0	2	2
Ap11:3534579-3534994	Cluster_302	N	0	3	1
Ap11:3561322-3561742	Cluster_303	N	2	6	4
Ap11:3563754-3564172	Cluster_304	N	0	0	10
Ap11:3566356-3566789	Cluster_305	N	0	2	0
Ap11:3597318-3597732	Cluster_306	N	0	0	2
Ap11:3598243-3598658	Cluster_307	N	0	2	1
Ap11:3601188-3601607	Cluster_308	N	4	0	0
Ap11:3614812-3615228	Cluster_309	N	0	2	3
Ap11:3622698-3623126	Cluster_310	N	1	0	1
Ap11:3628116-3628533	Cluster_311	N	0	1	4
Ap11:3661031-3661466	Cluster_312	N	2	0	0
Ap11:3703366-3703784	Cluster_313	N	2	0	1
Ap11:3765960-3766375	Cluster_314	N	0	4	2
Ap11:3777977-3778391	Cluster_315	N	0	0	9
Ap11:3784443-3784857	Cluster_316	N	1	0	2
Ap11:3789625-3790041	Cluster_317	N	0	0	2
Ap11:3803370-3803787	Cluster_318	N	1	2	2
Ap11:3811031-3811445	Cluster_319	N	1	0	1
Ap11:3850913-3851329	Cluster_320	N	0	0	5
Ap11:3861972-3862387	Cluster_321	N	2	0	0
Ap11:3869009-3869423	Cluster_322	N	0	0	2
Ap11:3894003-3894418	Cluster_323	N	0	3	0
Ap11:3900230-3900644	Cluster_324	N	0	0	3
Ap11:3972536-3972953	Cluster_325	N	0	0	2
Ap11:3977470-3977905	Cluster_326	N	1	2	0
Ap11:3990674-3991939	Cluster_327	N	30	14	14
Ap11:4007538-4007955	Cluster_328	N	5	0	0
Ap11:4022330-4022749	Cluster_329	N	1	1	1
Ap11:4032111-4032528	Cluster_330	N	12	4	7
Ap11:4037880-4038302	Cluster_331	N	3	3	0
Ap11:4058584-4059002	Cluster_332	N	13	23	14
Ap11:4072764-4073179	Cluster_333	N	1	0	1
Ap11:4104280-4104698	Cluster_334	N	0	0	4
Ap11:4124260-4124676	Cluster_335	N	1	0	2
Ap11:4127879-4128293	Cluster_336	N	0	1	6
Ap11:4162710-4163126	Cluster_337	N	1	1	0
Ap11:4195029-4195445	Cluster_338	N	0	0	2
Ap11:4210197-4210615	Cluster_339	N	3	0	0
Ap11:4223758-4224468	Cluster_340	N	1	1	3
Ap11:4225104-4225524	Cluster_341	N	0	0	2
Ap11:4231437-4231853	Cluster_342	N	2	2	3
Ap11:4264920-4265339	Cluster_343	N	0	0	3
Ap11:4270435-4271158	Cluster_344	N	19	0	1
Ap11:4292677-4293097	Cluster_345	N	10	5	37
Ap11:4355865-4356281	Cluster_346	N	2	0	1
Ap11:4360028-4360443	Cluster_347	N	0	0	3
Ap11:4367103-4367520	Cluster_348	N	2	3	19
Ap11:4374261-4374675	Cluster_349	N	0	0	2
Ap11:4400151-4400567	Cluster_350	N	0	2	0
Ap11:4451087-4451502	Cluster_351	N	1	0	1
Ap11:4486566-4486981	Cluster_352	N	0	0	2
Ap11:4491083-4491499	Cluster_353	N	1	1	2
Ap11:4499145-4499574	Cluster_354	N	2	0	0
Ap11:4511799-4512213	Cluster_355	N	0	2	2
Ap11:4540260-4540694	Cluster_356	N	1	3	0
Ap11:4545716-4546138	Cluster_357	N	3	0	0
Ap11:4548341-4548758	Cluster_358	N	0	2	0
Ap11:4563657-4564071	Cluster_359	N	0	1	2
Ap11:4567890-4568307	Cluster_360	N	0	2	1
Ap11:4571153-4571570	Cluster_361	N	6	5	6
Ap11:4603977-4604402	Cluster_362	N	2	0	0
Ap11:4642069-4642483	Cluster_363	N	0	2	1
Ap11:4659451-4659909	Cluster_364	N	4	4	1
Ap11:4662100-4662519	Cluster_365	N	8	11	14
Ap11:4675920-4676336	Cluster_366	N	2	0	0
Ap11:4677453-4678091	Cluster_367	N	1	0	4
Ap11:4714711-4715138	Cluster_368	N	2	0	0
Ap11:4769232-4769651	Cluster_369	N	3	0	1
Ap11:4779458-4779876	Cluster_370	N	0	3	1
Ap11:4780470-4780934	Cluster_371	N	2	2	12
Ap11:4789819-4790247	Cluster_372	N	0	3	1
Ap11:4791075-4791491	Cluster_373	N	1	3	0
Ap11:4799918-4800336	Cluster_374	N	0	0	3
Ap11:4838297-4838713	Cluster_375	N	1	1	0
Ap11:4851708-4852124	Cluster_376	N	2	0	0
Ap11:4854974-4855391	Cluster_377	N	0	2	2
Ap11:4860828-4861245	Cluster_378	N	1	1	0
Ap11:4869069-4869486	Cluster_379	N	2	1	0
Ap11:4872537-4872952	Cluster_380	N	1	3	0
Ap11:4892381-4892799	Cluster_381	N	0	1	1
Ap11:4927235-4927652	Cluster_382	N	1	2	0
Ap11:4930007-4930425	Cluster_383	N	0	1	3
Ap11:4944043-4944460	Cluster_384	N	0	0	2
Ap11:4975444-4975859	Cluster_385	N	0	0	2
Ap11:4996765-4997182	Cluster_386	N	1	0	3
Ap11:5006831-5007252	Cluster_387	N	2	1	0
Ap11:5029240-5029656	Cluster_388	N	0	0	2
Ap11:5032885-5033300	Cluster_389	N	0	0	3
Ap11:5037659-5038076	Cluster_390	N	3	0	0
Ap11:5055531-5055947	Cluster_391	N	1	1	0
Ap11:5072754-5073176	Cluster_392	N	0	2	1
Ap11:5074380-5074807	Cluster_393	N	1	0	2
Ap11:5086578-5086995	Cluster_394	N	0	4	1
Ap11:5088449-5088868	Cluster_395	N	0	3	0
Ap11:5098555-5099208	Cluster_396	N	1	11	4
Ap11:5104616-5105036	Cluster_397	N	5	16	18
Ap11:5106810-5107235	Cluster_398	N	1	1	1
Ap11:5107480-5107899	Cluster_399	N	2	0	0
Ap11:5107970-5108386	Cluster_400	N	2	1	1
Ap11:5115192-5115612	Cluster_401	N	1	8	9
Ap11:5115642-5116059	Cluster_402	N	0	0	4
Ap11:5117855-5118294	Cluster_403	N	0	3	1
Ap11:5118683-5119105	Cluster_404	N	4	15	13
Ap11:5121220-5121637	Cluster_405	N	1	0	2
Ap11:5136451-5136868	Cluster_406	N	0	1	2
Ap11:5136968-5137384	Cluster_407	N	0	0	3
Ap11:5139552-5139969	Cluster_408	N	1	0	3
Ap11:5151894-5152334	Cluster_409	N	3	0	0
Ap11:5162515-5162932	Cluster_410	N	0	0	2
Ap11:5180183-5180601	Cluster_411	N	3	0	0
Ap11:5198388-5198807	Cluster_412	N	0	6	0
Ap11:5199446-5199860	Cluster_413	N	0	2	0
Ap11:5203107-5203601	Cluster_414	N	29	77	65
Ap11:5213530-5213944	Cluster_415	N	0	0	2
Ap11:5217344-5217761	Cluster_416	N	8	5	4
Ap11:5224713-5225130	Cluster_417	N	0	0	3
Ap11:5228520-5228937	Cluster_418	N	21	79	78
Ap11:5230023-5230437	Cluster_419	N	0	1	1
Ap11:5232156-5232573	Cluster_420	N	0	0	2
Ap11:5262042-5262460	Cluster_421	N	1	3	4
Ap11:5271195-5271612	Cluster_422	N	1	2	4
Ap11:5293134-5293551	Cluster_423	N	1	3	3
Ap11:5296582-5296998	Cluster_424	N	0	0	5
Ap11:5306344-5306840	Cluster_425	N	3	13	28
Ap11:5316218-5316634	Cluster_426	N	0	1	1
Ap11:5351919-5352335	Cluster_427	N	0	0	2
Ap11:5363885-5364302	Cluster_428	N	1	2	0
Ap11:5423796-5424211	Cluster_429	N	0	0	2
Ap11:5431568-5431986	Cluster_430	N	2	12	22
Ap11:5437152-5437567	Cluster_431	N	0	0	2
Ap11:5471166-5471583	Cluster_432	N	91	196	137
Ap11:5483815-5484231	Cluster_433	N	0	0	2
Ap11:5486111-5486528	Cluster_434	N	0	0	2
Ap11:5489343-5489760	Cluster_435	N	2	3	2
Ap11:5490314-5490729	Cluster_436	N	0	0	2
Ap11:5495013-5495432	Cluster_437	N	1	2	0
Ap11:5522281-5522697	Cluster_438	N	0	2	0
Ap11:5541804-5542222	Cluster_439	N	2	0	0
Ap11:5558171-5558590	Cluster_440	N	7	1	0
Ap11:5628062-5628954	Cluster_441	N	10	1	0
Ap11:5629917-5630335	Cluster_442	N	0	3	0
Ap11:5630815-5631230	Cluster_443	N	0	1	3
Ap11:5631652-5632076	Cluster_444	N	0	2	2
Ap11:5635351-5635772	Cluster_445	N	1	0	1
Ap11:5654696-5655123	Cluster_446	N	2	0	0
Ap11:5660782-5661198	Cluster_447	N	0	3	0
Ap11:5675708-5676124	Cluster_448	N	0	3	2
Ap11:5679775-5680194	Cluster_449	N	3	0	0
Ap11:5682436-5682854	Cluster_450	N	0	0	3
Ap11:5690180-5690595	Cluster_451	N	0	2	0
Ap11:5763138-5763561	Cluster_452	N	4	0	2
Ap11:5765627-5766041	Cluster_453	N	0	0	3
Ap11:5783924-5784340	Cluster_454	N	0	0	4
Ap11:5791294-5791710	Cluster_455	N	0	1	1
Ap11:5804447-5804883	Cluster_456	N	0	2	0
Ap11:5806911-5807326	Cluster_457	N	0	1	1
Ap11:5821047-5821465	Cluster_458	N	31	77	49
Ap11:5824663-5825080	Cluster_459	N	0	0	4
Ap11:5825888-5826323	Cluster_460	N	0	1	2
Ap11:5857424-5857849	Cluster_461	N	0	0	2
Ap11:5873120-5873546	Cluster_462	N	2	0	0
Ap11:5889014-5889430	Cluster_463	N	2	1	1
Ap11:5900458-5900877	Cluster_464	N	0	1	3
Ap11:5915595-5916011	Cluster_465	N	0	0	29
Ap11:5917527-5917948	Cluster_466	N	20	1	0
Ap11:5952220-5952635	Cluster_467	N	4	0	0
Ap11:5964856-5965271	Cluster_468	N	0	2	3
Ap11:5968010-5968509	Cluster_469	N	0	26	21
Ap11:5969627-5970093	Cluster_470	N	0	0	5
Ap11:6019758-6020165	Cluster_471	N	0	0	2
Ap11:6044067-6044622	Cluster_472	N	0	0	10
Ap11:6055422-6055841	Cluster_473	N	2	0	0
Ap11:6096730-6097146	Cluster_474	N	2	0	0
Ap11:6102070-6102574	Cluster_475	N	8	2	6
Ap11:6139213-6139630	Cluster_476	N	0	0	2
Ap11:6159966-6160383	Cluster_477	N	0	0	2
Ap11:6178398-6178814	Cluster_478	N	0	0	2
Ap11:6202100-6202517	Cluster_479	N	0	1	2
Ap11:6212481-6212900	Cluster_480	N	0	2	0
Ap11:6212965-6213379	Cluster_481	N	0	0	2
Ap11:6229892-6230309	Cluster_482	N	2	2	0
Ap11:6234782-6235199	Cluster_483	N	0	3	0
Ap11:6247359-6247777	Cluster_484	N	1	1	5
Ap11:6251561-6251978	Cluster_485	N	0	1	2
Ap11:6258167-6258585	Cluster_486	N	0	1	4
Ap11:6265948-6266365	Cluster_487	N	4	0	0
Ap11:6267297-6267714	Cluster_488	N	2	0	0
Ap11:6274974-6275390	Cluster_489	N	0	19	12
Ap11:6312733-6313149	Cluster_490	N	0	0	3
Ap11:6314328-6314743	Cluster_491	N	0	0	3
Ap11:6349478-6349893	Cluster_492	N	0	0	4
Ap11:6368092-6368859	Cluster_493	N	5	1	0
Ap11:6422375-6422791	Cluster_494	N	1	0	1
Ap11:6433677-6434093	Cluster_495	N	3	17	5
Ap11:6453304-6453721	Cluster_496	N	3	0	0
Ap11:6462488-6462904	Cluster_497	N	1	2	1
Ap11:6469279-6469694	Cluster_498	N	0	2	0
Ap11:6486617-6487040	Cluster_499	N	0	0	5
